Country,Product,Flow,NoCountry,NoProduct,NoFlow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 Provisional,Download Timestamp
Australia,"Coal, peat and oil shale",Production (ktoe),01. Australia,"01. Coal, peat and oil shale",01. Production (ktoe),32680.134,39371.698,40250.876,39179.376,44767.138,44160.972,48910.477,47947.432,51969.991,51897.834,62618.199,63334.556,72457.776,78957.603,83939.315,90500.313,102762.864,90073.682,100213.551,106102.992,114762.927,119139.425,119982.71,118687.231,127823.406,129956.15,140676.291,152427.35,154539.29,164578.191,178433.245,183863.257,183860.488,189189.057,201578.606,203808.295,214979.189,215910.311,223332.976,246563.579,233640.662,245351.157,264516.545,285439.666,298581.293,293619.688,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",Imports (ktoe),01. Australia,"01. Coal, peat and oil shale",02. Imports (ktoe),0,0,0,0,0,0,0,6.99,8.749,1.173,0,0.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.824,9.673,14.187,32.889,28.375,4.514,3.869,42.624,161.355,86.831,61.563,126.288,166.686,142.159,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",Exports (ktoe),01. Australia,"01. Coal, peat and oil shale",03. Exports (ktoe),-12931.69,-14682.287,-17649.264,-17803.166,-20294.925,-18793.51,-21856.515,-23921.081,-26361.664,-27807.545,-33102.554,-30292.366,-40068.446,-49727.451,-57492.835,-59660.234,-65456.328,-64996.208,-64465.56,-67266.62,-78214.313,-82012.138,-85625.255,-85120.067,-88594.452,-91324.494,-101540.039,-108066.678,-111701.189,-121425.723,-125009.496,-132536.438,-135539.75,-142302.038,-150990.278,-150779.992,-158859.415,-163963.769,-169048.231,-190390.912,-184398.388,-195161.443,-217375.07,-242831.923,-253999.422,-251970.672,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",Total primary energy supply (ktoe),01. Australia,"01. Coal, peat and oil shale",04. Total primary energy supply (ktoe),21121.082,22051.451,22583.88,22172.616,23839.846,23797.817,25832.711,23839.443,24706.078,27318.339,27588.132,28564.25,27936.373,29290.033,29766.643,29612.966,31958.595,30904.411,35042.261,35129.059,36329.362,36893.817,37310.378,36699.874,37685.406,40494.708,44331,47121.169,48093.304,43142.648,52771.665,51004.943,48144.991,49899.696,51034.931,51698.797,51896.365,51502.445,52670.701,50470.07,48099.345,47025.05,43722.159,41511.73,42908.332,45565.191,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",Electricity plants (ktoe),01. Australia,"01. Coal, peat and oil shale",05. Electricity plants (ktoe),-12337.311,-13612.351,-13802.916,-14585.301,-15703.419,-16202.091,-18247.877,-16746.183,-17378.073,-19973.669,-20606.015,-21583.927,-20718.739,-21249.93,-23354.031,-23154.143,-25032.429,-26286.048,-28358.09,-28631.849,-29663.274,-30720.178,-30918.065,-31308.886,-32383.427,-34291.456,-35508.439,-40024.692,-40635.567,-41187.538,-42835.937,-42997.674,-40932.028,-42674.857,-43790.06,-44722.441,-45092.732,-44500.711,-47759.384,-44225.13,-42151.447,-41696.505,-38890.41,-36780.575,-38266.088,..,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",CHP plants (ktoe),01. Australia,"01. Coal, peat and oil shale",06. CHP plants (ktoe),0,0,0,-174.144,-166.143,-139.633,-153.886,-147.966,-165.896,-194.792,-193.931,-228.732,-202.762,-194.748,-229.037,-215.793,-249.247,-266.794,-299.148,-291.641,-284.033,0,0,0,0,0,0,0,0,0,0,-1177.549,-1417.636,-1631.874,-1669.358,-1677.513,-1736.783,-1686.736,-523.613,-606.413,-582.78,-577.582,-529.037,-504.515,-491.598,..,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",Heat plants (ktoe),01. Australia,"01. Coal, peat and oil shale",07. Heat plants (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale","Oil refineries, transformation (ktoe)",01. Australia,"01. Coal, peat and oil shale","08. Oil refineries, transformation (ktoe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,..,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",Total final consumption (ktoe),01. Australia,"01. Coal, peat and oil shale",09. Total final consumption (ktoe),5263.755,5036.425,5196.699,4980.568,5157.888,4939.191,4827.289,4215.487,4398.422,4507.11,4254.106,4338.707,3911.881,4082.948,4665.097,4342.533,4406.11,4395.249,4445.199,4557.295,4642.918,4651.115,4747.478,4721.941,4668.596,4453.913,4703.367,4508.877,4397.767,4199.725,3950.641,3007.949,3459.914,3615.795,3895.366,3559.598,3553.616,3660.079,3466.007,2538.66,2495.5,2422.294,2339.502,2433.937,2330.228,..,2018-04-07 11:40:33.896072
Australia,"Coal, peat and oil shale",Industry (ktoe),01. Australia,"01. Coal, peat and oil shale",10. Industry (ktoe),4882.878,4673.212,4894.741,4357.368,4563.026,4392.728,4324.226,3761.214,3959.281,4092.005,3858.835,3962.282,3536.196,3665.809,4272.452,3983.172,4059.785,4077.784,4138.686,4281.01,4385.521,4408.777,4511.065,4498.511,4449.687,4260.388,4514.708,4339.409,4241.108,4043.68,3747.781,2853.849,3263.997,3437.206,3617.504,3334.207,3324.887,3425.372,3245.558,2425.63,2414.328,2356,2334.726,2427.293,2322.198,..,2018-04-07 11:40:33.896072
