Year,Month,Highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,Lowest,Inferred,Datum,nwlon_station_id
1975,9,2.107,1.793,1.6769999999999998,1.046,1.058,0.44,-0.075,0.86,1.868,1.238,0.116,0.515,10.65,4.45,-0.621,1,NAVD,9444090
1975,10,2.336,1.988,1.851,1.223,1.238,0.623,0.083,1.037,1.905,1.228,0.13699999999999998,0.539,10.59,4.53,-0.502,1,NAVD,9444090
1975,11,2.552,2.153,1.921,1.269,1.293,0.662,-0.066,1.043,2.219,1.259,0.232,0.7290000000000001,10.58,4.57,-0.642,0,NAVD,9444090
1975,12,2.72,2.137,,1.159,,,-0.264,0.937,2.402,,,,,,-0.978,0,NAVD,9444090
1976,1,2.427,2.0980000000000003,,1.171,,,-0.203,0.946,2.301,,,,,,-0.981,0,NAVD,9444090
1976,2,2.4,2.04,,1.232,,,0.08,1.062,1.96,,,,,,-0.389,0,NAVD,9444090
1976,3,2.354,1.884,1.7380000000000002,1.138,1.147,0.552,0.126,1.007,1.759,1.186,0.146,0.4270000000000001,10.72,4.42,-0.353,0,NAVD,9444090
1976,4,2.372,1.863,1.711,1.107,1.119,0.528,-0.042,0.909,1.905,1.183,0.152,0.57,10.6,4.45,-0.85,0,NAVD,9444090
1976,5,2.201,1.906,1.702,1.052,1.08,0.458,-0.261,0.8240000000000001,2.167,1.244,0.204,0.7190000000000001,10.52,4.47,-1.133,0,NAVD,9444090
1976,6,2.333,1.979,1.735,1.071,1.095,0.455,-0.292,0.8420000000000001,2.271,1.28,0.244,0.747,10.63,4.47,-1.014,0,NAVD,9444090
1976,7,2.406,2.031,,1.129,,,-0.16699999999999998,0.933,2.198,,,,,,-0.7340000000000001,1,NAVD,9444090
1976,8,2.1830000000000003,1.985,1.778,1.138,1.147,0.516,-0.017,0.982,2.002,1.262,0.207,0.5329999999999999,10.7,4.31,-0.499,0,NAVD,9444090
1976,9,2.336,1.878,1.768,1.128,1.141,0.516,0.013,0.945,1.865,1.253,0.11,0.503,10.61,4.36,-0.255,0,NAVD,9444090
1976,10,,1.881,,1.119,,,-0.024,0.927,1.905,,,,,,,5,NAVD,9444090
1976,11,2.302,1.976,1.759,1.116,1.134,0.507,-0.152,0.912,2.128,1.253,0.21600000000000005,0.6579999999999999,10.48,4.46,-1.149,0,NAVD,9444090
