Date,DateText,Median Global Temp C Deviation,Bias Uncertainty (Lower 95 CI),Bias Uncertainty (Upper 95 CI),Measurement and Sampling Uncertainty (Lower 95 CI),Measurement and Sampling Uncertainty (Upper 95 CI),Coverage Uncertainty (Lower 95 CI),Coverage Uncertainty (Upper 95 CI),"Measurement, Sampling, and Bias Uncertainty (Lower 95 CI)","Measurement, Sampling, and Bias Uncertainty (Upper 95 CI)",Combined Uncertainty (Lower 95 CI),Combined Uncertainty (Upper 95 CI)
1850-01-01,1850/01,-0.7,-0.757,-0.627,-0.889,-0.51,-1.047,-0.35200000000000004,-0.898,-0.5,-1.1,-0.299
1850-02-01,1850/02,-0.28600000000000003,-0.342,-0.218,-0.474,-0.098,-0.625,0.052000000000000005,-0.48200000000000004,-0.08199999999999999,-0.6759999999999999,0.111
1850-03-01,1850/03,-0.732,-0.799,-0.68,-0.934,-0.529,-1.0090000000000001,-0.45399999999999996,-0.9420000000000001,-0.519,-1.08,-0.382
1850-04-01,1850/04,-0.563,-0.62,-0.493,-0.767,-0.36,-0.816,-0.31,-0.777,-0.349,-0.894,-0.231
1850-05-01,1850/05,-0.327,-0.386,-0.27899999999999997,-0.521,-0.132,-0.589,-0.064,-0.5329999999999999,-0.128,-0.6609999999999999,0.001
1850-06-01,1850/06,-0.213,-0.273,-0.159,-0.40299999999999997,-0.023,-0.435,0.008,-0.414,-0.017,-0.513,0.081
1850-07-01,1850/07,-0.125,-0.187,-0.07200000000000001,-0.313,0.062,-0.38799999999999996,0.13699999999999998,-0.322,0.069,-0.45399999999999996,0.201
1850-08-01,1850/08,-0.237,-0.28600000000000003,-0.187,-0.423,-0.05,-0.5429999999999999,0.07,-0.429,-0.042,-0.598,0.127
1850-09-01,1850/09,-0.439,-0.491,-0.386,-0.6459999999999999,-0.23199999999999998,-0.743,-0.135,-0.653,-0.223,-0.81,-0.065
1850-10-01,1850/10,-0.451,-0.504,-0.39,-0.659,-0.243,-0.7190000000000001,-0.184,-0.664,-0.231,-0.792,-0.10300000000000001
1850-11-01,1850/11,-0.187,-0.242,-0.133,-0.37799999999999995,0.003,-0.408,0.033,-0.38799999999999996,0.012,-0.486,0.109
1850-12-01,1850/12,-0.257,-0.321,-0.198,-0.433,-0.08199999999999999,-0.5,-0.013999999999999999,-0.445,-0.071,-0.565,0.049
1851-01-01,1851/01,-0.29600000000000004,-0.354,-0.22,-0.478,-0.114,-0.653,0.061,-0.488,-0.10400000000000001,-0.7020000000000001,0.109
1851-02-01,1851/02,-0.35600000000000004,-0.413,-0.27699999999999997,-0.536,-0.17600000000000002,-0.685,-0.027999999999999997,-0.544,-0.159,-0.733,0.028999999999999998
1851-03-01,1851/03,-0.479,-0.546,-0.42100000000000004,-0.6659999999999999,-0.292,-0.743,-0.21600000000000003,-0.6759999999999999,-0.28,-0.8079999999999999,-0.14800000000000002
1851-04-01,1851/04,-0.441,-0.504,-0.37,-0.637,-0.245,-0.664,-0.217,-0.647,-0.233,-0.745,-0.135
1851-05-01,1851/05,-0.295,-0.35600000000000004,-0.25,-0.498,-0.09300000000000001,-0.522,-0.069,-0.511,-0.08900000000000001,-0.609,0.01
1851-06-01,1851/06,-0.19699999999999998,-0.264,-0.141,-0.392,-0.003,-0.406,0.011000000000000001,-0.406,0.003,-0.493,0.09
1851-07-01,1851/07,-0.212,-0.27699999999999997,-0.156,-0.41,-0.015,-0.47,0.045,-0.419,-0.006999999999999999,-0.5429999999999999,0.11699999999999999
