Country,Indicator,Indicator ID,Value,Year
World,"Population, total",SP.POP.TOTL,3032019978,1960
World,"Population, total",SP.POP.TOTL,3073077563,1961
World,"Population, total",SP.POP.TOTL,3126066253,1962
World,"Population, total",SP.POP.TOTL,3191186048,1963
World,"Population, total",SP.POP.TOTL,3256700083,1964
World,"Population, total",SP.POP.TOTL,3323623700,1965
World,"Population, total",SP.POP.TOTL,3393699205,1966
World,"Population, total",SP.POP.TOTL,3463147267,1967
World,"Population, total",SP.POP.TOTL,3533536526,1968
World,"Population, total",SP.POP.TOTL,3608235815,1969
World,"Population, total",SP.POP.TOTL,3683676306,1970
World,"Population, total",SP.POP.TOTL,3761307048,1971
World,"Population, total",SP.POP.TOTL,3837726171,1972
World,"Population, total",SP.POP.TOTL,3913217944,1973
World,"Population, total",SP.POP.TOTL,3989385034,1974
World,"Population, total",SP.POP.TOTL,4063806523,1975
World,"Population, total",SP.POP.TOTL,4136393107,1976
World,"Population, total",SP.POP.TOTL,4208770941,1977
World,"Population, total",SP.POP.TOTL,4282341460,1978
World,"Population, total",SP.POP.TOTL,4357793599,1979
World,"Population, total",SP.POP.TOTL,4434021975,1980
World,"Population, total",SP.POP.TOTL,4512268962,1981
World,"Population, total",SP.POP.TOTL,4593454253,1982
World,"Population, total",SP.POP.TOTL,4675367633,1983
World,"Population, total",SP.POP.TOTL,4756998073,1984
World,"Population, total",SP.POP.TOTL,4840155168,1985
World,"Population, total",SP.POP.TOTL,4925801334,1986
World,"Population, total",SP.POP.TOTL,5013576387,1987
World,"Population, total",SP.POP.TOTL,5102293348,1988
World,"Population, total",SP.POP.TOTL,5190965222,1989
World,"Population, total",SP.POP.TOTL,5281340078,1990
World,"Population, total",SP.POP.TOTL,5369210095,1991
World,"Population, total",SP.POP.TOTL,5453393960,1992
World,"Population, total",SP.POP.TOTL,5538448726,1993
World,"Population, total",SP.POP.TOTL,5622575421,1994
World,"Population, total",SP.POP.TOTL,5707533023,1995
World,"Population, total",SP.POP.TOTL,5790454220,1996
World,"Population, total",SP.POP.TOTL,5873071768,1997
World,"Population, total",SP.POP.TOTL,5954810550,1998
World,"Population, total",SP.POP.TOTL,6035284135,1999
World,"Population, total",SP.POP.TOTL,6115108363,2000
World,"Population, total",SP.POP.TOTL,6194460444,2001
World,"Population, total",SP.POP.TOTL,6273526441,2002
World,"Population, total",SP.POP.TOTL,6352677699,2003
World,"Population, total",SP.POP.TOTL,6432374971,2004
World,"Population, total",SP.POP.TOTL,6512602867,2005
World,"Population, total",SP.POP.TOTL,6593623202,2006
World,"Population, total",SP.POP.TOTL,6675130418,2007
World,"Population, total",SP.POP.TOTL,6757887172,2008
World,"Population, total",SP.POP.TOTL,6840591577,2009
World,"Population, total",SP.POP.TOTL,6922947261,2010
World,"Population, total",SP.POP.TOTL,7004011262,2011
World,"Population, total",SP.POP.TOTL,7086993625,2012
World,"Population, total",SP.POP.TOTL,7170961674,2013
World,"Population, total",SP.POP.TOTL,7255653881,2014
World,"Population, total",SP.POP.TOTL,7340548192,2015
World,"Population, total",SP.POP.TOTL,7426103221,2016
World,"Population, total",SP.POP.TOTL,7510990456,2017
World,"Population, total",SP.POP.TOTL,7594270356,2018
