Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2019-10-31,00:15,22.7,12.7,68.6,0.0,0,30.49,N,3.7,4.2,40.6,45.2,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,00:30,22.7,12.8,69.0,0.0,0,30.48,N,3.7,4.6,40.5,45.2,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,00:45,22.2,12.7,70.3,0.0,0,30.48,N,3.0,3.9,40.4,45.1,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,01:00,22.1,12.6,70.3,0.0,0,30.48,N,3.2,3.9,40.3,45.1,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,01:15,21.9,12.8,71.7,0.0,0,30.47,N,3.3,3.9,40.2,45.0,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,01:30,21.8,12.6,71.3,0.0,0,30.47,N,3.4,3.9,40.0,45.0,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,01:45,21.4,12.4,72.2,0.0,0,30.47,N,3.3,4.2,39.9,44.9,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,02:00,21.1,12.6,74.0,0.0,0,30.47,N,3.6,4.2,39.8,44.9,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,02:15,21.1,12.8,74.4,0.0,0,30.47,N,3.2,3.9,39.7,44.8,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,02:30,21.0,12.7,74.5,0.0,0,30.47,N,3.6,4.6,39.6,44.8,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,02:45,21.2,12.9,74.6,0.0,0,30.46,N,3.5,3.9,39.5,44.7,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,03:00,21.3,13.0,74.5,0.0,0,30.46,N,3.5,3.9,39.4,44.7,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,03:15,21.7,13.1,73.5,0.0,0,30.46,N,3.2,3.9,39.3,44.6,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,03:30,21.7,13.3,73.9,0.0,0,30.46,N,3.4,4.2,39.2,44.6,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,03:45,21.8,13.5,74.4,0.0,0,30.45,N,3.3,3.9,39.2,44.5,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,04:00,21.8,13.6,74.6,0.0,0,30.45,N,3.3,4.2,39.1,44.4,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,04:15,21.6,13.7,75.9,0.0,0,30.45,N,3.0,3.9,39.0,44.4,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,04:30,21.3,13.8,77.3,0.0,0,30.45,N,3.5,4.2,38.9,44.3,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
2019-10-31,04:45,22.0,13.8,74.8,0.0,0,30.45,N,2.6,3.9,38.9,44.3,3.2,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-16 06:59:55.533793
