Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-03-04,23:15,36.5,30.3,77.9,0.0,N@2.8,3.9,0,45.8,48.1,10.8,30.18,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-04,23:30,36.8,30.7,78.3,0.0,N@0.6,3.5,0,45.6,48.0,10.8,30.18,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-04,23:45,36.1,30.8,80.6,0.0,N@0.8,3.9,0,45.5,48.0,10.8,30.18,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-04,24:00,36.8,31.0,79.4,0.0,N @0.8,3.1,0,45.3,47.9,10.8,30.17,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,00:15,36.5,30.8,79.6,0.0,N @2.5,3.1,0,45.2,47.8,10.8,30.18,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,00:30,35.9,30.8,81.6,0.0,NE@1.1,3.1,0,45.1,47.7,10.8,30.18,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,00:45,36.4,30.8,80.0,0.0,NE@0.5,2.8,0,44.9,47.6,10.8,30.18,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,01:00,35.2,30.1,81.5,0.0,N @0.0,0.0,0,44.8,47.5,10.8,30.17,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,01:15,33.4,29.2,84.3,0.0,N@1.0,3.9,0,44.6,47.4,10.8,30.17,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,01:30,34.0,29.6,83.6,0.0,N@1.9,3.9,0,44.5,47.4,10.7,30.17,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,01:45,35.1,30.4,82.5,0.0,N@2.6,3.5,0,44.3,47.3,10.7,30.17,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,02:00,35.1,30.0,81.4,0.0,NW@0.7,2.4,0,44.2,47.2,10.7,30.17,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,02:15,33.2,29.1,84.8,0.0,N @0.0,0.0,0,44.1,47.1,10.7,30.16,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,02:30,31.5,28.1,87.7,0.0,N@0.0,1.4,0,43.9,47.0,10.7,30.16,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,02:45,31.9,28.4,87.4,0.0,N @0.0,0.0,0,43.8,46.9,10.7,30.16,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,03:00,32.1,28.4,85.9,0.0,N @0.0,1.4,0,43.6,46.9,10.7,30.15,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,03:15,31.6,27.8,86.2,0.0,NW@0.0,1.4,0,43.5,46.8,10.7,30.15,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,03:30,31.6,28.1,87.2,0.0,N @0.0,0.0,0,43.4,46.7,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,03:45,31.5,28.1,87.8,0.0,N @0.0,0.0,0,43.3,46.6,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,04:00,30.4,27.2,89.1,0.0,N@0.1,1.4,0,43.1,46.5,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,04:15,29.8,27.0,90.7,0.0,N@0.1,1.4,0,43.0,46.4,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,04:30,30.2,27.3,90.5,0.0,N@0.1,1.7,0,42.9,46.4,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,04:45,30.3,27.2,89.4,0.0,N@0.5,1.7,0,42.8,46.3,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,05:00,29.8,26.8,90.2,0.0,N@1.5,2.8,0,42.7,46.2,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,05:15,29.3,26.2,90.0,0.0,N@2.6,3.5,0,42.5,46.1,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,05:30,28.6,25.7,90.6,0.0,N@3.2,3.9,0,42.4,46.0,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,05:45,28.5,25.5,90.5,0.0,N@2.7,3.9,0,42.3,46.0,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,06:00,28.5,25.6,91.1,0.0,N@2.2,3.1,0,42.2,45.9,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,06:15,28.7,25.9,91.2,0.0,NW@2.9,4.2,0,42.1,45.8,10.7,30.13,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,06:30,28.3,25.4,91.3,0.0,N@2.8,3.9,0,41.9,45.7,10.7,30.13,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,06:45,27.5,24.7,91.9,0.0,NW@3.2,4.2,6,41.8,45.7,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,07:00,27.8,25.2,92.4,0.0,N@3.3,3.9,21,41.7,45.6,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,07:15,28.7,26.0,92.0,0.0,NW@2.8,3.5,34,41.6,45.5,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,07:30,29.3,26.4,90.6,0.0,NW@2.3,2.8,53,41.5,45.4,10.7,30.14,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,07:45,30.5,27.5,89.8,0.0,NW@1.1,2.8,94,41.5,45.3,10.7,30.15,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,08:00,31.7,28.6,88.7,0.0,NW@0.5,2.1,103,41.4,45.3,10.7,30.15,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,08:15,32.4,29.3,88.4,0.0,N @1.0,2.1,103,41.4,45.2,10.7,30.15,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
2020-03-05,08:30,34.2,30.8,87.1,0.0,N@2.4,3.5,238,41.5,45.1,10.7,30.15,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 14:47:52.163996
