Date,Time PDT,Air Temp °F, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Dew Point °F, Rel Hum %, Atm. Press. inHg, 8 in. SWP kPa, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-03-04,23:15,32.9,E@9.6,13.7,0.0,0,21.1,61.6,30.15,-11.0,40.6,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-04,23:30,32.9,E@10.7,15.4,0.0,0,21.2,61.7,30.15,-11.0,40.6,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-04,23:45,33.0,E@10.8,15.7,0.0,0,21.3,61.7,30.15,-11.0,40.5,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-04,24:00,33.2,E@9.3,14.0,0.0,0,21.8,62.4,30.14,-11.0,40.5,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,00:15,33.6,E@9.1,16.3,0.0,0,21.7,61.4,30.14,-11.0,40.4,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,00:30,33.9,E@7.8,10.6,0.0,0,21.9,61.0,30.14,-11.0,40.3,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,00:45,34.4,E@7.8,12.7,0.0,0,22.3,61.0,30.13,-11.0,40.3,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,01:00,34.8,E@8.1,12.1,0.0,0,22.3,60.0,30.13,-11.0,40.3,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,01:15,35.2,E@8.7,12.2,0.0,0,21.8,57.7,30.13,-11.0,40.2,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,01:30,36.1,E@8.7,12.0,0.0,0,21.7,55.6,30.12,-11.0,40.1,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,01:45,36.4,E@9.9,14.4,0.0,0,21.7,55.0,30.12,-11.0,39.9,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,02:00,35.8,E@9.3,14.5,0.0,0,21.3,55.2,30.11,-11.0,39.9,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,02:15,35.2,E@8.8,13.2,0.0,0,21.2,56.2,30.11,-11.0,39.9,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,02:30,34.9,E@8.3,13.1,0.0,0,21.1,56.8,30.1,-11.0,39.7,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,02:45,34.2,E@8.9,14.0,0.0,0,21.5,59.2,30.09,-11.0,39.7,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,03:00,34.3,E@8.6,11.9,0.0,0,21.7,59.8,30.09,-11.0,39.7,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,03:15,34.8,E@8.0,12.0,0.0,0,21.7,58.6,30.09,-11.0,39.7,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,03:30,34.7,E@8.0,12.1,0.0,0,21.7,58.9,30.08,-11.0,39.6,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
2020-03-05,03:45,34.6,E@8.2,12.6,0.0,0,21.7,59.0,30.07,-11.0,39.6,"Teske, Teske, Adams County",100021,Teske,2020-06-01 18:35:42.571793
