Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 8 in. Soil Tmp °F, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2020-03-05,00:15,33.6,21.7,61.4,0.0,0,30.14,E,9.1,16.3,40.4,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,00:30,33.9,21.9,61.0,0.0,0,30.14,E,7.8,10.6,40.3,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,00:45,34.4,22.3,61.0,0.0,0,30.13,E,7.8,12.7,40.3,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,01:00,34.8,22.3,60.0,0.0,0,30.13,E,8.1,12.1,40.3,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,01:15,35.2,21.8,57.7,0.0,0,30.13,E,8.7,12.2,40.2,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,01:30,36.1,21.7,55.6,0.0,0,30.12,E,8.7,12.0,40.1,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,01:45,36.4,21.7,55.0,0.0,0,30.12,E,9.9,14.4,39.9,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,02:00,35.8,21.3,55.2,0.0,0,30.11,E,9.3,14.5,39.9,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,02:15,35.2,21.2,56.2,0.0,0,30.11,E,8.8,13.2,39.9,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,02:30,34.9,21.1,56.8,0.0,0,30.1,E,8.3,13.1,39.7,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,02:45,34.2,21.5,59.2,0.0,0,30.09,E,8.9,14.0,39.7,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,03:00,34.3,21.7,59.8,0.0,0,30.09,E,8.6,11.9,39.7,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,03:15,34.8,21.7,58.6,0.0,0,30.09,E,8.0,12.0,39.7,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,03:30,34.7,21.7,58.9,0.0,0,30.08,E,8.0,12.1,39.6,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,03:45,34.6,21.7,59.0,0.0,0,30.07,E,8.2,12.6,39.6,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,04:00,34.8,21.7,58.5,0.0,0,30.07,E,6.8,12.3,39.6,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,04:15,35.0,21.8,58.3,0.0,0,30.07,E,9.4,14.1,39.5,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,04:30,35.6,22.3,58.1,0.0,0,30.07,E,8.5,13.4,39.4,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,04:45,35.6,22.3,58.2,0.0,0,30.07,E,7.2,10.4,39.4,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,05:00,35.1,22.3,59.3,0.0,0,30.07,E,6.9,10.0,39.4,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,05:15,35.0,22.3,59.4,0.0,0,30.06,E,7.4,10.3,39.4,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,05:30,35.0,22.5,59.9,0.0,0,30.06,E,7.1,9.5,39.2,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,05:45,34.7,22.9,61.6,0.0,0,30.05,E,7.2,10.3,39.2,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,06:00,34.4,22.9,62.4,0.0,0,30.05,E,5.7,9.9,39.2,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,06:15,33.8,22.9,64.0,0.0,0,30.05,NE,2.5,4.8,39.2,-11.1,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,06:30,34.0,22.9,63.4,0.0,2,30.05,NE,3.8,7.9,39.1,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,06:45,34.8,23.4,62.8,0.0,11,30.05,NE,5.7,9.0,39.0,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,07:00,34.4,23.7,64.6,0.0,34,30.04,E,4.7,8.2,39.0,-11.1,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,07:15,36.1,24.6,62.6,0.0,65,30.05,E,6.0,9.4,39.0,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
2020-03-05,07:30,37.2,25.3,61.6,0.0,89,30.04,E,6.9,10.5,39.0,-11.0,"Teske, Teske, Adams County",100021,Teske,2020-12-15 19:52:52.058731
