Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph," 20""Soil VWC %", 20 in. Soil Tmp °F," 10""Soil VWC %", 10 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2019-10-31,01:00,29.4,15.1,55.9,,0,30.4,E,6.5,10.1,27.3,45.34,29.9,39.56,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,02:00,28.6,14.9,57.5,,0,30.39,E,6.0,8.9,27.3,45.32,29.9,39.56,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,03:00,28.6,14.8,57.1,,0,30.38,E,6.5,10.3,27.3,45.32,29.9,39.52,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,04:00,28.7,15.3,58.2,,0,30.38,E,6.9,11.0,27.3,45.18,29.9,39.47,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,05:00,28.7,15.3,58.2,,0,30.37,E,7.4,12.8,27.3,45.14,29.9,39.4,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,06:00,29.3,15.9,57.8,,0,30.36,E,8.3,12.5,27.3,45.12,29.9,39.38,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,07:00,29.8,16.1,57.1,,5,30.36,E,8.1,12.1,27.3,45.0,29.9,39.36,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,08:00,30.2,16.8,57.8,,40,30.37,E,7.2,10.3,27.3,44.96,29.9,39.27,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,09:00,32.6,16.3,50.6,,70,30.35,E,7.8,11.9,27.3,44.96,29.9,39.22,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,10:00,33.7,17.8,51.7,,118,30.34,E,9.2,11.4,27.3,44.83,29.9,39.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,11:00,36.3,19.5,50.2,,227,30.35,NE,9.2,12.1,27.3,44.78,29.9,39.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,12:00,39.6,19.8,44.7,,250,30.34,E,5.1,9.8,27.2,44.78,29.9,39.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,13:00,40.8,17.4,38.4,,359,30.32,SW,3.1,5.1,27.2,44.78,29.9,39.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,14:00,43.4,15.6,32.1,,420,30.31,W,2.0,4.3,27.2,44.65,29.9,39.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,15:00,44.9,15.4,30.1,,303,30.31,W,1.6,2.9,27.2,44.6,29.9,39.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,16:00,43.1,16.4,33.7,,113,30.33,SW,1.8,3.1,27.2,44.6,29.9,39.16,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,17:00,36.9,16.6,43.2,,11,30.34,SW,1.1,2.2,27.2,44.56,29.9,39.13,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,18:00,34.5,17.5,49.5,,0,30.37,SE,2.0,2.9,27.2,44.46,29.9,39.13,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,19:00,33.2,16.4,49.6,,0,30.38,SE,1.8,3.1,27.2,44.42,29.9,39.11,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,20:00,33.2,15.4,47.7,,0,30.39,SE,1.3,2.7,27.2,44.42,29.9,39.06,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,21:00,29.9,17.6,60.9,,0,30.42,E,3.6,4.7,27.2,44.4,29.9,39.04,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,22:00,29.4,17.6,62.1,,0,30.44,E,2.7,4.9,27.2,44.29,29.9,39.02,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-10-31,23:00,28.9,16.4,60.4,,0,30.46,NE,1.1,2.2,27.2,44.24,29.9,39.02,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,24:00,26.1,17.4,72.0,,0,30.48,E,3.8,5.1,27.2,44.24,29.9,39.02,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,01:00,26.0,16.1,68.3,,0,30.49,E,3.8,4.9,27.2,44.24,29.9,38.98,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,02:00,24.8,16.5,73.6,,0,30.52,E,4.0,4.9,27.2,44.24,29.9,38.88,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,03:00,23.3,15.6,75.8,,0,30.52,E,4.3,4.9,27.2,44.1,29.9,38.86,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,04:00,22.8,15.3,76.6,,0,30.53,E,4.3,5.4,27.2,44.06,29.9,38.84,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,05:00,22.4,15.6,79.1,,0,30.54,E,5.1,6.7,27.2,44.06,29.9,38.84,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,06:00,22.3,15.6,79.8,,0,30.55,NE,5.4,6.5,27.2,44.06,29.9,38.82,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,07:00,22.1,15.7,80.8,,13,30.56,E,5.4,7.2,27.2,44.06,29.9,38.71,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,08:00,25.3,18.0,76.5,,115,30.58,NE,6.7,8.5,27.2,43.99,29.9,38.68,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
2019-11-01,09:00,28.6,19.8,70.9,,247,30.58,NE,7.2,9.2,27.2,43.88,29.9,38.66,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-16 01:26:57.182791
