Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-10-29,00:15,35.1,34.0,95.5,0.0,0.0,30.11,NE,2.3,3.9,0.0,47.8,51.2,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,00:30,35.0,34.4,97.3,0.0,0.0,30.11,N ,2.0,3.9,0.0,47.6,51.1,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,00:45,34.5,34.3,99.1,0.0,0.0,30.11,NE,2.3,3.5,0.0,47.4,51.1,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,01:00,34.9,34.7,99.2,0.0,0.0,30.1,NE,3.0,4.2,0.0,47.2,51.1,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,01:15,34.9,34.7,99.3,0.0,0.0,30.1,NE,3.2,4.6,0.0,47.0,51.1,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,01:30,35.3,35.1,99.3,0.0,0.0,30.1,N ,3.4,4.2,0.0,46.8,51.0,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,01:45,34.8,34.6,99.2,0.0,0.0,30.1,N ,2.9,3.9,0.0,46.6,51.0,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,02:00,34.7,34.6,99.3,0.0,0.0,30.1,NE,1.1,3.1,0.0,46.5,51.0,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,02:15,34.7,34.5,99.3,0.0,0.0,30.1,NE,3.1,4.6,0.0,46.3,51.0,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,02:30,34.8,34.6,99.3,0.0,0.0,30.1,NE,2.3,3.5,0.0,46.2,50.9,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,02:45,34.1,33.9,99.3,0.0,0.0,30.1,NE,1.8,3.1,0.0,46.0,50.9,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,03:00,33.5,33.3,99.3,0.0,0.0,30.1,NE,2.5,3.5,0.0,45.9,50.9,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
2020-10-29,03:15,34.5,34.4,99.3,0.0,0.0,30.09,NE,2.7,3.9,0.0,45.7,50.8,"Grandview, Grandview, Benton County",300093,Grandview,2020-12-16 04:43:42.543604
