Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2014-10-30,00:15,48.1,43.1,82.5,0.0,E@6.2,8.5,0.0,0,51.6,54.4,11.5,30.22,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,00:30,47.8,43.1,83.6,0.0,E@5.8,7.1,0.0,0,51.5,54.4,11.5,30.22,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,00:45,47.9,43.3,84.1,0.0,E@6.1,7.8,0.0,0,51.5,54.3,11.5,30.22,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,01:00,48.7,43.8,83.1,0.0,E@7.4,9.2,0.0,0,51.4,54.3,11.5,30.21,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,01:15,49.0,43.8,82.1,0.0,E@8.2,9.6,0.0,0,51.4,54.3,11.5,30.21,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,01:30,48.7,43.8,83.2,0.0,E@8.2,10.3,0.0,0,51.3,54.2,11.5,30.21,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,01:45,48.7,44.0,83.8,0.0,E@8.1,10.7,0.0,0,51.3,54.2,11.5,30.2,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,02:00,49.1,44.2,83.3,0.0,E@8.3,9.9,0.0,0,51.3,54.2,11.5,30.2,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,02:15,49.4,44.6,83.2,0.0,E@8.5,10.7,0.0,0,51.2,54.2,11.5,30.2,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,02:30,50.4,44.9,81.3,0.0,E@8.2,11.4,0.03,0,51.2,54.1,11.5,30.2,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,02:45,50.5,44.9,80.9,0.0,E@7.2,9.2,0.24,0,51.2,54.1,11.5,30.19,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,03:00,51.1,44.9,79.3,0.0,E@7.9,9.9,0.02,0,51.2,54.1,11.5,30.19,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,03:15,51.3,44.9,78.5,0.0,E@8.0,9.9,0.0,0,51.2,54.0,11.5,30.19,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,03:30,51.6,44.8,77.6,0.0,E@8.5,10.7,0.0,0,51.2,54.0,11.5,30.19,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,03:45,51.5,44.8,77.8,0.0,E@7.3,9.6,0.0,0,51.2,54.0,11.5,30.19,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,04:00,51.0,44.9,79.5,0.0,E@6.8,8.9,0.0,0,51.2,54.0,11.5,30.19,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,04:15,51.1,44.9,79.0,0.0,E@7.9,10.3,0.0,0,51.2,53.9,11.5,30.19,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,04:30,51.3,44.6,77.7,0.0,E@8.6,11.0,0.0,0,51.2,53.9,11.5,30.18,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,04:45,50.7,44.6,79.4,0.0,E@7.8,9.9,0.0,0,51.2,53.9,11.5,30.18,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,05:00,50.8,44.4,78.5,0.0,E@7.7,9.6,0.0,0,51.2,53.9,11.5,30.18,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,05:15,50.5,44.2,78.8,0.0,E@7.6,9.9,0.0,0,51.2,53.8,11.5,30.17,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,05:30,50.5,44.2,78.8,0.0,E@8.5,11.0,0.0,0,51.2,53.8,11.5,30.17,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,05:45,50.6,44.1,78.5,0.0,E@9.2,11.0,0.0,0,51.2,53.8,11.5,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,06:00,51.0,44.2,77.3,0.0,E@9.2,10.7,0.0,0,51.2,53.8,11.5,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,06:15,51.1,44.1,76.8,0.0,E@8.3,10.3,0.0,0,51.2,53.8,11.5,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,06:30,51.3,44.1,76.2,0.0,E@7.0,8.5,0.0,0,51.2,53.8,11.5,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,06:45,51.4,44.0,75.8,0.0,E@7.6,9.9,0.0,0,51.1,53.7,11.5,30.17,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,07:00,51.0,44.1,77.1,0.0,E@7.7,9.6,0.0,0,51.1,53.7,11.5,30.17,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,07:15,50.7,44.1,77.9,0.0,E@7.4,9.6,0.0,0,51.1,53.7,11.5,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,07:30,50.6,44.1,78.2,0.0,E@7.6,9.6,0.0,0,51.1,53.7,11.5,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,07:45,50.5,44.2,78.7,0.0,E@7.5,9.6,0.0,3,51.1,53.7,11.5,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,08:00,50.8,44.2,77.9,0.0,E@9.2,11.7,0.0,9,51.1,53.7,11.5,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,08:15,51.1,44.2,77.1,0.0,E@10.3,13.9,0.0,16,51.1,53.7,11.5,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,08:30,51.6,44.2,75.7,0.0,E@10.3,13.2,0.0,25,51.1,53.7,11.4,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,08:45,52.3,44.1,73.6,0.0,E@10.8,14.2,0.0,27,51.1,53.6,11.4,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,09:00,52.8,44.1,72.1,0.0,E@9.8,12.4,0.0,33,51.1,53.6,11.4,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,09:15,53.3,44.1,70.9,0.0,E@9.9,12.1,0.0,53,51.2,53.6,11.4,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,09:30,54.1,44.1,68.7,0.0,E@9.1,12.1,0.0,55,51.2,53.6,11.4,30.16,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,09:45,54.7,44.3,67.6,0.0,E@9.1,14.2,0.0,72,51.2,53.6,11.4,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,10:00,55.6,44.5,66.2,0.0,E@11.1,15.7,0.0,127,51.3,53.6,11.4,30.15,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,10:15,56.7,44.1,62.7,0.0,E@12.6,16.7,0.0,170,51.3,53.6,11.4,30.14,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,10:30,57.3,44.4,61.9,0.0,E@12.5,19.2,0.0,188,51.4,53.6,11.4,30.14,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,10:45,57.7,44.4,61.1,0.0,E@12.5,16.0,0.0,172,51.5,53.6,11.4,30.14,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,11:00,57.7,45.0,62.4,0.0,E@12.1,16.0,0.0,176,51.7,53.6,11.4,30.14,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
2014-10-30,11:15,58.0,44.9,61.5,0.0,E@12.0,16.4,0.0,157,51.8,53.6,11.4,30.14,"LaCrosse, LaCrosse, Whitman County",300201,LaCrosse,2020-06-01 13:18:17.014841
