Date,Time PDT,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2015-10-29,00:15,57.8,56.8,57.5,99.1,0.0,SE@2.9,6.4,0.66,0,56.1,56.8,21.9,30.02,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,00:30,57.8,56.9,57.6,99.1,0.0,SE@2.6,4.2,0.66,0,56.1,56.8,21.8,30.02,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,00:45,57.8,56.9,57.6,99.1,0.0,SE@2.1,4.9,0.67,0,56.1,56.7,21.8,30.03,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,01:00,57.8,56.8,57.6,99.1,0.0,SE@2.1,3.9,0.67,0,56.2,56.7,21.8,30.03,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,01:15,57.7,56.6,57.4,99.0,0.0,SE@2.2,4.6,0.67,0,56.2,56.7,21.8,30.03,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,01:30,57.6,56.5,57.4,99.0,0.0,SE@2.1,3.9,0.67,0,56.2,56.7,21.8,30.03,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,01:45,57.5,56.3,57.2,99.1,0.0,SE@2.5,4.2,0.67,0,56.2,56.6,21.8,30.03,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,02:00,57.5,55.7,57.3,99.1,0.0,SE@2.0,3.5,0.67,0,56.2,56.6,21.8,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,02:15,57.3,55.0,57.1,99.1,0.0,SE@2.6,4.6,0.7,0,56.2,56.6,21.7,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,02:30,57.1,54.1,56.9,99.1,0.0,SE@2.3,4.6,0.7,0,56.2,56.6,21.7,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,02:45,56.8,53.4,56.6,99.1,0.0,SE@1.9,3.9,0.7,0,56.1,56.6,21.7,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,03:00,56.6,52.8,56.4,99.1,0.0,SE@2.4,3.5,0.7,0,55.9,56.6,21.7,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,03:15,56.8,54.9,56.6,99.3,0.0,SE@2.6,3.5,0.71,0,55.8,56.6,21.6,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,03:30,57.3,56.1,57.2,99.3,0.0,SE@2.7,4.6,0.71,0,55.7,56.5,21.6,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,03:45,57.5,56.4,57.4,99.3,0.0,SE@2.8,5.3,0.71,0,55.7,56.5,21.6,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,04:00,57.4,55.6,57.2,99.3,0.0,SE@3.1,4.6,0.71,0,55.7,56.5,21.6,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,04:15,57.0,54.2,56.8,99.3,0.0,SE@2.5,4.6,0.71,0,55.8,56.5,21.6,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,04:30,57.0,54.8,56.8,99.4,0.0,SE@2.8,4.9,0.71,0,55.7,56.4,21.6,30.04,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,04:45,57.1,55.5,57.0,99.4,0.0,SE@2.2,6.0,0.71,0,55.6,56.4,21.6,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,05:00,57.7,56.6,57.5,99.3,0.0,SE@1.9,4.2,0.72,0,55.6,56.4,21.5,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,05:15,57.5,55.8,57.3,99.2,0.0,SE@2.4,6.7,0.72,0,55.6,56.4,21.5,30.05,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,05:30,57.5,55.5,57.3,99.2,0.0,SE@2.0,5.3,0.72,0,55.6,56.4,21.5,30.06,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,05:45,57.4,54.8,57.2,99.1,0.0,SE@1.9,5.7,0.72,0,55.6,56.3,21.4,30.06,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,06:00,57.5,56.0,57.3,99.1,0.0,SE@2.3,5.3,0.72,0,55.5,56.3,21.4,30.07,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,06:15,57.2,54.3,57.0,99.1,0.0,SE@1.7,3.5,0.72,0,55.5,56.3,21.4,30.07,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,06:30,57.1,54.1,56.9,99.1,0.0,SE@2.7,5.7,0.72,0,55.4,56.3,21.4,30.07,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,06:45,56.9,53.5,56.6,99.1,0.0,SE@2.3,4.6,0.72,0,55.4,56.2,21.4,30.07,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
2015-10-29,07:00,56.1,51.3,55.9,99.1,0.0,SE@2.8,4.2,0.71,0,55.3,56.2,21.4,30.07,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-06-01 13:52:25.291662
