Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2019-10-31,00:15,27.1,25.0,94.9,0.0,0,30.42,S,1.1,3.1,0.0,41.2,42.9,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,00:30,26.8,24.7,95.1,0.0,0,30.42,N ,0.0,0.0,0.0,41.2,42.9,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,00:45,26.4,24.4,95.5,0.0,0,30.42,N ,0.0,0.0,0.0,41.1,42.9,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,01:00,26.3,24.4,95.7,0.0,0,30.42,N ,0.0,0.0,0.0,41.1,42.9,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,01:15,26.4,24.5,95.8,0.0,0,30.42,S,1.5,3.5,0.0,41.0,42.8,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,01:30,26.3,24.3,95.7,0.0,0,30.42,SW,0.2,2.1,0.0,41.0,42.8,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,01:45,26.5,24.5,95.6,0.0,0,30.42,S,1.9,3.9,0.0,40.9,42.8,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,02:00,26.6,24.5,95.2,0.0,0,30.42,S,2.3,3.5,0.0,40.9,42.7,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,02:15,26.6,24.6,95.2,0.0,0,30.41,S,0.9,4.6,0.0,40.8,42.7,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,02:30,27.7,25.7,94.7,0.0,0,30.42,N ,0.0,0.0,0.0,40.8,42.7,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,02:45,27.8,25.6,93.9,0.0,0,30.42,S,1.0,3.5,0.0,40.7,42.7,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,03:00,27.2,24.9,94.1,0.0,0,30.41,S,1.5,3.9,0.0,40.7,42.7,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,03:15,28.1,26.0,94.3,0.0,0,30.42,S,0.2,2.8,0.0,40.6,42.6,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,03:30,28.6,26.4,93.8,0.0,0,30.42,S,1.4,3.9,0.0,40.6,42.6,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,03:45,28.6,26.4,93.7,0.0,0,30.42,N ,0.0,0.0,0.0,40.6,42.5,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,04:00,29.0,26.7,93.2,0.0,0,30.42,S,0.3,2.8,0.0,40.5,42.5,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,04:15,29.3,27.0,93.0,0.0,0,30.41,S,0.2,2.1,0.04,40.5,42.5,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,04:30,29.3,26.9,92.7,0.0,0,30.42,S,1.3,3.9,0.01,40.5,42.5,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,04:45,29.3,26.9,92.7,0.0,0,30.42,N ,0.0,0.0,0.01,40.5,42.5,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,05:00,29.4,27.1,92.9,0.0,0,30.42,N ,0.0,0.0,0.05,40.4,42.4,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,05:15,29.6,27.3,92.8,0.0,0,30.42,S,0.1,2.1,0.06,40.4,42.4,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,05:30,29.8,27.5,92.7,0.0,0,30.42,S,0.2,1.7,0.06,40.4,42.4,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,05:45,30.0,27.6,92.2,0.0,0,30.42,S,0.0,1.4,0.06,40.4,42.4,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,06:00,30.2,27.9,92.3,0.0,0,30.41,S,1.4,3.5,0.07,40.4,42.3,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,06:15,30.5,28.1,91.7,0.0,0,30.41,S,0.2,2.8,0.07,40.3,42.3,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,06:30,30.9,28.4,91.0,0.0,0,30.42,S,0.5,2.8,0.07,40.3,42.3,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,06:45,30.7,28.2,91.2,0.0,0,30.42,S,0.9,2.8,0.07,40.3,42.3,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,07:00,30.7,28.2,91.4,0.0,0,30.42,SW,0.3,3.1,0.07,40.3,42.3,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,07:15,30.6,28.2,91.7,0.0,0,30.42,S,1.8,3.9,0.07,40.3,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,07:30,30.2,27.9,92.3,0.0,0,30.42,SW,0.6,3.5,0.06,40.3,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,07:45,29.9,27.6,92.3,0.0,0,30.42,S,0.8,3.1,0.06,40.3,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,08:00,29.2,26.9,92.8,0.0,3,30.42,S,0.4,3.1,0.04,40.3,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,08:15,29.1,26.8,93.0,0.0,11,30.43,N ,0.0,0.0,0.02,40.3,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,08:30,28.6,26.5,94.0,0.0,28,30.43,S,2.1,3.9,0.04,40.2,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,08:45,29.4,27.4,93.8,0.0,47,30.43,S,1.9,3.1,0.06,40.2,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,09:00,30.3,28.2,93.1,0.0,56,30.43,S,1.1,3.5,0.07,40.2,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,09:15,31.2,29.1,93.0,0.0,69,30.44,S,1.9,4.2,0.09,40.2,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,09:30,32.4,30.4,92.2,0.0,78,30.44,S,1.3,2.8,0.12,40.2,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,09:45,33.5,31.3,91.6,0.0,82,30.44,N ,0.0,0.0,0.15,40.2,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,10:00,35.0,32.1,89.2,0.0,92,30.44,S,1.4,3.1,0.16,40.2,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,10:15,36.9,32.8,85.0,0.0,184,30.44,S,0.8,2.8,0.16,40.1,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,10:30,39.0,32.9,78.7,0.0,258,30.44,S,1.5,3.5,0.06,40.2,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,10:45,41.1,33.8,75.0,0.0,266,30.44,S,0.9,2.8,0.0,40.2,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,11:00,43.9,35.5,72.3,0.0,234,30.44,N ,0.0,0.0,0.0,40.2,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,11:15,45.4,36.4,70.4,0.0,188,30.44,N ,0.0,0.0,0.0,40.2,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,11:30,46.4,37.2,69.9,0.0,196,30.44,N ,0.0,0.0,0.0,40.2,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,11:45,47.3,36.5,65.8,0.0,202,30.44,NW,0.1,2.1,0.0,40.3,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,12:00,47.7,35.8,63.0,0.0,187,30.44,N ,0.0,0.0,0.0,40.4,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,12:15,48.9,36.4,61.8,0.0,327,30.44,N,0.3,2.8,0.0,40.4,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,12:30,49.9,36.7,60.1,0.0,363,30.44,N ,1.5,5.3,0.0,40.5,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,12:45,50.0,37.1,61.0,0.0,427,30.44,NE,2.4,7.8,0.0,40.7,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,13:00,50.1,37.4,61.7,0.0,407,30.44,NE,3.8,7.1,0.0,40.8,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,13:15,50.4,38.2,62.8,0.0,423,30.44,NE,4.6,8.2,0.0,40.9,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,13:30,50.8,38.4,62.2,0.0,380,30.44,NE,4.4,8.2,0.0,41.0,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,13:45,49.8,38.1,64.0,0.0,282,30.43,NE,4.8,7.8,0.0,41.2,42.0,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,14:00,50.1,37.8,62.4,0.0,397,30.43,NE,4.6,8.2,0.0,41.3,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,14:15,50.1,37.3,61.3,0.0,362,30.43,NE,5.3,8.2,0.0,41.4,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,14:30,50.2,36.3,58.8,0.0,339,30.44,NE,5.5,8.5,0.0,41.6,42.1,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,14:45,50.6,36.2,57.5,0.0,335,30.44,N ,4.9,7.8,0.0,41.7,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,15:00,50.5,35.8,56.8,0.0,283,30.43,N ,4.8,7.8,0.0,41.8,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,15:15,50.4,36.0,57.6,0.0,197,30.44,N ,4.4,6.7,0.0,42.0,42.2,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
2019-10-31,15:30,50.2,36.3,58.5,0.0,193,30.43,NE,3.9,6.7,0.0,42.1,42.3,7.3,"Chimacum, Chimacum, Jefferson County",300220,Chimacum,2021-04-15 13:03:19.099475
