Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2010-03-11,00:15,37.3,24.0,58.2,0.0,0,SE,0.0,1.4,0.0,47.6,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,00:30,36.9,24.7,61.0,0.0,0,N ,0.0,0.0,0.0,47.5,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,00:45,36.9,25.5,62.9,0.0,0,N ,0.0,0.0,0.0,47.4,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,01:00,38.0,26.2,62.2,0.0,0,S,0.1,2.8,0.0,47.3,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,01:15,40.0,26.2,57.4,0.0,0,S,3.9,11.0,0.0,47.2,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,01:30,41.5,26.1,54.1,0.0,0,SE,4.8,9.6,0.0,47.1,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,01:45,40.3,25.3,54.7,0.0,0,SE,4.7,9.6,0.0,47.0,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,02:00,39.0,24.8,56.3,0.0,0,SE,1.0,5.3,0.0,46.9,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,02:15,38.3,25.1,58.6,0.0,0,SE,0.2,4.6,0.0,46.8,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,02:30,38.4,24.8,57.6,0.0,0,SE,0.2,3.1,0.0,46.7,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,02:45,38.3,25.1,58.7,0.0,0,W,0.1,2.4,0.0,46.6,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,03:00,39.5,24.8,55.3,0.0,0,S,3.0,8.2,0.0,46.6,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,03:15,38.8,25.8,59.1,0.0,0,SW,0.2,3.1,0.0,46.5,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,03:30,39.0,25.3,57.6,0.0,0,S,0.1,3.1,0.0,46.4,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,03:45,39.2,25.5,57.7,0.0,0,S,1.6,8.5,0.0,46.4,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,04:00,39.5,26.0,58.1,0.0,0,SE,2.3,6.7,0.0,46.3,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,04:15,39.7,26.1,57.8,0.0,0,S,3.7,8.9,0.0,46.2,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,04:30,39.7,26.2,58.0,0.0,0,SE,4.1,9.6,0.0,46.2,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,04:45,39.6,26.7,59.7,0.0,0,SE,6.4,11.0,0.0,46.1,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,05:00,39.2,26.7,60.4,0.0,0,SE,5.7,12.1,0.0,46.0,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,05:15,39.0,26.6,60.7,0.0,0,SE,5.1,11.7,0.0,46.0,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,05:30,39.0,26.6,60.7,0.0,0,SE,7.2,13.5,0.0,45.9,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,05:45,39.3,26.3,59.3,0.0,0,SE,7.1,12.8,0.0,45.9,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,06:00,39.8,25.9,57.4,0.0,0,SE,6.3,12.1,0.0,45.8,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,06:15,40.1,25.6,55.7,0.0,0,SE,6.8,12.8,0.0,45.8,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,06:30,40.1,25.7,56.0,0.0,2,SE,4.9,11.0,0.0,45.7,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,06:45,40.1,25.9,56.6,0.0,9,SE,2.7,7.4,0.0,45.7,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,07:00,40.5,25.9,55.7,0.0,20,S,0.5,3.9,0.0,45.6,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,07:15,40.7,26.1,55.6,0.0,39,S,1.7,6.4,0.0,45.6,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,07:30,41.3,26.0,54.4,0.0,50,SE,2.0,7.8,0.0,45.5,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,07:45,41.4,26.1,54.1,0.0,70,SE,5.2,8.9,0.0,45.5,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,08:00,41.5,26.2,54.2,0.0,95,SE,6.2,12.1,0.0,45.5,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,08:15,41.9,26.7,54.4,0.0,74,SE,3.9,7.8,0.0,45.4,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,08:30,42.2,26.8,54.1,0.0,61,S,2.2,5.3,0.0,45.4,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,08:45,42.4,26.7,53.4,0.0,59,S,3.1,6.4,0.0,45.4,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,09:00,42.5,26.9,53.6,0.0,68,S,2.5,6.0,0.0,45.3,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,09:15,42.8,26.9,53.2,0.0,89,SE,4.2,6.7,0.0,45.3,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,09:30,43.1,27.0,52.7,0.0,115,SE,3.6,8.5,0.0,45.3,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
2010-03-11,09:45,43.6,27.3,52.3,0.0,134,SE,3.3,7.1,0.0,45.3,"Parker, Yakima County",310132,Parker,2020-12-15 22:56:56.309734
