Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2008-04-01,00:15,21.3,16.8,87.3,0.0,0,,E,1.4,3.0,,37.3,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,00:30,20.6,16.1,87.4,0.0,0,,N ,0.0,1.1,,37.3,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,00:45,20.7,17.2,91.6,0.0,0,,E,1.4,3.2,,37.2,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,01:00,22.1,17.1,85.4,0.0,0,,E,1.7,3.0,,37.2,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,01:15,22.7,18.7,88.7,0.0,0,,SW,1.4,3.2,,37.1,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,01:30,25.7,19.9,81.2,0.0,0,,SW,1.3,3.9,,37.0,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,01:45,23.3,17.4,81.6,0.0,0,,N ,1.1,3.4,,36.9,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,02:00,22.0,17.6,87.3,0.0,0,,E,1.1,2.3,,36.8,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,02:15,19.7,15.2,87.9,0.0,0,,NE,0.2,1.3,,36.8,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,02:30,18.1,14.1,91.1,0.0,0,,E,1.1,2.7,,36.7,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,02:45,17.5,14.1,93.3,0.0,0,,SE,1.7,1.8,,36.7,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,03:00,17.9,14.6,93.8,0.0,0,,E,1.1,2.7,,36.6,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,03:15,18.1,14.9,93.8,0.0,0,,E,1.4,3.8,,36.6,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,03:30,18.9,15.4,92.6,0.0,0,,E,1.4,2.9,,36.5,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,03:45,18.1,14.0,90.4,0.0,0,,E,1.1,2.7,,36.4,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
2008-04-01,04:00,17.2,13.8,93.6,0.0,0,,NW,0.4,2.1,,36.4,"Moxee.SE, Yakima County",310143,Moxee.SE,2020-12-15 23:27:47.481621
