Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2009-03-05,00:15,45.5,39.3,78.5,0.0,0,,S,4.0,7.1,,45.8,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,00:30,45.4,39.1,78.4,0.0,0,,S,5.7,15.7,,45.8,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,00:45,45.5,38.8,77.4,0.0,0,,S,5.9,13.9,,45.8,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,01:00,45.4,38.8,77.4,0.0,0,,S,6.8,13.9,,45.7,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,01:15,45.4,38.7,77.0,0.0,0,,S,6.5,12.8,,45.7,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,01:30,45.4,38.4,76.4,0.0,0,,S,5.8,10.7,,45.7,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,01:45,45.4,38.5,76.6,0.0,0,,S,3.5,7.4,,45.6,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,02:00,45.4,38.5,76.6,0.0,0,,S,3.4,7.8,,45.6,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,02:15,45.5,38.5,76.3,0.0,0,,W,3.9,7.4,,45.6,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,02:30,44.9,39.1,80.0,0.01,0,,SW,3.9,9.2,,45.5,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,02:45,44.2,39.6,83.6,0.01,0,,SW,3.9,7.8,,45.5,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,03:00,43.7,40.4,87.8,0.02,0,,SW,2.4,6.4,,45.5,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,03:15,42.1,40.2,93.2,0.06,0,,E,4.4,7.1,,45.5,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,03:30,41.3,39.7,94.0,0.04,0,,SE,1.7,5.7,,45.4,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,03:45,41.3,39.7,94.0,0.03,0,,S,0.6,2.8,,45.4,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,04:00,41.0,39.6,94.3,0.01,0,,E,1.4,4.2,,45.3,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,04:15,40.6,38.7,93.0,0.02,0,,NE,3.2,6.0,,45.2,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,04:30,40.3,38.1,91.6,0.0,0,,E,1.9,3.9,,45.2,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,04:45,40.3,38.5,92.9,0.0,0,,SE,0.7,2.8,,45.1,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,05:00,40.0,38.5,94.5,0.01,0,,S,2.0,3.9,,45.1,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,05:15,39.3,38.2,95.9,0.0,0,,S,4.2,7.8,,45.0,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,05:30,38.5,37.6,96.3,0.01,0,,SE,3.9,7.1,,45.0,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,05:45,38.5,37.8,97.2,0.01,0,,S,4.3,8.9,,45.0,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,06:00,38.5,37.7,96.9,0.02,0,,S,3.9,8.2,,45.0,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,06:15,39.3,37.5,93.1,0.01,0,,S,3.5,9.6,,44.9,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,06:30,38.6,37.3,95.2,0.0,0,,SE,4.0,6.0,,44.9,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,06:45,38.5,37.3,95.4,0.0,1,,SE,4.7,8.2,,44.8,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,07:00,38.9,37.6,95.0,0.0,2,,E,2.5,4.6,,44.8,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,07:15,39.0,37.9,95.9,0.0,6,,E,1.0,2.8,,44.7,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,07:30,38.9,37.9,96.3,0.0,16,,SE,1.6,2.4,,44.7,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,07:45,39.0,38.0,96.2,0.0,16,,SE,1.9,3.5,,44.7,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,08:00,39.3,38.1,95.4,0.0,21,,SE,1.4,3.5,,44.6,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,08:15,39.4,38.0,94.6,0.0,22,,NE,3.9,8.2,,44.6,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,08:30,39.1,36.7,91.0,0.0,23,,SE,3.1,7.1,,44.6,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,08:45,39.1,36.6,90.4,0.0,37,,SE,1.9,6.0,,44.5,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,09:00,39.1,36.5,90.0,0.0,93,,E,2.6,6.0,,44.5,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,09:15,39.9,37.1,89.6,0.0,160,,S,2.8,7.4,,44.5,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
2009-03-05,09:30,39.9,36.6,87.8,0.0,90,,SE,3.6,6.7,,44.4,,,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-09 14:00:58.049566
