Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2018-03-08,00:15,37.9,26.1,62.1,0.0,0,29.94,N,9.6,12.8,0.0,38.3,38.4,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,00:30,38.0,25.9,61.4,0.0,0,29.94,NW,9.6,12.8,0.0,38.3,38.3,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,00:45,37.9,26.1,62.1,0.0,0,29.94,NW,9.2,13.5,0.0,38.2,38.3,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,01:00,37.4,27.7,67.7,0.0,0,29.94,NW,9.1,12.4,0.0,38.2,38.3,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,01:15,36.8,30.4,77.3,0.0,0,29.94,NW,7.2,9.6,0.0,38.1,38.3,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,01:30,36.0,32.2,86.2,0.01,0,29.94,N,5.6,7.8,0.0,38.1,38.3,20.0,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,01:45,35.5,32.9,89.8,0.01,0,29.93,NW,6.8,9.2,0.0,38.0,38.2,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,02:00,35.3,33.1,91.5,0.01,0,29.93,NW,7.4,9.6,0.0,38.0,38.2,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,02:15,35.0,33.6,94.4,0.01,0,29.92,NW,7.5,9.9,0.0,37.9,38.2,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,02:30,34.6,34.1,98.0,0.01,0,29.9,N,8.2,9.9,0.0,37.9,38.2,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,02:45,34.5,34.4,99.3,0.0,0,29.9,NW,9.1,11.7,0.0,37.9,38.2,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,03:00,34.3,34.1,99.3,0.0,0,29.89,NW,8.0,11.4,0.0,37.8,38.1,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,03:15,34.0,33.8,99.3,0.0,0,29.89,N,6.9,9.2,0.0,37.8,38.1,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,03:30,34.1,33.9,99.3,0.0,0,29.89,N,6.2,8.5,0.0,37.7,38.1,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,03:45,34.1,33.9,99.3,0.0,0,29.89,N,5.5,7.4,0.0,37.7,38.1,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,04:00,34.2,34.0,99.3,0.0,0,29.89,N ,4.8,6.7,0.0,37.6,38.0,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,04:15,34.2,34.1,99.3,0.0,0,29.89,N,3.8,5.7,0.02,37.6,38.0,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,04:30,33.8,33.7,99.3,0.0,0,29.88,NW,7.3,9.9,0.06,37.6,38.0,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,04:45,33.5,33.4,99.3,0.0,0,29.88,N,8.0,10.3,0.06,37.5,38.0,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,05:00,33.3,33.2,99.3,0.0,0,29.87,N,7.3,9.9,0.06,37.5,38.0,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
2018-03-08,05:15,32.8,32.7,99.3,0.0,0,29.86,N,6.7,9.6,0.06,37.5,37.9,20.1,"George, George, Grant County",330033,George,2020-12-16 04:54:47.496100
