Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2021-03-10,23:15,33.2,31.7,94.0,0.0,0,SW,2.8,4.9,0.06,45.0,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-10,23:30,32.3,30.5,92.8,0.0,0,W,1.1,5.3,0.06,44.9,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-10,23:45,34.7,32.5,91.6,0.0,0,SW,4.6,8.2,0.02,44.9,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-10,24:00,35.4,32.2,87.8,0.0,0,SW,3.8,6.7,0.01,44.8,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,00:30,36.7,32.5,84.7,0.0,0,SW,4.7,7.8,0.01,44.7,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,00:45,39.1,32.0,75.4,0.0,0,SW,5.7,9.2,0.01,44.6,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,01:00,36.8,31.6,81.1,0.0,0,SW,4.7,8.2,0.01,44.5,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,01:15,36.3,32.0,84.5,0.0,0,SW,4.6,7.8,0.01,44.5,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,01:30,36.4,32.3,84.9,0.0,0,S,2.8,5.7,0.01,44.4,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,01:45,35.6,32.1,86.9,0.0,0,SW,2.6,4.2,0.01,44.3,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,02:00,37.5,33.8,86.3,0.0,0,SW,3.3,6.7,0.01,44.2,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,02:15,37.1,32.6,83.7,0.0,0,SW,3.7,5.3,0.01,44.1,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,02:30,37.1,32.9,84.5,0.0,0,SW,3.5,4.9,0.01,44.1,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,02:45,36.0,31.9,84.8,0.0,0,SW,4.0,4.9,0.01,44.0,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,03:00,35.6,31.6,85.2,0.0,0,SW,3.0,5.7,0.01,43.9,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
2021-03-11,03:15,33.2,30.0,88.0,0.0,0,E,1.6,4.9,0.02,43.8,"Sequim, Clallam County",330039,Sequim,2021-04-15 12:25:19.826610
