Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
1995-03-29,23:15,44.8,24.1,43.8,0.0,N @1.0,1.0,0.0,0.0,49.6,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-29,23:30,44.2,23.8,44.2,0.0,N @1.0,1.0,0.0,0.0,49.5,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-29,23:45,43.6,23.7,45.0,0.0,W@1.9,1.9,0.0,0.0,49.4,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-29,24:00,,,,,,,,,,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,00:15,44.7,24.6,44.8,0.0,W@3.7,3.7,0.0,0.0,49.4,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,00:30,44.7,24.7,45.1,0.0,NW@3.3,3.3,0.0,0.0,49.2,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,00:45,43.9,25.0,46.9,0.0,NW@3.1,3.1,0.0,0.0,49.2,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,01:00,43.6,25.1,47.8,0.0,NW@2.8,2.8,0.0,0.0,49.2,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,01:15,42.6,25.3,50.0,0.0,NW@2.2,2.2,0.0,0.0,49.1,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,01:30,41.8,25.3,51.7,0.0,NW@1.5,1.5,0.0,0.0,49.0,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,01:45,41.0,25.8,54.3,0.0,W@2.0,2.0,0.0,0.0,48.9,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,02:00,41.2,26.1,54.5,0.0,W@2.4,2.4,0.0,0.0,48.8,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,02:15,41.3,25.9,54.0,0.0,W@3.1,3.1,0.0,0.0,48.7,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
1995-03-30,02:30,41.3,26.1,54.4,0.0,W@3.1,3.1,0.0,0.0,48.7,"Quincy, Grant County",330073,Quincy,2020-06-01 04:08:26.486414
