Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2015-10-29,00:15,55.0,53.9,95.8,0.0,0,29.99,E,1.7,4.2,0.73,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,00:30,54.8,53.8,96.4,0.0,0,29.99,E,1.0,3.9,0.73,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,00:45,55.0,54.1,96.5,0.0,0,29.99,E,1.8,4.2,0.73,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,01:00,55.3,54.2,96.0,0.0,0,29.99,E,1.7,4.2,0.73,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,01:15,55.4,54.3,96.0,0.0,0,29.99,E,2.1,4.9,0.73,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,01:30,55.6,54.4,95.6,0.0,0,30.0,E,1.6,4.6,0.73,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,01:45,55.7,54.5,95.7,0.0,0,30.0,E,1.5,4.9,0.73,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,02:00,55.8,54.5,95.3,0.0,0,30.0,E,2.0,4.6,0.72,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,02:15,55.7,54.4,95.4,0.0,0,30.0,E,2.2,5.7,0.7,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,02:30,55.4,54.4,96.3,0.0,0,30.01,E,1.9,4.9,0.68,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,02:45,55.6,54.4,95.7,0.0,0,30.01,E,0.9,4.2,0.64,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,03:00,55.5,54.4,96.0,0.0,0,30.01,E,0.9,5.3,0.61,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,03:15,55.4,54.4,96.3,0.0,0,30.01,E,1.2,3.9,0.58,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,03:30,55.7,54.2,94.8,0.0,0,30.01,E,2.4,4.9,0.52,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,03:45,55.9,54.1,93.8,0.0,0,30.02,E,2.3,6.7,0.4,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,04:00,55.8,54.2,94.1,0.0,0,30.02,E,1.9,5.7,0.29,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,04:15,56.1,53.9,92.5,0.0,0,30.01,E,3.0,5.7,0.13,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,04:30,56.0,53.8,92.1,0.0,0,30.01,E,3.6,6.7,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,04:45,55.8,53.9,93.2,0.0,0,30.01,E,2.7,7.4,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,05:00,55.8,53.9,93.3,0.0,0,30.01,E,1.6,6.0,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,05:15,55.7,54.0,94.0,0.0,0,30.01,E,2.3,6.0,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,05:30,55.7,54.0,94.1,0.0,0,30.01,E,2.3,5.7,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,05:45,55.7,53.9,93.8,0.0,0,30.02,E,2.0,4.9,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,06:00,55.7,54.0,93.9,0.0,0,30.02,E,1.9,4.9,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,06:15,55.6,54.2,95.0,0.0,0,30.03,E,1.6,6.4,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,06:30,55.8,54.2,94.3,0.0,0,30.03,E,0.6,3.5,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,06:45,55.9,54.2,94.2,0.0,0,30.03,E,2.2,5.3,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,07:00,56.1,54.2,93.4,0.0,0,30.03,E,2.4,5.7,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,07:15,56.1,54.2,93.3,0.0,0,30.03,E,2.8,6.7,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,07:30,56.0,54.1,93.4,0.0,0,30.03,E,2.7,5.7,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,07:45,56.0,53.9,92.8,0.0,0,30.03,E,3.0,6.4,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,08:00,56.0,53.9,92.7,0.0,0,30.03,E,3.1,6.7,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
2015-10-29,08:15,56.0,53.8,92.4,0.0,4,30.04,E,2.7,5.7,0.0,57.2,"Seattle, King County",330092,Seattle,2021-04-28 22:36:01.449858
