Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2008-03-05,23:15,32.4,25.2,74.5,0.0,N@0.0,1.0,0.02,0,40.7,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-05,23:30,31.9,25.1,75.7,0.0,N @0.2,3.1,0.02,0,40.6,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-05,23:45,30.8,24.7,78.4,0.0,NE@0.5,1.9,0.02,0,40.4,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-05,24:00,30.0,24.6,80.8,0.0,NE@0.5,2.4,0.02,0,40.3,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,00:15,30.2,24.8,80.9,0.0,NE@0.6,1.7,0.02,0,40.2,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,00:30,30.5,24.9,79.8,0.0,NE@0.2,1.4,0.02,0,40.1,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,00:45,30.0,24.6,80.9,0.0,N @0.2,1.2,0.02,0,40.0,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,01:00,30.2,24.7,80.5,0.0,N@0.8,1.6,0.02,0,39.9,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,01:15,30.4,24.7,79.7,0.0,NW@1.3,2.2,0.02,0,39.9,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,01:30,29.3,24.0,81.6,0.0,NE@0.2,1.4,0.02,0,39.8,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,01:45,29.2,24.3,83.0,0.0,NE@0.1,0.9,0.02,0,39.7,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,02:00,28.7,24.0,83.8,0.0,NE@0.2,1.7,0.02,0,39.6,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
2008-03-06,02:15,28.9,24.1,83.7,0.0,NW@0.7,1.4,0.02,0,39.5,,"Pogue.Flat (Pogue Flat), Okanogan County",330104,Pogue.Flat,2020-06-01 04:38:11.896603
