Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph,Location,Station ID,Station Name,Download Timestamp
2013-03-06,23:15,40.2,39.0,95.4,0.0,0,,SE,5.6,7.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-06,23:30,40.0,38.6,94.6,0.0,0,,SE,5.3,6.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-06,23:45,40.1,38.5,94.1,0.0,0,,SE,4.5,6.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-06,24:00,40.1,38.4,93.5,0.0,0,,SE,4.1,5.3,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,00:15,40.1,38.4,93.3,0.0,0,,SE,3.5,5.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,00:30,40.3,38.5,93.2,0.0,0,,SE,4.8,7.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,00:45,40.3,38.4,92.8,0.0,0,,SE,5.4,7.4,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,01:00,40.3,38.3,92.5,0.01,0,,SE,6.2,9.2,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,01:15,40.2,38.2,92.3,0.0,0,,SE,6.5,9.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,01:30,40.2,38.1,92.1,0.0,0,,SE,7.1,11.0,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,01:45,40.2,38.0,91.6,0.01,0,,SE,7.9,10.3,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,02:00,40.2,37.9,91.3,0.0,0,,SE,7.2,11.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,02:15,40.2,37.8,91.0,0.01,0,,SE,8.0,11.7,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,02:30,40.1,37.7,90.9,0.0,0,,SE,7.9,12.1,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,02:45,40.1,37.7,90.9,0.0,0,,SE,6.9,9.6,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,03:00,40.1,37.7,91.1,0.01,0,,SE,6.9,8.9,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
2013-03-07,03:15,40.2,37.8,90.9,0.01,0,,SE,6.9,10.3,"Sakuma, Skagit County",330159,Sakuma,2021-04-28 22:40:35.019003
