Date,Time PDT,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2015-03-04,23:15,34.0,28.0,30.4,86.8,0.0,NE@1.5,0.0,0.22,0,47.8,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-04,23:30,33.6,27.7,30.2,87.2,0.0,NE@2.1,0.0,0.28,0,47.8,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-04,23:45,33.3,27.4,29.9,87.4,0.0,NE@2.1,0.0,0.32,0,47.7,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-04,24:00,33.1,26.8,29.8,87.7,0.0,NE@1.2,0.0,0.38,0,47.6,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,00:15,32.7,26.4,29.5,88.1,0.0,NE@0.6,0.0,0.44,0,47.6,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,00:30,32.5,26.8,29.5,88.6,0.0,NE@0.5,0.0,0.48,0,47.5,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,00:45,32.3,27.1,29.3,88.8,0.0,NE@1.2,0.0,0.52,0,47.4,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,01:00,32.4,27.5,29.6,89.3,0.0,NE@1.4,0.0,0.55,0,47.3,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,01:15,32.3,28.0,29.6,89.4,0.0,NE@0.5,1.4,0.57,0,47.3,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,01:30,32.2,27.9,29.5,89.5,0.0,NE@0.3,0.0,0.6,0,47.2,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,01:45,32.7,27.9,30.0,89.9,0.0,NE@1.2,0.0,0.62,0,47.1,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,02:00,32.1,27.3,29.4,89.8,0.0,NE@1.5,0.0,0.64,0,47.0,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,02:15,32.2,28.1,29.6,90.1,0.0,NE@1.9,0.0,0.67,0,47.0,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,02:30,32.3,29.2,29.8,90.3,0.0,NE@1.0,0.0,0.68,0,46.9,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,02:45,32.4,28.5,30.0,90.5,0.0,NE@0.9,0.0,0.69,0,46.8,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,03:00,32.1,28.1,29.7,90.5,0.0,NE@1.2,0.0,0.71,0,46.7,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,03:15,31.8,28.1,29.2,90.4,0.0,NE@0.6,0.0,0.72,0,46.6,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,03:30,32.2,28.3,29.8,90.7,0.0,NE@1.8,0.0,0.73,0,46.6,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,03:45,32.3,27.9,29.9,90.8,0.0,NE@2.0,0.0,0.74,0,46.5,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,04:00,31.9,27.4,29.4,90.7,0.0,NE@1.9,0.0,0.75,0,46.4,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
2015-03-05,04:15,31.6,27.1,29.0,90.7,0.0,NE@1.0,0.0,0.75,0,46.4,,30.32,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-06-01 13:13:30.104821
