Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-03-04,23:15,37.3,33.8,87.1,0.0,0,30.09,N ,,,0.0,46.1,47.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-04,23:30,37.3,34.1,88.3,0.0,0,30.09,N ,,,0.0,45.9,46.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-04,23:45,37.2,34.2,88.8,0.0,0,30.09,N ,,,0.0,45.8,46.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-04,24:00,36.9,34.0,89.2,0.0,0,30.09,N ,,,0.0,45.7,46.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,00:15,36.9,34.1,89.6,0.0,0,30.08,N ,,,0.04,45.5,46.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,00:30,36.8,34.2,90.0,0.0,0,30.07,N ,,,0.07,45.4,46.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,00:45,36.7,34.1,90.2,0.0,0,30.06,N ,,,0.1,45.3,46.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,01:00,36.2,33.8,90.8,0.0,0,30.06,N ,,,0.17,45.1,46.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,01:15,35.8,33.5,91.3,0.0,0,30.06,N ,,,0.29,45.0,46.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,01:30,35.5,33.4,91.9,0.0,0,30.06,N ,,,0.38,44.9,46.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,01:45,35.5,33.5,92.4,0.0,0,30.06,N ,,,0.46,44.8,46.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,02:00,35.1,33.3,92.7,0.0,0,30.05,N ,,,0.54,44.6,46.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,02:15,34.9,33.1,93.2,0.0,0,30.05,N ,,,0.64,44.5,46.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,02:30,34.6,32.9,93.5,0.0,0,30.04,N ,,,0.71,44.4,46.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,02:45,34.2,32.6,93.9,0.0,0,30.03,N ,,,0.76,44.2,46.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,03:00,33.9,32.5,94.2,0.0,0,30.03,N ,,,0.8,44.1,46.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,03:15,33.6,32.1,94.4,0.0,0,30.02,N ,,,0.82,44.0,46.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,03:30,33.4,32.1,94.8,0.0,0,30.01,N ,,,0.84,43.8,46.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,03:45,33.2,31.9,95.0,0.0,0,30.01,N ,,,0.85,43.7,46.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
2020-03-05,04:00,32.9,31.7,95.2,0.0,0,30.01,N ,,,0.86,43.6,46.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 12:42:30.282149
