Date,Start,DST_TYPE
4/5/1987,4/2/1987,Daylight Savings Start (US)
10/25/1987,10/22/1987,Daylight Savings End (US)
4/3/1988,3/31/1988,Daylight Savings Start (US)
10/30/1988,10/27/1988,Daylight Savings End (US)
4/2/1989,3/30/1989,Daylight Savings Start (US)
10/29/1989,10/26/1989,Daylight Savings End (US)
4/1/1990,3/29/1990,Daylight Savings Start (US)
10/28/1990,10/25/1990,Daylight Savings End (US)
4/7/1991,4/4/1991,Daylight Savings Start (US)
10/27/1991,10/24/1991,Daylight Savings End (US)
4/5/1992,4/2/1992,Daylight Savings Start (US)
10/25/1992,10/22/1992,Daylight Savings End (US)
4/4/1993,4/1/1993,Daylight Savings Start (US)
10/31/1993,10/28/1993,Daylight Savings End (US)
4/3/1994,3/31/1994,Daylight Savings Start (US)
10/30/1994,10/27/1994,Daylight Savings End (US)
4/2/1995,3/30/1995,Daylight Savings Start (US)
10/29/1995,10/26/1995,Daylight Savings End (US)
4/7/1996,4/4/1996,Daylight Savings Start (US)
10/27/1996,10/24/1996,Daylight Savings End (US)
4/6/1997,4/3/1997,Daylight Savings Start (US)
10/26/1997,10/23/1997,Daylight Savings End (US)
4/5/1998,4/2/1998,Daylight Savings Start (US)
10/25/1998,10/22/1998,Daylight Savings End (US)
4/4/1999,4/1/1999,Daylight Savings Start (US)
10/31/1999,10/28/1999,Daylight Savings End (US)
4/2/2000,3/30/2000,Daylight Savings Start (US)
10/29/2000,10/26/2000,Daylight Savings End (US)
4/1/2001,3/29/2001,Daylight Savings Start (US)
10/28/2001,10/25/2001,Daylight Savings End (US)
4/7/2002,4/4/2002,Daylight Savings Start (US)
10/27/2002,10/24/2002,Daylight Savings End (US)
4/6/2003,4/3/2003,Daylight Savings Start (US)
10/26/2003,10/23/2003,Daylight Savings End (US)
4/4/2004,4/1/2004,Daylight Savings Start (US)
10/31/2004,10/28/2004,Daylight Savings End (US)
4/3/2005,3/31/2005,Daylight Savings Start (US)
10/30/2005,10/27/2005,Daylight Savings End (US)
3/11/2007,3/8/2007,Daylight Savings Start (US)
11/4/2007,11/1/2007,Daylight Savings End (US)
3/9/2008,3/6/2008,Daylight Savings Start (US)
11/2/2008,10/30/2008,Daylight Savings End (US)
3/8/2009,3/5/2009,Daylight Savings Start (US)
11/1/2009,10/29/2009,Daylight Savings End (US)
3/14/2010,3/11/2010,Daylight Savings Start (US)
11/7/2010,11/4/2010,Daylight Savings End (US)
3/13/2011,3/10/2011,Daylight Savings Start (US)
11/6/2011,11/3/2011,Daylight Savings End (US)
3/11/2012,3/8/2012,Daylight Savings Start (US)
11/4/2012,11/1/2012,Daylight Savings End (US)
3/10/2013,3/7/2013,Daylight Savings Start (US)
11/3/2013,10/31/2013,Daylight Savings End (US)
3/9/2014,3/6/2014,Daylight Savings Start (US)
11/2/2014,10/30/2014,Daylight Savings End (US)
3/8/2015,3/5/2015,Daylight Savings Start (US)
11/1/2015,10/29/2015,Daylight Savings End (US)
3/13/2016,3/10/2016,Daylight Savings Start (US)
11/6/2016,11/3/2016,Daylight Savings End (US)
3/12/2017,3/9/2017,Daylight Savings Start (US)
11/5/2017,11/2/2017,Daylight Savings End (US)
3/11/2018,3/8/2018,Daylight Savings Start (US)
11/4/2018,11/1/2018,Daylight Savings End (US)
3/10/2019,3/7/2019,Daylight Savings Start (US)
11/3/2019,10/31/2019,Daylight Savings End (US)
3/8/2020,3/5/2020,Daylight Savings Start (US)
11/1/2020,10/29/2020,Daylight Savings End (US)
3/14/2021,3/11/2021,Daylight Savings Start (US)
11/7/2021,11/4/2021,Daylight Savings End (US)
3/13/2022,3/10/2022,Daylight Savings Start (US)
11/6/2022,11/3/2022,Daylight Savings End (US)
3/12/2023,3/9/2023,Daylight Savings Start (US)
11/5/2023,11/2/2023,Daylight Savings End (US)
3/10/2024,3/7/2024,Daylight Savings Start (US)
11/3/2024,10/31/2024,Daylight Savings End (US)
3/9/2025,3/6/2025,Daylight Savings Start (US)
11/2/2025,10/30/2025,Daylight Savings End (US)
3/8/2026,3/5/2026,Daylight Savings Start (US)
