Station ID,Station Name,Value,Variable,Download Timestamp
300214,Langley,99999 °F,"2"" Soil Temperature",2019-06-24 17:41
300214,Langley,99999 °F,"8"" Soil Temperature",2019-06-24 17:41
300214,Langley,"This station is commonly called Langley and the closest city is Langley, Island County, Washington within the 98260 zipcode.  The weather in Langley is very similar to the observations made by the weather instruments and sensors of this station.  The coordinates of this station are latitude 48°, longitude -122.43°, elevation 166 ft. and can be viewed on the map.  The weather station was installed on December 17, 2014 and historical data are available from that date through June 24, 2019.  The most recent maintenance of the weather sensors at this station by the AgWeatherNet Team was conducted on  May 21, 2019.  The nearest stations are Chimacum which is 15.8 miles away, Snohomish which is 16.2 miles away and Arlington which is 16.8 miles away.   If you would like more information about this weather station Langley, historical reports, model predictions, weather projections, or access to run models and decisions aids using AgWeatherNet data, please register at our web site and log in.",Additional Info,2019-06-24 17:41
300214,Langley,99999 inches,Air Pressure,2019-06-24 17:41
300214,Langley,99999°F,Air Temperature,2019-06-24 17:41
300214,Langley,99999°F,Dew Point,2019-06-24 17:41
300214,Langley,166 feet,Elevation,2019-06-24 17:41
300214,Langley,"December, 17 2014",Installation Date,2019-06-24 17:41
300214,Langley,48.00°,Latitude,2019-06-24 17:41
300214,Langley,99999 unity,Leaf wetness,2019-06-24 17:41
300214,Langley,-122.43°,Longitude,2019-06-24 17:41
300214,Langley,99999 inches,Precipitation (15 Minute),2019-06-24 17:41
300214,Langley,99999 inches,Precipitation (Today),2019-06-24 17:41
300214,Langley,99999%,Relative Humidity,2019-06-24 17:41
300214,Langley,99999%,Soil Moisture,2019-06-24 17:41
300214,Langley,99999 W/m2,Solar Radiation,2019-06-24 17:41
300214,Langley,NA99999  mph,Wind,2019-06-24 17:41
300220,Chimacum,99999 °F,"2"" Soil Temperature",2019-06-24 17:41
300220,Chimacum,99999 °F,"8"" Soil Temperature",2019-06-24 17:41
300220,Chimacum,"This station is commonly called Chimacum and the closest city is Chimacum, Jefferson County, Washington within the 98325 zipcode.  The weather in Chimacum is very similar to the observations made by the weather instruments and sensors of this station.  The coordinates of this station are latitude 48.01°, longitude -122.77°, elevation 164 ft. and can be viewed on the map.  The weather station was installed on April 16, 2015 and historical data are available from that date through June 24, 2019.  The most recent maintenance of the weather sensors at this station by the AgWeatherNet Team was conducted on  March 27, 2019.  The nearest stations are Coupeville which is 13.6 miles away, Sequim which is 14.1 miles away and Langley which is 15.8 miles away.   If you would like more information about this weather station Chimacum, historical reports, model predictions, weather projections, or access to run models and decisions aids using AgWeatherNet data, please register at our web site and log in.",Additional Info,2019-06-24 17:41
300220,Chimacum,99999 inches,Air Pressure,2019-06-24 17:41
300220,Chimacum,99999°F,Air Temperature,2019-06-24 17:41
300220,Chimacum,99999°F,Dew Point,2019-06-24 17:41
300220,Chimacum,164 feet,Elevation,2019-06-24 17:41
300220,Chimacum,"April, 16 2015",Installation Date,2019-06-24 17:41
300220,Chimacum,48.01°,Latitude,2019-06-24 17:41
300220,Chimacum,99999 unity,Leaf wetness,2019-06-24 17:41
300220,Chimacum,-122.77°,Longitude,2019-06-24 17:41
300220,Chimacum,99999 inches,Precipitation (15 Minute),2019-06-24 17:41
300220,Chimacum,99999 inches,Precipitation (Today),2019-06-24 17:41
300220,Chimacum,99999%,Relative Humidity,2019-06-24 17:41
