Station ID,Station Name,Value,Variable,Download Timestamp
330092,Seattle,"This station is commonly called Seattle  and is located in King County, Washington.  The coordinates of this station are latitude 47.66°, longitude -122.29°, elevation 30 ft. and can be viewed on the map.  The weather station was installed on December 16, 2011 and historical data are available from that date through June 24, 2019.  The most recent maintenance of the weather sensors at this station by the AgWeatherNet Team was conducted on  May 20, 2019.  The nearest stations are Woodinvill which is 8.9 miles away, Poulsbo.S which is 16.7 miles away and Snohomish which is 18.8 miles away.   If you would like more information about this weather station Seattle, historical reports, model predictions, weather projections, or access to run models and decisions aids using AgWeatherNet data, please register at our web site and log in.",Additional Info,2019-06-24 17:41:52.734841
330092,Seattle,"December, 16 2011",Installation Date,2019-06-24 17:41:52.734841
330092,Seattle,-122.29°,Longitude,2019-06-24 17:41:52.734841
330092,Seattle,47.66°,Latitude,2019-06-24 17:41:52.734841
330092,Seattle,30 feet,Elevation,2019-06-24 17:41:52.734841
330092,Seattle,99999 W/m2,Solar Radiation,2019-06-24 17:41:52.734841
330092,Seattle,NA99999  mph,Wind,2019-06-24 17:41:52.734841
330092,Seattle,99999 inches,Air Pressure,2019-06-24 17:41:52.734841
330092,Seattle,99999 °F,"8"" Soil Temperature",2019-06-24 17:41:52.734841
330092,Seattle,99999 inches,Precipitation (Today),2019-06-24 17:41:52.734841
330092,Seattle,99999 inches,Precipitation (15 Minute),2019-06-24 17:41:52.734841
330092,Seattle,99999 unity,Leaf wetness,2019-06-24 17:41:52.734841
330092,Seattle,99999 %,Relative Humidity,2019-06-24 17:41:52.734841
330092,Seattle,99999°F,Dew Point,2019-06-24 17:41:52.734841
330092,Seattle,99999°F,Air Temperature,2019-06-24 17:41:52.734841
