Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-07-26,00:15,65.5,65.2,43.1,44.1,N@2.7,3.5,83.9,82.3,2.6,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,00:30,61.9,61.9,43.7,51.2,N@3.3,4.2,83.4,82.2,2.6,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,00:45,60.6,60.6,43.8,53.8,N@2.1,4.6,83.0,82.1,2.6,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,01:00,61.4,61.5,43.1,50.9,NW@2.4,3.5,82.5,81.9,2.6,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,01:15,63.6,63.8,44.5,49.8,NW@1.9,3.5,82.1,81.8,2.6,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,01:30,63.7,63.8,45.2,50.9,W@1.8,3.9,81.7,81.7,2.6,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,01:45,64.8,64.9,46.0,50.4,N@2.9,4.2,81.3,81.6,2.6,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,02:00,63.3,63.3,44.9,51.1,N@2.3,3.5,80.9,81.4,2.5,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,02:15,60.2,60.2,46.6,60.6,N@1.8,3.5,80.6,81.3,2.5,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,02:30,60.9,60.7,47.0,60.0,N@2.2,4.6,80.2,81.2,2.5,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,02:45,62.7,62.9,46.9,56.0,N@4.0,5.7,79.8,81.0,2.5,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,03:00,62.7,62.8,45.8,53.9,W@3.1,4.2,79.5,80.9,2.5,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,03:15,61.3,61.4,45.9,56.9,NW@2.3,3.5,79.2,80.7,2.5,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,03:30,60.8,60.7,46.3,58.7,N@1.7,3.1,78.9,80.6,2.5,0.0,0,29.97,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,03:45,59.4,59.3,46.8,63.1,NE@1.6,3.5,78.6,80.5,2.5,0.0,0,29.98,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,04:00,60.9,60.7,47.8,61.9,N@1.2,3.5,78.3,80.3,2.5,0.0,0,29.98,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,04:15,62.1,62.1,49.0,61.9,N@2.5,4.2,78.0,80.2,2.5,0.0,0,29.98,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,04:30,62.6,62.6,49.2,61.5,SW@1.5,3.9,77.7,80.0,2.5,0.0,0,29.98,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,04:45,62.9,63.1,49.4,61.2,W@2.2,4.6,77.4,79.9,2.5,0.0,0,29.99,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,05:00,62.0,62.1,47.9,59.9,W@2.4,3.5,77.1,79.8,2.5,0.0,0,29.99,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,05:15,63.1,63.2,48.4,58.6,NW@4.0,8.2,76.8,79.6,2.5,0.0,0,29.99,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,05:30,63.5,63.6,48.2,57.4,NW@3.5,6.0,76.6,79.5,2.5,0.0,0,29.99,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,05:45,60.8,60.8,48.3,63.4,NW@2.7,3.9,76.3,79.4,2.5,0.0,4,30.0,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,06:00,60.9,60.9,48.7,64.2,N@2.8,6.0,76.1,79.2,2.5,0.0,9,30.0,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,06:15,62.4,62.4,49.5,62.8,NW@4.4,7.4,75.9,79.1,2.5,0.0,32,30.0,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,06:30,61.2,61.2,48.7,63.4,NW@2.4,3.9,75.7,79.0,2.5,0.0,63,30.01,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,06:45,62.8,62.8,49.7,62.2,NW@3.2,7.1,75.6,78.9,2.5,0.0,98,30.01,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,07:00,64.6,64.5,49.0,57.0,NW@2.7,5.3,75.4,78.7,2.5,0.0,134,30.02,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,07:15,65.5,65.5,49.6,56.4,NW@4.2,8.2,75.3,78.6,2.5,0.0,174,30.03,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,07:30,66.3,66.3,50.0,55.6,NW@6.9,12.1,75.3,78.5,2.5,0.0,218,30.03,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,07:45,66.6,66.6,50.1,55.1,NW@8.8,13.9,75.3,78.4,2.5,0.0,265,30.03,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,08:00,67.9,67.8,50.9,54.6,NW@6.5,10.7,75.3,78.2,2.5,0.0,311,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,08:15,68.5,68.4,51.3,54.0,NW@6.7,10.3,75.5,78.1,2.5,0.0,358,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,08:30,70.3,70.1,51.6,51.5,NW@6.3,9.9,75.6,78.0,2.5,0.0,404,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,08:45,71.3,71.2,51.6,49.7,NW@6.1,10.3,75.9,77.9,2.5,0.0,449,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,09:00,72.1,71.9,52.0,49.2,W@7.6,11.7,76.2,77.8,2.5,0.0,495,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,09:15,73.7,73.5,52.5,47.5,NW@7.3,11.4,76.6,77.7,2.5,0.0,540,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,09:30,74.5,74.4,52.4,45.9,NW@8.1,12.8,77.0,77.7,2.5,0.0,582,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,09:45,75.5,75.5,52.7,44.9,NW@7.6,11.0,77.6,77.6,2.5,0.0,622,30.04,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,10:00,76.8,76.9,52.9,43.4,NW@7.3,11.4,78.2,77.5,2.5,0.0,660,30.03,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,10:15,78.5,78.7,53.6,42.1,NW@6.9,12.8,78.9,77.5,2.5,0.0,693,30.03,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,10:30,79.9,80.0,53.6,40.1,NW@6.9,12.4,79.6,77.5,2.5,0.0,729,30.02,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,10:45,81.3,81.4,53.3,38.0,NW@7.6,12.4,80.5,77.4,2.5,0.0,762,30.02,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
2019-07-26,11:00,81.9,81.9,53.0,36.9,W@9.4,14.6,81.3,77.5,2.5,0.0,791,30.01,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2019-08-04 12:56:11.356879
