Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-03-26,00:15,42.8,34.3,71.8,0.0,NW@7.6,12.1,0,48.3,50.0,9.2,30.07,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,00:30,42.5,34.2,72.5,0.0,NW@6.9,10.7,0,48.1,50.0,9.2,30.07,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,00:45,42.1,34.1,73.1,0.0,NW@5.1,7.8,0,48.0,49.9,9.2,30.07,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,01:00,41.5,34.1,74.6,0.0,NW@4.7,7.1,0,47.9,49.8,9.2,30.07,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,01:15,41.9,34.3,74.4,0.0,W@5.9,9.9,0,47.8,49.8,9.2,30.08,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,01:30,41.5,34.3,75.4,0.0,W@5.3,11.0,0,47.6,49.7,9.2,30.08,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,01:45,41.3,34.4,76.2,0.0,W@4.7,7.4,0,47.5,49.6,9.2,30.08,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,02:00,40.0,33.7,78.1,0.0,SW@2.3,3.5,0,47.4,49.6,9.2,30.08,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,02:15,39.2,33.3,79.3,0.0,W@2.5,4.6,0,47.3,49.5,9.3,30.08,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,02:30,39.2,33.3,79.4,0.0,NW@1.3,3.1,0,47.1,49.4,9.3,30.08,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,02:45,39.6,33.4,78.5,0.0,SW@2.0,4.2,0,46.9,49.4,9.3,30.08,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,03:00,40.0,33.8,78.1,0.0,SW@2.8,4.6,0,46.8,49.3,9.3,30.09,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
2020-03-26,03:15,39.0,33.3,79.5,0.0,SW@3.6,7.8,0,46.6,49.2,9.3,30.09,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-06-01 23:42:52.537999
