Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2020-08-23,00:15,68.5,55.8,63.7,0.0,0,29.95,W,6.1,11.7,82.4,82.3,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,00:30,68.3,55.6,63.7,0.0,0,29.95,W,6.4,11.0,82.2,82.2,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,00:45,67.8,55.7,65.2,0.0,0,29.95,W,4.5,10.3,81.9,82.2,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,01:00,67.1,55.6,66.4,0.0,0,29.95,W,3.1,5.3,81.7,82.1,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,01:15,66.8,55.6,67.1,0.0,0,29.95,W,3.7,7.1,81.5,82.0,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,01:30,66.7,55.5,67.2,0.0,0,29.95,NW,5.7,8.9,81.2,81.9,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,01:45,66.3,55.6,68.2,0.0,0,29.95,W,5.5,9.6,81.0,81.8,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,02:00,66.2,55.6,68.7,0.0,0,29.95,W,6.4,10.7,80.8,81.7,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,02:15,65.6,55.5,69.8,0.0,0,29.95,W,5.9,11.0,80.6,81.7,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,02:30,65.0,55.3,70.7,0.0,0,29.95,W,5.6,10.7,80.4,81.6,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
2020-08-23,02:45,63.8,54.9,72.8,0.0,0,29.95,W,4.0,6.4,80.2,81.5,2.5,"Dallesport, Dallesport, Klickitat County",100000,Dallesport,2020-12-19 14:10:52.750149
