Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph,Location,Station ID,Station Name,Download Timestamp
2021-01-24,00:15,31.9,29.5,91.3,0.0,0,29.94,SW,2.3,5.9,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,00:30,32.1,29.9,91.2,0.0,0,29.94,SW,3.5,7.5,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,00:45,32.2,29.9,91.0,0.0,0,29.93,W,2.7,7.4,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,01:00,31.9,29.7,92.2,0.0,0,29.93,S,1.7,3.8,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,01:15,31.8,29.7,92.4,0.0,0,29.92,SW,2.1,4.7,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,01:30,31.8,29.7,92.3,0.0,0,29.92,SW,2.5,5.5,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,01:45,32.2,29.9,90.8,0.0,0,29.92,SW,2.3,4.7,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,02:00,32.1,29.9,91.3,0.0,0,29.91,SW,1.9,3.8,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,02:15,32.5,30.3,91.6,0.0,0,29.91,SE,1.9,3.4,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,02:30,32.5,30.5,92.1,0.0,0,29.91,S,2.3,4.7,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
2021-01-24,02:45,32.7,30.7,92.5,0.0,0,29.9,S,2.1,7.0,"Willis*, Hood River, Hood River County",100001,Willis*,2021-11-08 17:31:39.619169
