Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Wind Dir @ Speed mph, Wind Gust mph, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-06-03,00:15,66.3,46.0,47.9,S@3.6,8.1,0.0,0,29.92,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,00:30,65.6,46.3,49.5,SW@3.8,12.3,0.0,0,29.92,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,00:45,65.7,46.8,50.4,SW@4.2,10.4,0.0,0,29.92,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,01:00,65.3,47.2,52.0,S@5.0,14.2,0.0,0,29.93,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,01:15,65.1,46.8,51.5,S@6.8,13.6,0.0,0,29.93,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,01:30,64.7,46.1,50.9,S@5.8,17.6,0.0,0,29.93,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,01:45,64.7,44.1,47.1,S@5.3,13.5,0.0,0,29.94,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,02:00,64.3,42.5,45.0,S@3.9,9.2,0.0,0,29.94,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,02:15,64.2,40.3,41.4,S@5.1,13.4,0.0,0,29.94,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,02:30,64.4,38.4,38.2,S@4.9,13.0,0.0,0,29.94,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,02:45,63.9,37.1,37.0,SE@2.7,7.9,0.0,0,29.94,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,03:00,63.7,35.8,35.3,NE@2.7,9.0,0.0,0,29.94,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
2019-06-03,03:15,64.0,35.0,33.9,S@3.7,10.7,0.0,0,29.95,"BearWallow, Hood River, Hood River County",100005,"BearWallow, OR",2019-06-25 19:05:26.756170
