Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph," 20""Soil VWC %", 20 in. Soil Tmp °F," 10""Soil VWC %", 10 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-07-22,00:15,71.8,51.6,48.8,0.0,0,29.77,N ,0.0,0.0,29.5,73.94,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,00:30,71.6,51.9,49.8,0.0,0,29.77,N ,0.0,0.0,29.5,73.94,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,00:45,70.0,51.7,52.3,0.0,0,29.78,N ,0.0,0.0,29.5,73.94,29.2,77.22,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,01:00,69.7,51.6,52.7,0.0,0,29.78,N ,0.0,0.0,29.5,73.99,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,01:15,69.9,51.4,51.9,0.0,0,29.78,N ,0.0,0.0,29.5,74.03,29.2,77.2,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,01:30,69.2,51.0,52.3,0.0,0,29.78,N ,0.0,0.0,29.5,74.07,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,01:45,68.4,51.2,54.1,0.0,0,29.78,N ,0.0,0.0,29.5,74.08,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,02:00,70.0,51.8,52.4,0.0,0,29.78,N ,0.0,0.0,29.5,74.12,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,02:15,69.9,51.8,52.6,0.0,0,29.78,N ,0.0,0.0,29.5,74.12,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,02:30,69.9,51.8,52.6,0.0,0,29.78,N ,0.0,0.0,29.5,74.12,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,02:45,69.1,51.5,53.5,0.0,0,29.78,N ,0.0,0.0,29.5,74.12,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,03:00,68.5,51.6,54.6,0.0,0,29.78,N ,0.0,0.0,29.5,74.12,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,03:15,68.0,51.6,55.8,0.0,0,29.78,N ,0.0,0.0,29.5,74.12,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,03:30,67.5,51.7,56.9,0.0,0,29.79,N ,0.0,0.0,29.5,74.14,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,03:45,66.7,51.7,58.3,0.0,0,29.79,N ,0.0,0.0,29.5,74.19,29.2,77.18,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,04:00,65.6,51.6,60.5,0.0,0,29.79,N ,0.0,0.0,29.5,74.23,29.3,77.16,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,04:15,64.7,52.6,64.9,0.0,0,29.8,N ,0.0,0.0,29.5,74.21,29.3,77.02,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,04:30,64.9,52.5,64.1,0.0,0,29.8,N ,0.0,0.0,29.5,74.25,29.3,77.0,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,04:45,65.3,51.9,61.8,0.0,0,29.8,N ,0.0,0.0,29.5,74.25,29.3,76.98,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,05:00,65.6,51.7,60.7,0.0,0,29.79,N ,0.0,0.0,29.5,74.28,29.3,76.87,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,05:15,64.6,51.6,62.7,0.0,0,29.8,N ,0.0,0.0,29.5,74.25,29.3,76.82,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,05:30,63.8,52.2,65.8,0.0,7,29.81,N ,0.0,0.0,29.5,74.3,29.3,76.82,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,05:45,64.1,51.7,64.0,0.0,17,29.81,N ,0.0,0.0,29.5,74.28,29.3,76.82,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,06:00,64.3,51.6,63.3,0.0,39,29.81,N ,0.0,0.0,29.5,74.3,29.3,76.75,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,06:15,65.5,52.0,61.6,0.0,62,29.81,N ,0.0,0.0,29.5,74.3,29.3,76.64,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,06:30,67.1,52.4,59.3,0.0,90,29.81,N ,,,29.5,74.32,29.3,76.64,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,06:45,68.3,52.5,56.8,0.0,120,29.81,N ,,,29.5,74.32,29.3,76.64,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,07:00,69.2,52.8,55.8,0.0,154,29.81,N ,,,29.5,74.35,29.3,76.55,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,07:15,70.0,52.9,54.6,0.0,188,29.82,N ,,,29.5,74.39,29.3,76.46,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,07:30,71.1,53.3,53.3,0.0,228,29.82,N ,,,29.5,74.41,29.3,76.46,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,07:45,72.5,53.9,52.0,0.0,266,29.82,N ,,,29.5,74.37,29.3,76.46,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,08:00,73.4,54.4,51.4,0.0,305,29.82,N ,,,29.5,74.39,29.3,76.32,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,08:15,75.0,54.8,49.5,0.0,348,29.82,N ,,,29.5,74.39,29.3,76.28,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,08:30,76.2,55.1,47.9,0.0,386,29.82,N ,,,29.5,74.39,29.3,76.28,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,08:45,77.1,54.9,46.2,0.0,426,29.82,N ,,,29.5,74.41,29.3,76.15,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,09:00,78.2,55.2,45.0,0.0,464,29.82,N ,,,29.5,74.43,29.3,76.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,09:15,79.2,55.7,44.5,0.0,506,29.82,N ,,,29.5,74.43,29.3,76.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,09:30,80.2,55.5,42.6,0.0,547,29.82,N ,,,29.5,74.43,29.3,76.08,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,09:45,80.9,55.3,41.3,0.0,581,29.81,N ,,,29.5,74.44,29.3,75.94,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,10:00,82.2,55.9,40.7,0.0,613,29.81,N ,,,29.5,74.43,29.3,75.92,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,10:15,83.4,55.9,39.0,0.0,665,29.81,N ,,,29.5,74.44,29.3,75.92,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,10:30,82.7,55.8,39.8,0.0,361,29.81,N ,,,29.5,74.43,29.3,75.9,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,10:45,82.9,56.1,39.9,0.0,697,29.81,N ,,,29.5,74.43,29.3,75.76,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,11:00,84.7,56.0,37.5,0.0,750,29.81,N ,,,29.5,74.43,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,11:15,85.7,55.4,35.6,0.0,636,29.81,N ,,,29.4,74.43,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,11:30,85.6,54.8,35.0,0.0,446,29.8,N ,,,29.4,74.39,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,11:45,85.8,54.8,34.6,0.0,542,29.8,N ,,,29.4,74.43,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,12:00,86.9,55.0,33.7,0.0,727,29.8,N ,,,29.4,74.41,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,12:15,87.8,54.6,32.3,0.0,753,29.8,N ,,,29.5,74.39,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,12:30,88.1,54.5,32.0,0.0,583,29.8,N ,,,29.5,74.35,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,12:45,87.2,53.6,31.8,0.0,374,29.8,N ,,,29.5,74.39,29.3,75.72,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,13:00,87.2,54.1,32.3,0.0,416,29.79,N ,,,29.5,74.43,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,13:15,87.7,54.2,31.9,0.0,554,29.79,N ,,,29.5,74.39,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,13:30,88.5,53.3,30.2,0.0,621,29.78,N ,,,29.5,74.35,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,13:45,88.8,52.8,29.3,0.0,580,29.78,N ,,,29.5,74.35,29.3,75.72,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,14:00,90.8,54.5,29.3,0.0,857,29.78,N ,,,29.5,74.35,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,14:15,92.6,54.9,28.1,0.0,836,29.77,N ,,,29.5,74.32,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,14:30,92.9,54.8,27.7,0.0,815,29.77,N ,,,29.5,74.3,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,14:45,93.4,54.4,26.9,0.0,805,29.77,N ,,,29.5,74.3,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,15:00,93.4,54.8,27.3,0.0,782,29.76,N ,,,29.4,74.3,29.3,75.74,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,15:15,94.3,54.9,26.7,0.0,762,29.76,N ,,,29.5,74.3,29.3,75.76,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,15:30,94.4,54.8,26.5,0.0,733,29.75,N ,,,29.5,74.3,29.3,75.79,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,15:45,94.4,55.1,26.7,0.0,702,29.75,N ,0.0,0.0,29.5,74.28,29.3,75.92,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,16:00,94.6,55.3,26.8,0.0,672,29.75,N ,0.0,0.0,29.5,74.3,29.3,75.92,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,16:15,94.5,55.0,26.6,0.0,628,29.74,N ,0.0,0.0,29.4,74.26,29.3,75.92,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,16:30,94.6,54.7,26.2,0.0,528,29.74,N ,0.0,0.0,29.5,74.28,29.3,75.92,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,16:45,93.3,53.9,26.6,0.0,276,29.74,N ,0.0,0.0,29.4,74.28,29.3,76.06,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,17:00,92.8,53.9,27.0,0.0,422,29.74,N ,0.0,0.0,29.4,74.28,29.3,76.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,17:15,93.4,54.0,26.5,0.0,366,29.73,N ,0.0,0.0,29.4,74.28,29.3,76.1,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,17:30,93.1,54.1,27.0,0.0,401,29.73,N ,0.0,0.0,29.4,74.28,29.3,76.19,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,17:45,93.8,54.8,26.9,0.0,416,29.73,N ,0.0,0.0,29.4,74.26,29.3,76.28,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,18:00,93.5,55.1,27.5,0.0,367,29.73,N ,0.0,0.0,29.4,74.3,29.3,76.3,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,18:15,93.1,55.3,28.1,0.0,329,29.73,N ,0.0,0.0,29.4,74.28,29.3,76.46,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,18:30,92.7,55.2,28.4,0.0,315,29.73,N ,0.0,0.0,29.4,74.26,29.3,76.46,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,18:45,92.8,55.5,28.5,0.0,301,29.73,N ,0.0,0.0,29.4,74.26,29.3,76.55,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,19:00,92.5,54.8,28.1,0.0,259,29.73,N ,0.0,0.0,29.4,74.28,29.3,76.64,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,19:15,92.1,54.9,28.6,0.0,207,29.72,N ,0.0,0.0,29.4,74.25,29.3,76.66,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
2020-07-22,19:30,91.4,55.0,29.3,0.0,151,29.73,N ,0.0,0.0,29.4,74.23,29.3,76.8,"Lewiston.E*, Lewiston, Nez Perce County",100028,Lewiston.E*,2020-12-14 06:49:58.722434
