Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-05-20,00:15,55.3,49.7,81.5,0.0,W@6.0,9.9,0.0,0,62.5,65.0,29.86,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,00:30,54.9,49.8,83.0,0.0,W@5.7,9.6,0.0,0,62.2,65.0,29.86,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,00:45,55.3,49.8,81.5,0.0,W@6.2,12.4,0.0,0,61.9,64.9,29.86,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,01:00,55.8,49.3,78.6,0.0,W@7.9,11.7,0.0,0,61.6,64.9,29.85,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,01:15,56.3,49.1,76.6,0.0,W@7.8,12.1,0.0,0,61.3,64.9,29.86,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,01:30,56.2,49.1,76.9,0.0,W@7.0,9.9,0.0,0,61.1,64.8,29.85,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,01:45,56.4,48.7,75.4,0.0,W@7.5,12.1,0.0,0,60.9,64.8,29.85,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,02:00,56.7,48.1,73.0,0.0,W@7.3,11.4,0.0,0,60.8,64.7,29.85,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,02:15,56.5,48.7,75.1,0.0,W@6.6,11.0,0.0,0,60.6,64.7,29.85,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,02:30,56.7,48.7,74.6,0.0,W@7.0,14.6,0.0,0,60.4,64.6,29.84,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,02:45,57.1,48.5,72.8,0.0,W@7.6,12.1,0.0,0,60.3,64.6,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,03:00,57.1,48.6,73.2,0.0,W@7.5,12.4,0.0,0,60.2,64.5,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,03:15,57.4,48.1,71.0,0.0,W@9.4,16.4,0.0,0,60.1,64.4,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,03:30,57.7,47.7,69.2,0.0,W@9.9,15.3,0.0,0,59.9,64.4,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,03:45,57.5,47.8,70.0,0.0,W@9.5,15.3,0.0,0,59.8,64.3,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,04:00,57.2,47.8,70.7,0.0,W@9.7,14.2,0.0,0,59.7,64.3,29.82,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,04:15,57.3,47.7,70.3,0.0,W@9.4,15.0,0.0,0,59.6,64.2,29.82,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,04:30,57.2,47.4,69.5,0.0,W@9.8,13.9,0.0,0,59.5,64.2,29.82,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,04:45,56.5,47.5,71.7,0.0,W@8.1,12.4,0.0,0,59.4,64.1,29.82,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,05:00,56.4,47.6,72.4,0.0,NW@8.2,11.4,0.0,0,59.3,64.0,29.82,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,05:15,56.6,47.5,71.4,0.0,W@8.3,12.1,0.0,0,59.2,64.0,29.82,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,05:30,56.6,47.5,71.6,0.0,W@9.0,13.2,0.03,1,59.1,63.9,29.82,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,05:45,56.4,47.6,72.4,0.0,W@8.2,12.4,0.0,6,59.0,63.8,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,06:00,56.5,47.3,71.1,0.0,W@7.9,12.1,0.0,9,58.9,63.8,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,06:15,56.6,47.1,70.2,0.0,W@8.2,12.8,0.0,15,58.8,63.7,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,06:30,56.4,46.7,69.9,0.0,W@7.9,11.7,0.0,24,58.8,63.6,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,06:45,56.8,46.1,67.4,0.0,W@8.4,11.7,0.0,25,58.7,63.6,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,07:00,57.2,45.8,65.7,0.0,W@9.2,14.2,0.0,35,58.6,63.5,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,07:15,57.4,46.0,65.5,0.0,W@8.9,15.0,0.0,66,58.6,63.5,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,07:30,57.4,46.3,66.4,0.0,W@7.8,11.7,0.0,79,58.5,63.4,29.84,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
2020-05-20,07:45,57.6,46.7,66.8,0.0,W@7.3,11.7,0.0,80,58.5,63.4,29.83,"Grandview (Grandview NE), Grandview, Benton County",300093,Grandview,2020-05-31 16:07:04.471685
