Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2020-09-15,00:15,51.8,32.8,48.1,0.0,0,30.05,NE,3.4,3.9,0.0,64.8,67.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,00:30,52.4,33.5,48.4,0.0,0,30.06,NE,3.5,4.2,0.0,64.7,67.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,00:45,52.6,33.9,48.9,0.0,0,30.06,NE,2.7,3.5,0.0,64.6,67.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,01:00,53.2,34.4,48.8,0.0,0,30.07,NE,2.6,3.5,0.0,64.5,67.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,01:15,53.5,34.7,48.7,0.0,0,30.07,N ,2.8,4.6,0.0,64.4,67.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,01:30,53.1,34.6,49.2,0.0,0,30.08,NE,3.4,4.9,0.0,64.3,67.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,01:45,51.8,34.5,51.5,0.0,0,30.08,E,4.2,4.9,0.0,64.2,67.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,02:00,50.0,34.4,54.8,0.0,0,30.08,NE,3.7,4.6,0.0,64.1,67.0,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,02:15,48.6,34.4,57.9,0.0,0,30.08,NE,4.0,4.6,0.0,64.0,67.0,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,02:30,49.2,34.7,57.1,0.0,0,30.08,NE,3.9,4.9,0.0,63.9,66.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,02:45,49.6,34.6,56.0,0.0,0,30.08,N ,3.8,4.6,0.0,63.8,66.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,03:00,49.7,34.5,55.5,0.0,0,30.08,N ,3.3,4.2,0.0,63.6,66.9,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,03:15,50.0,34.5,54.9,0.0,0,30.09,NE,3.4,4.2,0.0,63.5,66.8,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,03:30,49.2,34.3,56.1,0.0,0,30.09,NE,3.3,4.6,0.0,63.4,66.8,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,03:45,48.3,34.1,57.8,0.0,0,30.09,NE,2.3,3.1,0.0,63.3,66.7,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,04:00,48.0,34.3,58.9,0.0,0,30.1,NE,2.9,4.2,0.0,63.2,66.7,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,04:15,48.5,34.7,58.8,0.0,0,30.11,NE,2.7,3.9,0.0,63.0,66.6,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,04:30,48.6,35.1,59.2,0.0,0,30.11,NE,2.7,3.1,0.0,62.9,66.6,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,04:45,48.9,34.8,58.0,0.0,0,30.11,N ,2.4,3.1,0.0,62.8,66.5,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,05:00,48.7,34.9,58.7,0.0,0,30.11,N,2.7,3.5,0.0,62.7,66.5,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,05:15,49.1,35.6,59.5,0.0,1,30.12,NE,3.2,4.6,0.0,62.6,66.4,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,05:30,47.6,35.0,61.4,0.0,2,30.12,NE,3.6,4.6,0.0,62.5,66.4,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,05:45,47.5,35.2,62.0,0.0,3,30.12,NE,4.0,4.6,0.0,62.4,66.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,06:00,46.4,34.8,63.7,0.0,8,30.13,NE,4.2,4.9,0.0,62.3,66.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,06:15,46.4,35.6,65.8,0.0,18,30.13,NE,3.3,3.9,0.0,62.2,66.3,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,06:30,47.0,35.5,64.1,0.0,34,30.13,NE,3.4,4.6,0.0,62.1,66.2,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
2020-09-15,06:45,46.9,35.1,63.1,0.0,53,30.13,N ,2.6,3.5,0.0,62.0,66.1,4.1,"Washtucna, Washtucna, Adams County",300143,Washtucna,2020-12-13 22:24:13.468801
