Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2018-10-29,00:15,48.6,48.6,39.3,70.2,0.0,S@2.0,3.1,52.7,56.7,6.1,0.0,0,29.96,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,00:30,48.7,48.7,39.2,69.7,0.0,S@1.9,5.3,52.6,56.7,6.1,0.0,0,29.97,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,00:45,47.9,48.0,39.1,71.2,0.0,SE@1.3,4.2,52.5,56.7,6.1,0.0,0,29.97,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,01:00,46.3,46.3,39.0,75.7,0.0,SW@2.2,3.9,52.4,56.6,6.1,0.0,0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,01:15,46.6,46.6,39.5,76.1,0.0,W@1.1,2.8,52.3,56.6,6.1,0.0,0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,01:30,46.0,45.9,39.6,78.2,0.0,W@1.0,2.4,52.1,56.6,6.1,0.0,0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,01:45,44.4,44.4,39.9,84.0,0.0,SE@2.4,4.2,52.0,56.5,6.1,0.0,0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,02:00,43.9,44.0,39.4,83.8,0.0,N@1.0,3.1,51.9,56.5,6.1,0.0,0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,02:15,45.9,46.1,40.3,80.5,0.0,S@2.6,4.6,51.8,56.5,6.1,0.0,0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
2018-10-29,02:30,46.9,47.2,40.4,78.0,0.0,SE@4.3,10.3,51.7,56.4,6.1,0.0,0,29.98,"Vantage, Vantage, Kittitas County",300212,Vantage,2019-06-24 23:10:51.824559
