Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, Bed Temp °F, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2017-04-22,00:15,57.9,57.5,39.5,50.3,0.0,E@8.3,13.5,54.3,55.7,56.7,19.8,0.0,0,29.86,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,00:30,57.9,57.5,39.3,49.9,0.0,E@9.0,15.7,54.5,55.6,56.6,19.8,0.0,0,29.86,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,00:45,57.6,57.2,39.3,50.3,0.0,E@8.7,15.3,54.4,55.4,56.5,19.8,0.0,0,29.85,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,01:00,57.4,57.0,39.3,50.8,0.0,E@9.3,13.5,54.3,55.3,56.4,19.8,0.0,0,29.84,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,01:15,57.0,56.7,39.4,51.6,0.0,E@9.0,15.0,54.1,55.2,56.3,19.8,0.0,0,29.83,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,01:30,56.8,56.4,39.3,51.8,0.0,E@8.8,13.5,53.8,55.0,56.2,19.8,0.0,0,29.82,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,01:45,56.7,56.4,39.0,51.3,0.0,E@9.3,13.9,53.6,54.9,56.1,19.8,0.0,0,29.81,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,02:00,56.4,56.0,38.8,51.7,0.0,E@9.4,13.9,53.4,54.8,56.1,19.8,0.0,0,29.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,02:15,56.1,55.8,38.7,51.8,0.0,E@8.4,13.9,53.2,54.7,56.0,19.7,0.0,0,29.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,02:30,56.1,55.8,38.4,51.2,0.0,E@9.2,14.2,53.3,54.5,55.9,19.7,0.0,0,29.79,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,02:45,56.2,55.8,38.1,50.6,0.0,E@9.9,16.4,53.7,54.4,55.8,19.7,0.0,0,29.78,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,03:00,56.1,55.8,37.8,50.1,0.0,E@9.3,15.0,53.4,54.3,55.8,19.7,0.0,0,29.78,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,03:15,56.3,55.9,37.6,49.4,0.0,E@9.1,17.5,53.6,54.2,55.7,19.7,0.0,0,29.76,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,03:30,56.4,56.1,37.4,48.8,0.0,E@8.8,15.7,53.9,54.1,55.6,19.7,0.0,0,29.76,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,03:45,56.4,56.0,37.4,48.9,0.0,E@8.4,14.6,53.7,54.0,55.6,19.6,0.0,0,29.76,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,04:00,56.2,55.9,37.5,49.3,0.0,E@8.0,14.2,53.6,54.0,55.5,19.6,0.0,0,29.76,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,04:15,56.4,56.0,37.3,48.5,0.0,E@8.1,13.2,53.7,53.9,55.4,19.6,0.0,0,29.74,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,04:30,56.5,56.1,37.2,48.3,0.0,E@8.5,13.9,54.0,53.8,55.3,19.6,0.0,0,29.74,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,04:45,56.6,56.2,37.1,48.0,0.0,E@6.6,14.6,54.2,53.8,55.3,19.6,0.0,0,29.74,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
2017-04-22,05:00,56.6,56.2,37.3,48.3,0.0,SE@5.5,10.7,53.6,53.7,55.2,19.6,0.0,0,29.75,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2017-12-12 18:39:12.906313
