Date,Time PST,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-10-21,00:15,52.9,58.3,49.4,87.8,0.0,N @0.0,0.0,0.65,0,53.0,53.3,22.5,30.17,52.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,00:30,52.8,58.2,49.4,88.3,0.0,N @0.0,0.0,0.65,0,53.0,53.3,22.5,30.17,52.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,00:45,52.8,58.1,49.7,89.2,0.0,N @0.0,0.0,0.66,0,52.9,53.3,22.4,30.18,52.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,01:00,53.0,58.6,50.1,89.8,0.0,N @0.0,0.0,0.68,0,52.9,53.3,22.4,30.18,52.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,01:15,53.6,59.1,50.8,90.2,0.0,N @0.0,0.0,0.69,0,52.9,53.3,22.3,30.18,53.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,01:30,53.5,59.3,50.8,90.4,0.0,N @0.0,0.0,0.7,0,52.9,53.3,22.3,30.18,53.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,01:45,53.4,59.3,50.9,90.9,0.0,N @0.0,0.0,0.71,0,52.8,53.3,22.2,30.18,53.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,02:00,53.4,59.4,50.9,91.3,0.0,N @0.0,0.0,0.73,0,52.8,53.3,22.2,30.19,53.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,02:15,53.4,59.5,51.1,91.7,0.0,SE@0.4,3.5,0.73,0,52.8,53.3,22.1,30.18,53.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,02:30,53.5,59.4,51.2,91.9,0.0,N @0.0,0.0,0.74,0,52.8,53.2,22.1,30.18,53.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,02:45,53.4,59.3,51.2,92.0,0.0,N @0.0,0.0,0.74,0,52.8,53.2,22.0,30.18,53.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,03:00,53.3,59.3,51.1,92.2,0.0,SE@0.6,3.5,0.75,0,52.8,53.2,22.0,30.17,53.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,03:15,53.5,59.3,51.4,92.5,0.0,SE@0.0,1.7,0.76,0,52.8,53.2,21.9,30.18,53.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,03:30,54.2,60.1,52.2,92.6,0.0,SE@0.0,2.4,0.76,0,52.8,53.2,21.9,30.19,54.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,03:45,54.4,60.2,52.3,92.5,0.0,N @0.0,0.0,0.76,0,52.8,53.2,21.8,30.19,54.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,04:00,54.4,60.2,52.3,92.5,0.0,N @0.0,0.0,0.76,0,52.8,53.2,21.8,30.19,54.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,04:15,54.3,60.1,52.2,92.4,0.0,N @0.0,0.0,0.76,0,52.8,53.2,21.8,30.19,54.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,04:30,54.5,60.2,52.4,92.4,0.0,SE@0.3,4.6,0.76,0,52.8,53.2,21.7,30.19,54.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,04:45,54.5,60.3,52.4,92.3,0.0,SE@0.9,4.6,0.76,0,52.8,53.2,21.7,30.19,54.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,05:00,54.6,60.6,52.5,92.3,0.0,SE@1.3,5.7,0.75,0,52.8,53.1,21.6,30.19,54.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,05:15,54.8,61.1,52.5,92.0,0.0,SE@2.0,7.1,0.74,0,52.8,53.1,21.6,30.18,54.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,05:30,54.8,61.1,52.4,91.6,0.0,SE@1.3,6.0,0.71,0,52.9,53.1,21.6,30.18,54.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,05:45,54.8,61.1,52.3,91.3,0.0,SE@0.2,4.2,0.69,0,52.9,53.1,21.5,30.19,54.9,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,06:00,55.0,60.8,52.5,91.3,0.0,SE@1.3,4.6,0.68,0,52.9,53.1,21.5,30.19,55.0,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,06:15,55.3,61.0,52.8,91.4,0.0,SE@1.0,6.7,0.68,0,52.9,53.1,21.4,30.19,55.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,06:30,55.4,61.3,53.0,91.5,0.0,SE@2.4,6.4,0.68,0,52.9,53.1,21.4,30.19,55.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,06:45,55.4,61.6,53.1,91.6,0.0,SE@3.3,7.4,0.67,1,52.9,53.1,21.4,30.18,55.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,07:00,55.5,61.8,53.1,91.7,0.0,SE@3.3,8.5,0.66,4,53.0,53.1,21.3,30.18,55.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,07:15,55.6,62.0,53.3,91.8,0.0,SE@2.5,8.2,0.66,11,53.0,53.1,21.3,30.18,55.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,07:30,55.7,62.4,53.4,91.9,0.0,SE@1.9,7.1,0.65,13,53.0,53.1,21.3,30.19,55.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,07:45,55.8,62.7,53.5,91.9,0.0,SE@3.6,8.2,0.64,20,53.0,53.1,21.2,30.18,55.8,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,08:00,55.4,62.6,53.0,91.5,0.0,SE@3.7,8.2,0.62,23,53.1,53.1,21.2,30.19,55.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,08:15,55.6,62.7,53.1,91.1,0.0,SE@3.9,8.5,0.59,25,53.1,53.1,21.2,30.2,55.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,08:30,55.4,62.7,52.9,91.3,0.0,SE@4.1,8.5,0.6,23,53.1,53.1,21.1,30.2,55.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,08:45,55.3,62.8,52.9,91.5,0.0,SE@4.4,9.2,0.65,20,53.2,53.1,21.1,30.19,55.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,09:00,55.6,63.1,53.3,91.8,0.0,SE@4.6,9.9,0.69,28,53.2,53.1,21.1,30.2,55.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,09:15,56.3,63.9,54.1,92.3,0.0,SE@5.1,11.0,0.7,48,53.2,53.1,21.0,30.19,56.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,09:30,56.6,64.4,54.6,92.8,0.0,SE@5.7,11.0,0.72,55,53.3,53.2,21.0,30.19,56.5,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,09:45,56.8,64.8,54.8,93.1,0.0,SE@5.3,11.7,0.72,63,53.3,53.2,20.9,30.18,56.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,10:00,56.8,64.5,54.8,93.2,0.0,SE@5.8,12.4,0.72,43,53.4,53.2,20.9,30.18,56.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,10:15,56.7,64.2,54.8,93.3,0.0,SE@5.4,9.9,0.72,30,53.5,53.2,20.9,30.17,56.7,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,10:30,56.7,64.3,54.9,93.6,0.0,SE@5.0,11.7,0.75,29,53.6,53.2,20.9,30.17,56.6,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,10:45,56.5,64.1,54.8,93.9,0.01,SE@5.0,10.7,0.76,24,53.7,53.3,20.8,30.18,56.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,11:00,56.4,64.2,54.7,94.3,0.02,SE@4.6,10.7,0.78,31,53.7,53.3,20.8,30.18,56.2,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,11:15,56.4,64.4,54.9,94.6,0.03,SE@4.8,11.0,0.8,32,53.8,53.3,20.7,30.18,56.3,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,11:30,56.5,64.3,55.1,94.8,0.0,SE@4.4,12.1,0.82,25,53.8,53.3,20.7,30.18,56.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,11:45,56.5,64.4,55.1,95.0,0.0,SE@4.8,11.0,0.83,29,53.9,53.4,20.7,30.18,56.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
2019-10-21,12:00,56.5,64.6,55.2,95.2,0.0,SE@4.7,11.0,0.84,36,54.0,53.4,20.7,30.18,56.4,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-01-21 18:59:36.373304
