Date,Time PDT,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-04-20,00:15,40.4,48.5,38.6,93.4,0.0,N @0.0,0.0,0.69,0,54.3,56.8,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,00:30,39.7,47.7,38.0,93.5,0.0,N @0.0,0.0,0.69,0,54.1,56.7,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,00:45,40.3,47.7,38.6,93.7,0.0,N @0.0,0.0,0.71,0,53.8,56.6,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,01:00,40.2,48.0,38.5,93.8,0.0,N @0.0,0.0,0.71,0,53.6,56.6,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,01:15,39.8,47.2,38.2,93.9,0.0,N @0.0,0.0,0.72,0,53.4,56.5,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,01:30,39.4,48.0,37.9,94.0,0.0,N @0.0,0.0,0.72,0,53.2,56.4,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,01:45,39.4,47.6,37.8,94.1,0.0,N @0.0,0.0,0.73,0,53.0,56.3,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,02:00,39.2,46.6,37.6,94.2,0.0,N @0.0,0.0,0.73,0,52.8,56.2,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,02:15,39.4,46.5,37.9,94.3,0.0,N @0.0,0.0,0.74,0,52.6,56.1,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,02:30,38.9,46.8,37.4,94.3,0.0,N @0.0,0.0,0.74,0,52.4,56.0,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,02:45,39.5,47.2,38.0,94.4,0.0,N @0.0,0.0,0.75,0,52.3,55.9,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,03:00,39.1,46.9,37.6,94.4,0.0,N @0.0,0.0,0.75,0,52.1,55.8,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,03:15,38.7,46.2,37.3,94.5,0.0,N @0.0,0.0,0.75,0,51.9,55.7,14.4,30.11,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,03:30,38.6,46.3,37.1,94.5,0.0,N @0.0,0.0,0.75,0,51.8,55.6,14.4,30.11,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
2020-04-20,03:45,38.4,46.2,37.0,94.6,0.0,N @0.0,0.0,0.76,0,51.6,55.5,14.4,30.12,"Grayland, Grayland, Grays Harbor County",300213,Grayland,2020-05-31 15:57:57.392081
