Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-09-03,00:15,67.1,48.0,50.2,0.0,N @3.3,4.6,0.0,0,78.9,83.6,1.5,30.0,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,00:30,68.7,46.1,44.2,0.0,N@3.2,4.6,0.0,0,78.4,83.5,1.5,30.0,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,00:45,67.7,47.8,48.9,0.0,SW@1.4,2.8,0.0,0,77.9,83.3,1.5,30.01,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,01:00,67.8,45.2,44.1,0.0,W@1.4,2.4,0.0,0,77.4,83.2,1.5,30.01,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,01:15,66.9,43.5,42.6,0.0,NW@1.7,3.5,0.0,0,77.0,83.0,1.5,30.01,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,01:30,66.5,43.0,42.3,0.0,NW@1.0,2.4,0.0,0,76.5,82.8,1.5,30.01,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,01:45,65.8,43.2,43.9,0.0,N @0.0,0.0,0.0,0,76.0,82.7,1.5,30.02,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,02:00,66.2,46.6,49.1,0.0,N @0.0,0.0,0.0,0,75.6,82.5,1.5,30.02,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,02:15,65.4,44.6,46.7,0.0,N @1.6,2.8,0.0,0,75.1,82.3,1.5,30.02,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
2019-09-03,02:30,65.8,44.3,45.8,0.0,NW@3.4,5.3,0.0,0,74.7,82.2,1.5,30.02,"Azwell, Azwell, Okanogan County",300218,Azwell,2020-06-02 10:23:51.236242
