Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2018-12-06,23:15,27.8,27.7,20.4,75.4,0.0,NE@3.9,7.4,36.9,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-06,23:30,27.9,27.7,20.3,75.2,0.0,NE@3.9,8.5,36.9,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-06,23:45,27.9,27.8,20.1,74.5,0.0,NE@3.7,7.4,36.9,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-06,24:00,27.9,27.8,20.0,74.0,0.0,NE@4.0,9.6,36.9,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,00:15,27.9,27.8,19.8,73.1,0.0,NE@4.9,11.0,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,00:30,27.9,27.8,19.6,72.9,0.0,E@4.6,8.2,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,00:45,27.8,27.7,19.7,73.3,0.0,NE@3.4,7.1,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,01:00,27.8,27.7,19.6,72.9,0.0,E@3.9,9.2,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,01:15,27.9,27.7,19.5,72.4,0.0,NE@4.4,8.2,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,01:30,27.8,27.7,19.5,72.6,0.0,NE@4.0,8.9,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,01:45,27.8,27.7,19.5,72.7,0.0,E@4.0,8.2,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,02:00,27.8,27.7,19.7,73.2,0.0,NE@3.1,6.7,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,02:15,27.8,27.6,19.9,74.0,0.0,NE@3.0,4.6,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,02:30,27.8,27.6,20.0,74.5,0.0,NE@2.8,8.2,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,02:45,27.7,27.6,20.3,75.4,0.0,NE@2.6,5.3,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,03:00,27.8,27.7,20.1,74.5,0.0,NE@3.1,6.4,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,03:15,27.8,27.7,20.1,74.7,0.0,NE@2.5,5.3,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,03:30,27.7,27.5,20.7,77.1,0.0,E@2.7,6.7,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
2018-12-07,03:45,27.5,27.4,21.0,78.4,0.0,E@2.8,5.3,36.8,0.0,0,"Underwood, Skamania County",310032,Underwood,2019-06-24 23:23:44.511064
