Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2021-01-06,23:15,40.2,40.0,99.5,0.0,0,30.17,W,0.9,2.4,0.8,44.0,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-06,23:30,40.5,40.4,99.6,0.0,0,30.17,N ,0.0,0.0,0.8,44.0,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-06,23:45,40.9,40.8,99.6,0.0,0,30.17,S,0.1,1.7,0.8,44.0,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-06,24:00,40.9,40.8,99.6,0.0,0,30.18,W,1.7,3.1,0.8,43.9,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,00:15,41.1,40.9,99.6,0.0,0,30.19,W,1.5,3.1,0.8,43.9,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,00:30,41.1,40.9,99.6,0.0,0,30.2,S,0.2,1.7,0.8,43.9,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,00:45,41.5,41.4,99.6,0.0,0,30.21,W,0.2,1.7,0.81,43.8,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,01:00,41.8,41.7,99.6,0.0,0,30.21,N ,0.0,0.0,0.81,43.8,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,01:15,42.0,41.9,99.6,0.0,0,30.22,S,0.5,2.1,0.81,43.8,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,01:30,41.8,41.7,99.5,0.0,0,30.22,SE,0.8,2.4,0.81,43.7,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,01:45,41.8,41.7,99.6,0.0,0,30.23,E,0.4,2.4,0.81,43.7,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,02:00,41.9,41.8,99.5,0.0,0,30.24,E,1.5,3.1,0.81,43.7,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,02:15,42.1,41.9,99.6,0.0,0,30.25,E,1.2,2.8,0.8,43.7,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,02:30,42.2,42.1,99.5,0.0,0,30.25,E,1.0,2.1,0.8,43.6,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,02:45,42.2,42.1,99.5,0.0,0,30.26,E,1.4,2.4,0.8,43.6,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,03:00,42.1,41.9,99.4,0.0,0,30.26,E,1.5,2.8,0.8,43.6,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,03:15,41.7,41.5,99.4,0.0,0,30.26,SE,0.2,2.1,0.8,43.6,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,03:30,41.9,41.7,99.4,0.0,0,30.26,SE,0.4,2.8,0.8,43.5,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,03:45,41.8,41.7,99.3,0.0,0,30.26,SW,0.2,1.7,0.81,43.5,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,04:00,41.9,41.8,99.3,0.0,0,30.27,E,0.4,1.7,0.81,43.5,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,04:15,42.0,41.9,99.3,0.0,0,30.27,SE,0.2,1.7,0.81,43.5,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,04:30,42.0,41.9,99.3,0.0,0,30.27,SE,0.1,1.4,0.81,43.5,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,04:45,41.8,41.6,99.3,0.0,0,30.27,N ,0.0,0.0,0.81,43.4,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,05:00,41.5,41.3,99.3,0.0,0,30.27,SE,0.3,2.1,0.81,43.4,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,05:15,41.2,41.0,99.3,0.0,0,30.27,SE,0.0,1.4,0.81,43.4,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,05:30,41.0,40.8,99.3,0.0,0,30.28,SW,0.1,1.7,0.81,43.4,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,05:45,41.1,40.9,99.4,0.0,0,30.28,W,0.0,1.4,0.81,43.4,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,06:00,41.0,40.8,99.4,0.0,0,30.29,W,0.0,1.4,0.81,43.4,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,06:15,41.0,40.9,99.4,0.0,0,30.29,S,0.2,1.7,0.82,43.3,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,06:30,40.9,40.8,99.4,0.0,0,30.29,S,0.0,1.4,0.83,43.3,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
2021-01-07,06:45,41.0,40.9,99.5,0.0,0,30.29,SW,0.2,1.7,0.82,43.3,"Puyallup, Puyallup, Pierce County",310102,Puyallup,2021-04-15 13:28:50.258533
