Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
2018-06-17,00:15,60.4,60.4,54.1,79.7,0.0,N@13.6,17.8,71.4,75.9,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,00:30,60.4,60.4,53.9,78.8,0.0,N@14.4,19.2,71.1,75.8,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,00:45,60.3,60.3,53.7,78.5,0.0,N@14.6,21.0,70.8,75.7,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,01:00,59.9,59.8,53.9,80.7,0.0,N@14.5,18.5,70.5,75.7,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,01:15,60.1,60.1,54.0,80.2,0.0,N@14.7,19.6,70.3,75.6,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,01:30,59.7,59.6,53.8,80.9,0.0,N@12.1,16.0,70.0,75.6,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,01:45,59.6,59.5,52.3,76.6,0.0,N@9.5,13.2,69.7,75.5,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,02:00,61.1,60.9,50.2,67.2,0.0,N@7.0,9.6,69.5,75.4,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,02:15,60.3,60.1,50.4,69.7,0.0,N@6.9,10.3,69.2,75.3,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
2018-06-17,02:30,61.8,61.6,50.0,65.2,0.0,N@9.5,13.2,69.0,75.3,0.0,0,"Outlook, Yakima County",310135,Outlook,2018-09-17 09:56:32.727436
