Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m²,Location,Station ID,Station Name,Download Timestamp
1990-04-18,00:15,47.0,,40.9,79.1,,NE@1.7,99999.0,,57.4,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,00:30,46.5,,40.6,79.7,,NE@1.7,99999.0,,57.3,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,00:45,46.8,,41.0,80.1,0.83,N@2.2,99999.0,,57.3,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,01:00,46.9,,41.0,79.9,0.0,NE@1.8,99999.0,,57.2,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,01:15,46.8,,40.8,79.5,0.0,NE@2.5,99999.0,,57.1,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,01:30,47.3,,41.1,78.9,0.0,NE@1.4,99999.0,,57.1,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,01:45,47.0,,41.0,79.3,0.0,NE@1.2,99999.0,,57.0,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,02:00,46.6,,40.6,79.5,,NE@0.9,99999.0,,56.9,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,02:15,46.1,,40.3,79.8,0.0,NE@1.8,99999.0,,56.9,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,02:30,45.8,,40.0,80.1,,NE@1.4,99999.0,,56.8,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,02:45,43.4,,38.4,82.5,,N@3.1,99999.0,,56.7,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,03:00,42.2,,37.8,84.1,,N@3.5,99999.0,,56.6,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,03:15,41.3,,37.1,84.6,,N@4.3,99999.0,,56.5,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,03:30,41.6,,37.2,84.0,0.0,N@5.4,99999.0,,56.4,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,03:45,41.1,,36.6,83.8,0.0,N@5.5,99999.0,,56.3,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,04:00,41.1,,36.6,83.9,0.0,N@4.7,99999.0,,56.2,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,04:15,40.9,,36.5,84.1,0.0,N@4.4,99999.0,,56.2,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,04:30,40.9,,36.4,84.0,0.0,N@4.7,99999.0,,56.1,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,04:45,40.4,,36.0,84.1,0.0,N@5.0,99999.0,,56.0,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,05:00,40.7,,36.4,84.4,0.0,N@4.5,99999.0,,55.9,0.0,0,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,05:15,41.0,,36.6,84.1,0.0,N@4.5,99999.0,,55.9,0.0,6,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,05:30,41.0,,36.5,83.8,0.0,N@4.2,99999.0,,55.8,0.0,19,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,05:45,41.7,,37.1,83.7,0.0,N@2.4,99999.0,,55.7,0.0,48,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,06:00,43.0,,38.4,83.7,0.0,NW@2.6,99999.0,,55.7,0.0,90,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,06:15,45.2,,40.1,82.0,0.0,N@1.9,99999.0,,55.7,0.0,112,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,06:30,47.9,,42.3,81.0,0.0,N@1.1,99999.0,,55.6,0.0,143,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
1990-04-18,06:45,50.4,,43.4,76.9,0.0,NE@1.1,99999.0,,55.6,0.0,197,"Sunnyside, Yakima County",310136,Sunnyside,2017-12-03 13:31:53.781834
