Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2021-01-24,00:15,27.1,25.2,95.6,0.0,0,N,3.1,4.6,0.14,32.9,35.4,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,00:30,26.9,25.0,95.5,0.0,0,N,3.4,4.6,0.15,32.8,35.4,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,00:45,27.2,25.4,95.8,0.0,0,N,3.7,5.7,0.15,32.8,35.4,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,01:00,27.8,25.9,95.3,0.0,0,N ,2.8,4.2,0.15,32.8,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,01:15,27.6,25.6,94.6,0.0,0,N,2.0,2.8,0.15,32.7,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,01:30,27.5,25.4,94.9,0.0,0,NW,1.3,2.4,0.15,32.7,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,01:45,27.1,25.2,95.5,0.0,0,N,1.3,2.4,0.15,32.7,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,02:00,27.1,25.5,96.8,0.0,0,NE,0.2,1.7,0.14,32.7,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,02:15,26.4,24.9,97.4,0.0,0,SW,0.4,1.7,0.13,32.6,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,02:30,25.9,24.5,98.4,0.0,0,W,0.0,1.4,0.12,32.6,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,02:45,25.2,24.0,99.3,0.0,0,NE,0.2,1.7,0.12,32.6,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,03:00,25.1,23.9,99.4,0.0,0,NE,1.7,2.1,0.12,32.6,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,03:15,25.4,24.3,99.4,0.0,0,N ,1.5,3.1,0.12,32.5,35.3,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,03:30,25.6,24.4,99.4,0.0,0,NE,2.3,3.9,0.13,32.5,35.2,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,03:45,26.0,24.9,99.4,0.0,0,N ,2.2,3.9,0.14,32.5,35.2,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
2021-01-24,04:00,26.8,25.8,99.4,0.0,0,N ,2.3,4.2,0.15,32.5,35.2,"Sunside.N, Yakima County",310136,Sunside.N,2021-11-11 15:02:28.475354
