Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-12-31,00:15,33.0,33.0,99.7,0.0,S@4.7,8.2,0.06,0,33.6,35.1,33.0,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,00:30,33.0,32.9,99.7,0.0,S@4.4,8.5,0.04,0,33.6,35.1,32.9,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,00:45,33.0,32.9,99.7,0.0,S@3.4,5.7,0.05,0,33.6,35.1,32.9,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,01:00,33.1,33.0,99.7,0.0,SW@2.5,4.2,0.0,0,33.6,35.1,33.0,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,01:15,33.0,32.9,99.7,0.0,S@2.2,4.9,0.04,0,33.6,35.1,32.9,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,01:30,32.9,32.9,99.7,0.0,SE@2.1,3.5,0.06,0,33.6,35.1,32.8,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,01:45,32.9,32.9,99.7,0.0,S@2.3,3.9,0.06,0,33.6,35.1,32.8,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,02:00,32.9,32.8,99.7,0.0,S@3.3,4.9,0.06,0,33.6,35.1,32.8,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,02:15,33.0,32.9,99.7,0.0,S@2.7,4.2,0.05,0,33.6,35.1,32.9,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
2019-12-31,02:30,32.9,32.8,99.7,0.0,S@2.3,4.2,0.05,0,33.6,35.1,32.8,"RoyalCty.W (Royal City West), Grant County",320098,RoyalCty.W,2020-01-21 15:30:51.762476
