Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-08-10,00:15,62.8,47.8,57.9,0.0,0,SW,3.4,4.9,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,00:30,63.0,48.2,58.3,0.0,0,SW,3.7,4.6,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,00:45,62.9,48.0,58.3,0.0,0,SW,2.6,4.6,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,01:00,61.9,48.6,61.5,0.0,0,S,2.9,4.6,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,01:15,59.2,49.5,70.3,0.0,0,S,3.5,4.6,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,01:30,60.2,49.4,67.5,0.0,0,S,2.7,4.6,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,01:45,61.0,48.6,63.6,0.0,0,S,1.8,3.9,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,02:00,59.7,48.8,67.2,0.0,0,S,3.6,4.6,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,02:15,59.8,48.5,66.2,0.0,0,SW,3.5,4.6,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,02:30,59.9,48.7,66.2,0.0,0,SW,3.6,4.9,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,02:45,60.3,48.6,65.1,0.0,0,SW,3.9,4.9,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,03:00,58.6,49.2,70.7,0.0,0,SW,4.2,5.7,0.0,77.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,03:15,59.7,48.8,67.2,0.0,0,SW,3.5,4.6,0.0,76.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,03:30,59.0,49.1,69.6,0.0,0,SW,3.6,4.6,0.0,76.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,03:45,58.9,49.0,69.6,0.0,0,SW,3.4,4.9,0.0,76.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,04:00,58.2,49.6,72.9,0.0,0,W,3.5,4.2,0.0,76.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,04:15,57.7,49.2,73.3,0.0,0,SW,4.0,5.3,0.0,76.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,04:30,55.8,49.6,79.7,0.0,0,SW,3.5,4.2,0.0,76.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,04:45,56.1,50.0,80.0,0.0,2,SW,3.6,4.6,0.0,76.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,05:00,55.9,50.1,80.9,0.0,9,SW,4.1,5.7,0.0,76.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,05:15,57.7,49.9,75.0,0.0,33,SW,3.5,4.6,0.0,76.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,05:30,58.2,50.6,75.7,0.0,65,SW,3.7,4.9,0.0,76.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,05:45,60.0,51.7,74.0,0.0,99,SW,2.9,4.2,0.0,76.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,06:00,62.9,52.1,67.5,0.0,136,SW,1.4,3.5,0.0,76.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,06:15,66.0,52.9,62.5,0.0,176,S,0.7,3.5,0.0,76.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,06:30,69.9,52.0,53.0,0.0,218,N ,0.4,2.4,0.0,76.5,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,06:45,71.4,48.6,44.4,0.0,261,N ,0.1,1.4,0.0,76.4,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,07:00,72.3,49.0,43.7,0.0,306,N ,2.2,4.2,0.0,76.4,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,07:15,70.6,49.7,47.4,0.0,350,N,3.6,4.9,0.0,76.4,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,07:30,71.1,50.6,48.3,0.0,394,N ,3.5,4.9,0.0,76.3,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,07:45,72.4,51.2,47.1,0.0,438,N ,3.9,4.9,0.0,76.3,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,08:00,73.0,50.0,44.3,0.0,481,NE,3.3,4.6,0.0,76.2,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,08:15,74.0,49.4,41.8,0.0,523,NE,2.8,3.5,0.0,76.2,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,08:30,74.7,50.8,43.1,0.0,538,E,3.6,6.7,0.0,76.1,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,08:45,75.9,51.3,42.3,0.0,603,E,4.5,7.4,0.0,76.1,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,09:00,77.0,51.9,41.5,0.0,640,E,5.2,8.5,0.0,76.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,09:15,76.8,53.6,44.6,0.0,674,E,5.2,7.4,0.0,76.0,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,09:30,78.0,53.1,42.0,0.0,707,E,5.3,8.9,0.0,75.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,09:45,78.5,54.5,43.4,0.0,736,E,6.3,8.9,0.0,75.9,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:00,79.8,51.7,37.6,0.0,765,E,8.0,10.7,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:15,80.9,50.1,34.3,0.0,790,E,7.6,10.7,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:30,81.5,52.2,36.2,0.0,810,E,7.5,10.3,0.0,75.8,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,10:45,82.1,52.1,35.4,0.0,828,E,7.6,10.7,0.0,75.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,11:00,83.1,52.0,34.1,0.0,846,E,6.8,9.9,0.0,75.7,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
2020-08-10,11:15,82.8,52.3,34.9,0.0,859,E,6.6,9.2,0.0,75.6,"Frenchman, Grant County",330023,Frenchman,2020-12-14 08:50:22.914553
