Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2021-04-15,00:15,38.7,32.7,78.8,0.0,0,30.14,SE,1.1,3.1,49.4,49.4,-41.5,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,00:30,37.5,32.4,81.6,0.0,0,30.14,S,1.4,2.7,49.2,49.3,-41.5,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,00:45,37.3,32.2,81.6,0.0,0,30.15,S,1.5,3.5,49.1,49.3,-41.4,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,01:00,38.0,32.2,79.5,0.0,0,30.16,S,1.7,3.1,48.9,49.2,-41.4,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,01:15,38.3,33.0,80.9,0.0,0,30.15,W,1.7,2.8,48.7,49.1,-41.4,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,01:30,38.1,33.0,81.8,0.0,0,30.15,S,1.2,3.1,48.6,49.1,-41.4,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,01:45,40.9,33.3,74.2,0.0,0,30.14,SE,1.2,4.1,48.4,48.9,-41.4,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,02:00,41.4,34.1,75.0,0.0,0,30.14,NE,2.1,4.6,48.3,48.9,-41.4,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,02:15,41.1,33.6,74.2,0.0,0,30.14,S,1.9,4.7,48.2,48.9,-41.3,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,02:30,41.5,33.0,71.6,0.0,0,30.14,S,1.9,4.9,48.0,48.7,-41.3,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,02:45,41.4,32.6,70.6,0.0,0,30.14,S,1.0,2.8,47.9,48.7,-41.3,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,03:00,39.3,32.4,76.0,0.0,0,30.14,NE,1.8,4.1,47.8,48.6,-41.3,-14.1,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,03:15,38.2,31.9,78.0,0.0,0,30.14,S,1.1,2.6,47.7,48.6,-41.3,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,03:30,36.9,31.3,79.9,0.0,0,30.15,NW,1.3,3.2,47.6,48.5,-41.3,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,03:45,36.4,30.8,80.1,0.0,0,30.15,S,1.9,4.3,47.5,48.4,-41.3,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,04:00,36.2,30.7,80.2,0.0,0,30.16,SW,1.7,3.0,47.4,48.4,-41.2,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,04:15,35.8,30.5,80.9,0.0,0,30.16,S,1.3,2.3,47.3,48.3,-41.2,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,04:30,34.7,30.5,84.5,0.0,0,30.16,SW,1.3,2.3,47.1,48.2,-41.2,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,04:45,34.0,29.8,84.4,0.0,0,30.16,SW,1.4,2.5,47.1,48.2,-41.2,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,05:00,33.2,29.1,84.8,0.0,0,30.17,SW,1.3,2.4,46.9,48.1,-41.2,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
2021-04-15,05:15,33.5,28.7,82.4,0.0,0,30.17,N ,0.9,2.0,46.8,48.0,-41.2,-14.2,"Lawrence, Lawrence, Whatcom County",330024,Lawrence,2021-04-15 13:44:33.370061
