Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2021-06-24,00:15,56.9,54.2,90.6,0.0,0,30.05,NW,,,68.2,66.7,-59.9,-32.5,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,00:30,56.9,54.0,90.1,0.0,0,30.06,NW,,,68.0,66.7,-59.8,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,00:45,56.2,54.0,92.2,0.0,0,30.06,NW,,,67.9,66.7,-59.7,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,01:00,55.6,53.8,93.5,0.0,0,30.07,NW,,,67.8,66.7,-59.6,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,01:15,55.4,53.6,93.4,0.0,0,30.07,NW,,,67.6,66.6,-59.5,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,01:30,55.3,53.6,93.8,0.0,0,30.07,NW,,,67.5,66.6,-59.5,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,01:45,55.3,53.6,94.0,0.0,0,30.07,NW,,,67.4,66.6,-59.3,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,02:00,54.5,53.5,96.5,0.0,0,30.07,NW,,,67.3,66.6,-59.3,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,02:15,54.1,53.1,96.4,0.0,0,30.07,NW,,,67.0,66.6,-59.2,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,02:30,54.6,52.9,94.1,0.0,0,30.07,NW,,,66.9,66.6,-59.1,-32.6,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,02:45,54.6,53.3,95.3,0.0,0,30.07,NW,,,66.7,66.6,-59.1,-32.7,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,03:00,54.4,53.3,95.9,0.0,0,30.07,NW,,,66.6,66.5,-59.0,-32.7,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,03:15,54.6,53.2,95.0,0.0,0,30.08,NW,,,66.5,66.4,-59.0,-32.7,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,03:30,54.7,53.5,95.5,0.0,0,30.08,NW,,,66.4,66.4,-59.0,-32.7,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,03:45,54.9,53.9,96.2,0.0,0,30.08,NW,,,66.3,66.4,-58.8,-32.8,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,04:00,55.3,54.4,96.5,0.0,0,30.08,W,,,66.2,66.4,-58.8,-32.8,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,04:15,55.3,54.5,97.3,0.0,3,30.09,NW,,,66.0,66.4,-58.7,-32.9,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,04:30,55.1,54.5,97.7,0.0,10,30.08,NW,,,65.9,66.3,-58.6,-32.9,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,04:45,55.1,54.3,97.1,0.0,20,30.09,NW,,,65.8,66.2,-58.6,-32.9,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,05:00,55.1,54.2,96.7,0.0,29,30.09,NW,,,65.7,66.2,-58.4,-32.9,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,05:15,55.8,54.6,95.6,0.0,59,30.09,W,,,65.7,66.2,-58.5,-33.0,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,05:30,57.7,56.5,95.9,0.0,136,30.09,NW,,,65.5,66.2,-58.4,-33.0,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,05:45,59.2,58.8,98.7,0.0,130,30.09,NW,,,65.5,66.0,-58.3,-33.0,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,06:00,60.4,60.3,99.8,0.0,173,30.09,W,,,65.3,66.0,-58.3,-33.1,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
2021-06-24,06:15,61.9,61.2,97.3,0.0,161,30.09,W,,,65.3,66.0,-58.3,-33.1,"Woodinville, Woodinville, King County",330026,Woodinvill,2021-11-10 15:42:58.401262
