Date,Time PDT,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-03-09,00:15,28.5,27.7,99.3,0.0,SW@0.5,3.1,0.02,0,43.1,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,00:30,28.8,28.1,99.3,0.0,SW@1.7,3.9,0.02,0,43.1,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,00:45,28.5,27.7,99.3,0.0,W@0.0,1.4,0.02,0,43.1,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,01:00,29.4,28.8,99.3,0.0,SW@1.1,2.8,0.02,0,43.0,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,01:15,29.7,29.1,99.3,0.0,S@2.1,4.2,0.02,0,43.0,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,01:30,29.1,28.3,99.3,0.0,SE@0.2,2.1,0.02,0,43.0,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,01:45,28.9,28.2,99.3,0.0,S@1.1,4.2,0.02,0,42.9,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,02:00,28.6,27.8,99.3,0.0,S@0.6,3.1,0.02,0,42.9,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,02:15,27.9,27.0,99.3,0.0,S@0.0,1.7,0.02,0,42.9,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,02:30,28.5,27.7,99.3,0.0,SW@0.5,2.8,0.02,0,42.8,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,02:45,28.6,27.8,99.3,0.0,SW@1.6,3.1,0.02,0,42.8,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,03:00,28.8,28.1,99.3,0.0,SW@0.9,3.5,0.02,0,42.8,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,03:15,28.7,28.0,99.3,0.0,SW@1.1,3.9,0.02,0,42.7,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,03:30,28.9,28.1,99.3,0.0,SW@0.3,1.7,0.02,0,42.7,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,03:45,28.9,28.1,99.3,0.0,SW@0.8,3.1,0.02,0,42.6,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,04:00,28.3,27.5,99.3,0.0,SW@1.1,4.2,0.02,0,42.6,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,04:15,28.1,27.2,99.3,0.0,S@0.4,3.5,0.02,0,42.5,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,04:30,28.6,27.9,99.3,0.0,SW@1.1,2.8,0.02,0,42.5,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,04:45,29.0,28.2,99.3,0.0,SW@0.9,4.2,0.02,0,42.5,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,05:00,28.8,28.0,99.3,0.0,SW@0.7,3.5,0.02,0,42.4,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,05:15,26.1,25.0,99.3,0.0,NW@0.1,2.1,0.02,0,42.4,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,05:30,27.8,26.9,99.3,0.0,SW@1.2,2.8,0.02,0,42.3,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,05:45,28.8,28.0,99.3,0.0,SW@0.6,3.1,0.02,0,42.3,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,06:00,27.0,26.0,99.3,0.0,SW@1.0,3.1,0.02,0,42.2,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,06:15,28.5,27.7,99.3,0.0,SW@0.9,2.4,0.02,0,42.2,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,06:30,27.9,27.0,99.3,0.0,SW@0.2,2.4,0.02,0,42.1,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,06:45,28.7,28.0,99.3,0.0,SW@1.9,2.8,0.02,0,42.1,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,07:00,27.9,27.0,99.3,0.0,SW@0.5,2.8,0.02,0,42.0,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,07:15,27.8,26.9,99.3,0.0,SW@0.1,1.7,0.02,0,42.0,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,07:30,29.1,28.4,99.3,0.0,SW@2.4,3.9,0.02,2,41.9,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
2020-03-09,07:45,28.9,28.2,99.3,0.0,SW@1.6,3.5,0.02,6,41.9,"Sequim, Clallam County",330039,Sequim,2020-05-03 14:36:10.639161
