Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-11-19,00:15,43.2,43.2,99.9,0.0,SW@0.3,2.1,1.0,0,45.3,42.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,00:30,42.1,42.1,99.9,0.0,S@0.0,1.7,1.0,0,45.3,41.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,00:45,42.1,42.1,99.9,0.0,SW@1.5,2.8,1.0,0,45.3,41.6,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,01:00,42.0,42.0,99.9,0.0,S@0.8,2.8,1.0,0,45.2,41.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,01:15,41.7,41.7,99.9,0.0,SW@1.3,3.9,1.0,0,45.2,41.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,01:30,41.4,41.4,99.9,0.0,SW@1.1,3.9,1.0,0,45.1,40.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,01:45,41.5,41.5,99.9,0.0,W@3.0,5.3,1.0,0,45.1,41.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,02:00,40.4,40.4,99.9,0.0,NW@0.9,3.9,1.0,0,45.0,40.0,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,02:15,38.4,38.4,99.9,0.0,E@0.9,3.1,1.0,0,45.0,37.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,02:30,38.5,38.5,99.9,0.0,W@0.6,2.8,1.0,0,44.9,37.9,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,02:45,39.0,39.0,99.9,0.0,E@1.4,3.9,1.0,0,44.8,38.5,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,03:00,38.6,38.6,99.9,0.0,NE@0.5,2.4,1.0,0,44.7,38.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,03:15,38.6,38.6,99.9,0.0,N @0.0,0.0,1.0,0,44.7,38.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,03:30,39.6,39.6,99.9,0.0,SW@0.4,2.4,1.0,0,44.6,39.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,03:45,40.2,40.2,99.9,0.0,SW@1.5,3.1,1.0,0,44.5,39.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,04:00,40.9,40.9,99.9,0.0,W@2.4,4.2,1.0,0,44.5,40.7,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,04:15,41.0,41.0,99.9,0.0,SW@2.7,4.9,1.0,0,44.4,40.8,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,04:30,40.6,40.6,99.9,0.0,SE@2.6,6.0,1.0,0,44.4,40.2,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,04:45,39.6,39.6,99.9,0.0,NE@1.9,4.9,1.0,0,44.3,39.1,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,05:00,39.9,39.9,99.9,0.0,SE@1.4,4.6,1.0,0,44.3,39.4,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
2019-11-19,05:15,40.8,40.7,99.9,0.0,SE@0.8,4.9,1.0,0,44.3,40.3,"RoyalCty.E (Royal City East), Grant County",330041,RoyalCty.E,2020-01-21 15:34:06.666603
