Date,Time PST,Air Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2020-01-05,00:15,44.9,36.7,72.6,0.0,SE@7.0,11.7,0.0,,48.6,45.3,30.26,45.0,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,00:30,45.0,36.6,72.2,0.0,SE@7.4,16.7,0.0,,48.6,45.3,30.26,45.1,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,00:45,45.2,36.7,71.9,0.0,SE@7.1,13.2,0.0,,48.6,45.3,30.25,45.2,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,01:00,45.2,36.7,72.0,0.0,SE@6.9,13.2,0.0,,48.6,45.3,30.25,45.3,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,01:15,45.4,36.8,71.6,0.0,SE@7.1,12.4,0.0,,48.5,45.3,30.24,45.5,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,01:30,45.5,36.7,71.0,0.0,SE@8.0,14.2,0.0,,48.5,45.3,30.24,45.6,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,01:45,45.6,36.5,70.3,0.0,SE@8.3,17.5,0.0,,48.5,45.2,30.24,45.7,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,02:00,45.8,36.6,70.0,0.0,SE@9.2,16.4,0.0,,48.5,45.2,30.23,45.8,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,02:15,45.8,36.6,70.0,0.0,SE@9.8,18.5,0.0,,48.5,45.2,30.23,45.9,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,02:30,45.8,36.6,70.0,0.0,SE@10.0,18.5,0.0,,48.5,45.2,30.22,45.9,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,02:45,45.5,36.7,71.1,0.0,SE@8.9,18.5,0.0,,48.5,45.2,30.22,45.5,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,03:00,45.5,36.8,71.4,0.0,SE@9.4,17.8,0.0,,48.5,45.2,30.22,45.5,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,03:15,45.3,37.0,72.5,0.0,SE@8.6,17.1,0.0,,48.4,45.2,30.22,45.4,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,03:30,45.4,36.9,71.9,0.0,SE@8.5,16.0,0.0,,48.4,45.2,30.21,45.5,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,03:45,45.4,36.8,71.8,0.0,SE@8.2,15.0,0.0,,48.4,45.2,30.2,45.5,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,04:00,45.3,36.9,72.1,0.0,SE@9.0,16.7,0.0,,48.4,45.2,30.2,45.4,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,04:15,45.3,36.7,71.7,0.0,SE@9.7,20.0,0.0,,48.4,45.2,30.19,45.4,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,04:30,45.4,36.5,70.7,0.0,SE@8.6,17.5,0.0,,48.4,45.2,30.19,45.5,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,04:45,45.3,36.6,71.6,0.0,SE@9.0,16.7,0.0,,48.4,45.2,30.19,45.3,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,05:00,44.9,36.9,73.5,0.0,SE@9.3,19.6,0.0,,48.4,45.1,30.18,44.9,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,05:15,44.3,37.4,76.3,0.0,SE@9.4,18.2,0.0,,48.3,45.1,30.17,44.4,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
2020-01-05,05:30,44.5,37.1,75.1,0.0,SE@12.3,21.8,0.0,,48.3,45.1,30.16,44.6,"Mt.Vernon (WSU Mt Vernon), Mount Vernon, Skagit County",330101,Mt.Vernon,2020-01-21 16:43:14.937919
