Date,Time PDT,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2019-01-13,23:15,30.2,30.1,26.7,87.9,0.0,S@2.7,4.6,37.4,0.0,0,30.38,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-13,23:30,30.2,30.1,26.7,87.9,0.0,E@3.2,4.9,37.4,0.0,0,30.38,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-13,23:45,30.1,30.0,26.5,87.9,0.0,E@4.3,6.7,37.4,0.0,0,30.38,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-13,24:00,30.0,29.9,26.5,88.0,0.0,NE@3.7,6.7,37.4,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,00:15,29.7,29.6,26.1,88.0,0.0,NE@4.7,8.2,37.4,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,00:30,29.5,29.4,26.3,89.4,0.03,NE@4.6,6.7,37.3,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,00:45,29.4,29.3,26.3,89.8,0.01,NE@4.3,7.1,37.3,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,01:00,29.4,29.3,26.5,90.4,0.11,NE@3.2,6.0,37.3,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,01:15,29.2,29.1,26.2,90.4,0.11,NE@4.1,6.4,37.3,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,01:30,29.2,29.1,26.2,90.3,0.11,NE@3.6,5.7,37.3,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,01:45,28.9,28.8,25.8,89.9,0.11,NE@4.9,7.4,37.3,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
2019-01-14,02:00,28.9,28.8,25.7,89.9,0.11,E@4.1,6.4,37.3,0.0,0,30.37,"Sunrise (WSU Sunrise), Douglas County",330115,Sunrise,2019-06-25 03:18:34.450753
