Date,Time PST,1.5m Air Temp °F, 9m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 10m Wind Direction, 10m Wind Speed mph, 10m Wind Gust mph, 2 in. Soil Tmp °F, 8 in. Soil Tmp °F, 2 in. SWP kPa, 8 in. SWP kPa,Location,Station ID,Station Name,Download Timestamp
2020-11-25,00:15,35.9,36.3,31.7,84.4,0.0,0,7.3,13.5,N,10.6,15.9,37.1,41.7,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,00:30,35.6,36.3,31.5,84.9,0.0,0,7.0,11.1,N,10.2,13.6,36.9,41.6,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,00:45,35.5,36.3,31.5,85.1,0.0,0,5.5,8.8,N,8.4,12.1,36.7,41.5,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,01:00,35.8,36.3,31.9,85.5,0.0,0,6.3,9.9,N,9.2,13.0,36.7,41.5,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,01:15,35.6,36.0,31.9,86.3,0.0,0,5.7,9.9,N,8.1,13.4,36.6,41.5,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,01:30,34.5,35.5,31.6,88.8,0.0,0,3.2,5.2,N ,4.9,7.6,36.5,41.5,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,01:45,35.5,36.4,32.5,88.4,0.0,0,4.9,7.6,N ,5.8,8.6,36.4,41.5,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,02:00,35.0,35.6,31.9,88.3,0.0,0,1.2,4.0,N,1.0,4.3,36.3,41.5,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,02:15,34.7,35.2,32.2,90.4,0.0,0,2.3,7.0,NE,2.1,6.5,36.3,41.5,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
2020-11-25,02:30,34.7,35.9,31.8,88.9,0.0,0,1.4,3.4,E,0.9,2.0,36.1,41.4,-24.9,-41.0,,"Sunrise, Wenatchee, Douglas County",330115,Sunrise,2020-12-14 00:16:41.555792
