Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2021-01-30,23:15,42.4,42.0,98.3,0.0,0,E,2.5,4.6,0.7,42.8,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-30,23:30,42.2,41.7,98.1,0.0,0,E,4.4,6.7,0.71,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-30,23:45,42.2,41.7,98.1,0.0,0,E,4.3,6.4,0.72,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-30,24:00,42.3,41.7,97.8,0.0,0,SW,2.0,3.5,0.72,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,00:15,42.2,41.7,97.9,0.0,0,W,2.5,5.3,0.72,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,00:30,42.1,41.7,98.2,0.0,0,N ,2.9,4.6,0.71,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,00:45,42.0,41.5,98.3,0.01,0,E,1.1,4.6,0.72,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,01:00,41.9,41.4,98.3,0.0,0,E,2.8,4.6,0.71,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,01:15,41.6,41.1,98.1,0.0,0,SE,2.3,3.9,0.72,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,01:30,41.0,40.5,98.0,0.0,0,E,2.9,4.2,0.73,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,01:45,40.7,40.2,98.2,0.0,0,E,4.1,5.7,0.73,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
2021-01-31,02:00,41.0,40.5,98.1,0.0,0,SE,3.0,4.9,0.73,42.9,"Snohomish, Snohomish, Snohomish County",330162,Snohomish,2021-04-15 13:16:25.207640
