Date,Time PST,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg, 2<sup>nd</sup> Air Temp °F,Location,Station ID,Station Name,Download Timestamp
2019-12-02,00:15,39.7,,38.4,95.4,0.0,NE@0.4,1.7,0.2,0,42.3,24.1,29.99,39.2,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,00:30,40.2,,39.1,95.5,0.0,NE@0.8,2.1,0.21,0,42.3,24.0,30.0,39.7,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,00:45,40.4,,39.2,95.6,0.0,NE@0.9,2.1,0.21,0,42.3,24.0,29.99,39.9,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,01:00,39.5,,38.4,95.6,0.0,NE@0.8,1.7,0.2,0,42.3,24.0,29.99,39.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,01:15,38.7,,37.6,95.7,0.0,E@1.0,2.4,0.2,0,42.3,24.0,30.0,38.3,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,01:30,37.8,,36.7,95.8,0.0,N @1.4,2.4,0.2,0,42.4,24.0,30.0,37.4,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,01:45,38.3,,37.3,95.9,0.0,NE@1.6,2.8,0.2,0,42.4,24.0,30.0,37.8,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,02:00,38.3,,37.3,95.9,0.0,SE@0.6,2.1,0.2,0,42.4,24.0,30.01,37.8,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,02:15,37.3,,36.3,96.0,0.0,NE@0.1,1.4,0.2,0,42.4,24.0,30.02,36.8,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
2019-12-02,02:30,37.3,,36.3,96.1,0.0,N @0.3,1.7,0.2,0,42.4,24.0,30.02,36.7,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-01-21 17:55:23.504839
