Date,Time PDT,Air Temp °F, Bed Temp °F, Dew Point °F, Rel Hum %, Tot Prec in, Wind Dir @ Speed mph, Wind Gust mph, Leaf Wet u., Solar Rad W/m², 8 in. Soil Tmp °F, Soil VWC %, Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2020-05-08,00:15,53.7,,44.6,71.1,0.0,N @0.0,1.4,0.0,0,57.5,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,00:30,52.6,,44.0,72.5,0.0,N @0.0,0.0,0.0,0,57.5,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,00:45,51.7,,43.7,73.9,0.0,N @0.0,0.0,0.0,0,57.4,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,01:00,51.0,,43.8,76.3,0.0,N @0.0,0.0,0.0,0,57.4,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,01:15,50.6,,44.1,78.1,0.0,N @0.0,0.0,0.0,0,57.3,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,01:30,50.3,,44.3,79.8,0.0,N @0.0,0.0,0.0,0,57.3,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,01:45,50.0,,44.8,82.0,0.0,N @0.0,0.0,0.0,0,57.3,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,02:00,49.9,,45.3,84.1,0.0,N @0.0,0.0,0.05,0,57.2,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,02:15,49.3,,45.2,85.6,0.0,N @0.0,0.0,0.07,0,57.2,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,02:30,49.1,,45.1,86.2,0.0,N @0.0,0.0,0.09,0,57.1,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,02:45,48.7,,45.1,87.1,0.0,N @0.0,0.0,0.1,0,57.1,28.0,30.13,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,03:00,48.3,,44.8,87.5,0.0,N @0.0,0.0,0.11,0,57.0,28.0,30.12,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,03:15,47.6,,44.4,88.4,0.0,N @0.0,0.0,0.12,0,56.9,28.0,30.12,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,03:30,47.9,,44.9,89.2,0.0,N @0.0,0.0,0.14,0,56.9,28.0,30.12,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,03:45,48.1,,45.1,89.3,0.0,N@0.2,2.8,0.15,0,56.8,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,04:00,48.9,,45.2,86.8,0.0,N @1.4,4.9,0.15,0,56.7,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,04:15,50.7,,44.3,78.5,0.0,N @1.0,4.2,0.13,0,56.7,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,04:30,50.2,,44.0,79.0,0.0,N @0.6,3.1,0.11,0,56.6,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,04:45,49.6,,44.2,81.6,0.0,N@0.7,3.9,0.11,0,56.5,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,05:00,49.3,,44.1,82.1,0.0,NE@0.3,2.8,0.11,0,56.5,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,05:15,48.9,,44.1,83.4,0.0,N @0.5,3.1,0.12,0,56.4,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,05:30,48.6,,43.7,83.0,0.0,N @0.7,2.4,0.11,1,56.3,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,05:45,49.4,,42.9,78.1,0.0,N @1.1,3.1,0.03,2,56.3,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,06:00,50.2,,42.0,73.2,0.0,NE@0.7,5.7,0.0,5,56.2,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,06:15,49.8,,41.8,73.9,0.0,NE@0.7,4.6,0.0,12,56.1,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,06:30,51.1,,41.5,69.7,0.0,W@0.5,3.9,0.0,19,56.1,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,06:45,51.0,,42.6,73.0,0.0,N@0.4,5.7,0.0,24,56.0,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,07:00,51.4,,43.0,72.9,0.0,NW@1.0,4.6,0.0,38,55.9,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,07:15,53.8,,42.5,65.5,0.0,W@1.0,4.6,0.0,113,55.8,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,07:30,55.1,,43.6,65.0,0.0,N@1.3,4.9,0.0,166,55.8,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,07:45,56.1,,45.3,66.9,0.0,N @0.5,3.9,0.0,247,55.7,28.0,30.11,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,08:00,57.8,,45.5,63.5,0.0,W@0.5,4.2,0.0,295,55.6,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,08:15,59.6,,45.5,59.6,0.0,NW@0.5,3.9,0.0,341,55.5,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,08:30,61.5,,45.2,55.1,0.0,N @0.3,4.6,0.0,388,55.4,28.0,30.1,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,08:45,62.9,,46.2,54.5,0.0,N@1.2,6.0,0.0,435,55.4,28.0,30.09,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,09:00,64.3,,45.7,50.7,0.0,N @0.6,4.2,0.0,479,55.3,28.0,30.09,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,09:15,66.0,,44.4,45.6,0.0,NE@1.4,5.7,0.0,523,55.2,28.0,30.09,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,09:30,67.9,,42.0,39.0,0.0,E@2.5,8.9,0.0,568,55.2,28.0,30.08,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,09:45,69.8,,41.1,35.1,0.0,E@1.8,8.9,0.0,611,55.1,28.0,30.08,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,10:00,70.6,,40.0,32.8,0.0,E@3.3,12.4,0.0,650,55.1,28.0,30.07,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,10:15,71.4,,39.5,31.3,0.0,E@4.3,12.4,0.0,685,55.0,28.0,30.07,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,10:30,72.0,,39.6,30.8,0.0,E@3.7,12.8,0.0,720,55.0,28.0,30.07,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
2020-05-08,10:45,73.4,,40.8,30.9,0.0,E@3.0,8.5,0.0,753,54.9,28.0,30.07,"Long.Beach (WSU Long Beach), Pacific County",344108,Long.Beach,2020-05-13 15:49:17.214383
