Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 8 in. Soil Tmp °F, Soil VWC %,Location,Station ID,Station Name,Download Timestamp
2020-05-27,00:15,46.5,45.1,94.6,0.0,0,30.16,N ,0.0,0.0,0.21,59.6,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,00:30,46.4,44.9,94.7,0.0,0,30.16,N ,0.0,0.0,0.21,59.6,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,00:45,46.6,45.2,94.8,0.0,0,30.16,N ,0.0,0.0,0.22,59.5,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,01:00,46.4,45.1,94.9,0.0,0,30.16,N ,0.0,0.0,0.22,59.5,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,01:15,46.5,45.2,95.0,0.0,0,30.16,N ,0.0,0.0,0.23,59.4,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,01:30,46.6,45.3,95.1,0.0,0,30.15,N ,0.0,0.0,0.23,59.4,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,01:45,46.8,45.5,95.1,0.0,0,30.15,N ,0.0,0.0,0.24,59.3,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,02:00,46.3,45.0,95.2,0.0,0,30.15,N ,0.0,0.0,0.24,59.2,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,02:15,45.5,44.3,95.3,0.0,0,30.15,N ,0.0,0.0,0.23,59.2,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,02:30,45.5,44.2,95.3,0.0,0,30.15,N ,0.0,0.0,0.24,59.1,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,02:45,45.1,43.9,95.4,0.0,0,30.14,N ,0.0,0.0,0.24,59.1,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,03:00,44.8,43.5,95.4,0.0,0,30.14,N ,0.0,0.0,0.24,59.0,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,03:15,44.7,43.5,95.5,0.0,0,30.14,N ,0.0,0.0,0.24,58.9,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,03:30,44.9,43.7,95.5,0.0,0,30.14,N ,0.0,0.0,0.24,58.9,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,03:45,44.6,43.4,95.6,0.0,0,30.14,N ,0.0,0.0,0.24,58.8,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,04:00,44.7,43.6,95.6,0.0,0,30.13,N ,0.0,0.0,0.24,58.7,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,04:15,45.1,44.0,95.7,0.0,1,30.13,N ,0.0,0.0,0.25,58.6,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,04:30,45.0,43.8,95.7,0.0,3,30.14,N ,0.0,0.0,0.25,58.6,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,04:45,43.5,42.3,95.7,0.0,8,30.14,N ,0.0,0.0,0.24,58.5,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,05:00,44.7,43.6,95.8,0.0,14,30.14,N ,0.0,0.0,0.25,58.4,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,05:15,44.1,43.0,95.8,0.0,19,30.14,N ,0.0,0.0,0.25,58.4,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,05:30,44.5,43.4,95.8,0.0,26,30.14,N ,0.0,0.0,0.25,58.3,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,05:45,45.3,44.2,95.8,0.0,77,30.14,N ,0.0,0.0,0.26,58.2,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,06:00,46.9,45.8,95.7,0.0,185,30.15,N ,0.0,0.0,0.27,58.1,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,06:15,49.0,47.8,95.5,0.0,237,30.15,N ,0.0,0.0,0.29,58.1,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,06:30,50.9,49.7,95.3,0.0,280,30.16,N ,0.0,0.0,0.3,58.0,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,06:45,53.0,51.7,95.3,0.0,316,30.16,N ,0.0,0.0,0.3,57.9,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,07:00,55.1,53.8,95.2,0.0,359,30.16,N ,0.0,0.0,0.31,57.8,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,07:15,56.6,55.3,95.0,0.0,397,30.16,N ,0.0,0.0,0.3,57.7,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,07:30,57.3,55.7,94.3,0.0,433,30.16,SW,0.1,2.4,0.29,57.6,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,07:45,58.6,56.4,92.3,0.0,474,30.16,E,0.4,3.5,0.26,57.6,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,08:00,59.7,56.2,88.1,0.0,507,30.15,E,0.8,5.7,0.2,57.5,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,08:15,61.6,56.1,82.2,0.0,541,30.16,W,0.7,3.1,0.12,57.4,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,08:30,63.1,54.8,74.3,0.0,585,30.16,NW,1.4,4.2,0.05,57.4,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,08:45,64.9,53.8,67.1,0.0,625,30.16,N ,1.0,3.1,0.0,57.3,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
2020-05-27,09:00,66.1,52.9,62.4,0.0,661,30.15,NE,1.3,4.9,0.0,57.3,25.3,"Long.Beach, Pacific County",344108,Long.Beach,2020-12-14 06:38:39.000752
