Date,Time PST,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2020-08-30,00:15,50.0,50.0,100.0,0.0,0,30.1,N ,0.2,1.7,0.93,64.5,66.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,00:30,49.5,49.5,100.0,0.0,0,30.11,NW,0.4,1.7,0.93,64.3,66.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,00:45,49.0,49.0,100.0,0.0,0,30.11,N ,0.3,2.1,0.94,64.1,66.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,01:00,48.6,48.6,100.0,0.0,0,30.12,NW,0.1,1.7,0.94,63.9,66.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,01:15,48.2,48.2,100.0,0.0,0,30.12,N ,0.6,2.1,0.93,63.7,66.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,01:30,48.1,48.1,100.0,0.0,0,30.13,NE,0.8,2.4,0.93,63.5,66.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,01:45,47.6,47.6,100.0,0.0,0,30.13,NW,0.5,1.7,0.93,63.2,66.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,02:00,47.3,47.3,100.0,0.0,0,30.13,NW,0.2,1.7,0.92,63.0,66.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,02:15,47.0,47.0,100.0,0.0,0,30.13,NW,0.2,1.7,0.92,62.8,66.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,02:30,46.8,46.8,100.0,0.0,0,30.14,N ,0.5,2.1,0.92,62.5,65.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,02:45,46.7,46.7,100.0,0.0,0,30.14,NW,0.5,2.1,0.91,62.3,65.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,03:00,46.5,46.5,100.0,0.0,0,30.14,N ,0.0,0.0,0.91,62.1,65.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,03:15,45.7,45.7,100.0,0.0,0,30.14,NE,0.4,1.7,0.91,61.9,65.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,03:30,45.7,45.7,100.0,0.0,0,30.15,NW,0.2,1.4,0.9,61.6,65.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,03:45,45.4,45.4,100.0,0.0,0,30.15,N ,0.6,1.7,0.9,61.4,65.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,04:00,45.2,45.2,100.0,0.0,0,30.15,NW,0.4,1.7,0.9,61.2,65.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,04:15,44.9,44.9,100.0,0.0,0,30.16,N ,0.0,0.0,0.89,61.0,65.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,04:30,44.8,44.8,100.0,0.0,0,30.16,SE,0.0,1.4,0.89,60.8,65.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,04:45,44.8,44.8,100.0,0.0,0,30.16,NW,0.2,1.7,0.89,60.6,65.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,05:00,44.4,44.4,100.0,0.0,0,30.16,NE,0.4,1.7,0.88,60.4,65.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,05:15,44.2,44.2,100.0,0.0,0,30.16,NE,0.1,1.7,0.88,60.2,65.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,05:30,44.1,44.1,100.0,0.0,3,30.16,W,0.1,1.7,0.88,60.0,64.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,05:45,43.8,43.8,100.0,0.0,9,30.16,W,0.2,1.7,0.88,59.8,64.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,06:00,43.9,43.9,100.0,0.0,18,30.17,NW,0.1,1.4,0.87,59.6,64.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,06:15,44.2,44.2,100.0,0.0,25,30.17,N ,0.0,0.0,0.87,59.4,64.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,06:30,45.0,45.0,100.0,0.0,70,30.18,NE,0.0,1.4,0.87,59.2,64.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,06:45,47.0,47.0,100.0,0.0,148,30.18,E,0.7,1.7,0.87,59.0,64.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,07:00,49.7,49.7,100.0,0.0,185,30.18,E,0.4,1.7,0.86,58.9,64.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,07:15,51.6,51.5,99.7,0.0,219,30.17,E,0.8,2.1,0.86,58.8,64.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,07:30,54.0,52.1,93.0,0.0,259,30.17,E,1.1,2.1,0.86,58.7,64.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,07:45,56.2,51.7,85.0,0.0,303,30.17,E,2.1,3.1,0.87,58.6,64.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,08:00,57.9,51.3,78.4,0.0,342,30.17,E,1.5,3.9,0.84,58.5,64.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,08:15,59.3,51.4,74.9,0.0,381,30.17,E,2.0,3.9,0.56,58.6,63.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,08:30,60.5,51.4,71.8,0.0,417,30.17,SW,2.0,4.2,0.02,58.6,63.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,08:45,61.4,51.2,68.9,0.0,455,30.17,SE,3.0,5.7,0.0,58.7,63.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,09:00,61.9,50.9,67.1,0.0,493,30.17,S,2.9,4.9,0.0,58.9,63.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,09:15,62.5,50.9,65.6,0.0,528,30.17,SW,2.9,5.7,0.0,59.1,63.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,09:30,63.4,51.3,64.5,0.0,561,30.17,E,3.7,6.4,0.0,59.3,63.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,09:45,63.7,51.4,64.0,0.0,587,30.17,E,3.7,6.0,0.0,59.6,63.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,10:00,64.5,51.7,63.1,0.0,621,30.16,SW,3.5,8.2,0.0,60.0,63.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,10:15,65.4,51.6,61.0,0.0,649,30.17,E,3.9,7.4,0.0,60.3,63.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,10:30,66.2,51.6,59.4,0.0,619,30.17,E,4.1,7.8,0.0,60.8,63.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,10:45,66.4,51.1,57.8,0.0,562,30.16,SW,3.2,6.0,0.0,61.2,63.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,11:00,67.7,51.8,56.6,0.0,710,30.16,SE,3.5,6.7,0.0,61.7,63.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,11:15,68.2,50.8,53.6,0.0,725,30.17,S,3.6,7.1,0.0,62.3,63.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,11:30,68.4,50.8,53.2,0.0,736,30.17,SE,3.7,8.5,0.0,62.8,63.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,11:45,69.3,50.9,51.9,0.0,748,30.15,SE,3.5,6.7,0.0,63.4,63.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,12:00,69.5,50.7,51.2,0.0,754,30.15,SE,4.1,7.4,0.0,64.0,63.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,12:15,69.4,50.3,50.5,0.0,757,30.14,SE,4.7,9.2,0.0,64.6,63.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,12:30,69.4,49.9,49.8,0.0,753,30.14,SE,4.2,7.1,0.0,65.2,63.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,12:45,70.1,50.1,48.9,0.0,750,30.14,SE,4.1,7.4,0.0,65.8,63.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,13:00,70.6,50.0,48.1,0.0,741,30.13,SE,3.8,7.1,0.0,66.4,63.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,13:15,71.0,50.1,47.6,0.0,726,30.13,SE,4.0,8.9,0.0,67.1,63.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,13:30,72.0,49.6,45.2,0.0,704,30.12,E,4.4,8.2,0.0,67.7,63.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,13:45,72.5,49.3,43.9,0.0,691,30.12,SE,4.2,8.5,0.0,68.3,63.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,14:00,73.3,48.7,41.7,0.0,687,30.11,S,3.9,7.8,0.0,68.9,63.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,14:15,73.2,48.7,41.9,0.0,628,30.11,SW,4.6,8.5,0.0,69.5,63.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,14:30,74.5,48.3,39.4,0.0,620,30.1,S,4.0,8.2,0.0,70.0,63.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,14:45,74.5,47.6,38.5,0.0,599,30.1,SE,3.4,7.4,0.0,70.5,64.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,15:00,74.9,46.4,36.2,0.0,563,30.09,SE,3.8,8.5,0.0,71.0,64.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,15:15,74.5,47.0,37.7,0.0,524,30.09,SE,3.5,7.4,0.0,71.5,64.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,15:30,74.8,47.7,38.2,0.0,489,30.09,S,3.4,6.7,0.0,71.9,64.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,15:45,73.9,47.6,39.3,0.0,351,30.08,SE,2.8,5.7,0.0,72.3,64.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,16:00,72.8,47.6,40.8,0.0,211,30.07,SE,2.8,6.7,0.0,72.6,64.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,16:15,71.7,47.2,41.7,0.0,168,30.07,E,3.1,6.0,0.0,72.9,64.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,16:30,70.8,47.2,43.0,0.0,138,30.06,NE,3.4,6.7,0.0,73.1,65.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,16:45,69.9,47.8,45.2,0.0,100,30.06,NE,3.3,6.0,0.0,73.3,65.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,17:00,69.6,48.3,46.6,0.0,70,30.05,E,2.4,4.6,0.0,73.3,65.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,17:15,69.1,49.2,49.1,0.0,48,30.05,NE,1.7,3.1,0.0,73.3,65.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
2020-08-30,17:30,68.4,49.4,50.6,0.0,32,30.04,NE,1.5,3.5,0.0,73.3,65.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2020-12-14 02:55:52.044451
