Date,Time PDT,1.5m Air Temp °F, 1.5m Dew Point °F, 1.5m Rel Hum %, Tot Prec in, Solar Rad W/m², Atm. 2m Press. inHg, Wind Direction, Wind Speed mph, 2m Wind Gust mph, 1.5m Leaf Wet u., 2 in. Soil Tmp °F, 8 in. Soil Tmp °F,Location,Station ID,Station Name,Download Timestamp
2021-01-05,23:15,43.5,-70.3,0.3,0.01,0,29.9,SW,2.0,3.5,0.52,44.5,44.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-05,23:30,43.8,-70.1,0.3,0.04,0,29.9,SW,2.4,7.8,0.53,44.6,44.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-05,23:45,44.1,-70.0,0.3,0.03,0,29.9,SW,2.0,5.3,0.52,44.7,44.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-05,24:00,44.6,-69.7,0.3,0.01,0,29.91,SW,2.4,6.0,0.54,44.8,44.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,00:15,44.9,-69.5,0.3,0.01,0,29.92,SW,2.8,5.7,0.54,44.9,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,00:30,45.1,-69.3,0.3,0.0,0,29.92,SW,2.7,7.1,0.55,45.0,44.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,00:45,45.2,-69.3,0.3,0.01,0,29.92,SW,2.7,7.1,0.55,45.1,44.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,01:00,45.3,-69.4,0.3,0.01,0,29.93,SW,3.2,7.4,0.54,45.2,44.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,01:15,45.4,-69.1,0.3,0.01,0,29.94,SW,2.8,6.4,0.54,45.3,45.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,01:30,45.4,-69.1,0.3,0.0,0,29.94,SW,2.3,4.9,0.53,45.4,45.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,01:45,45.4,-69.2,0.3,0.02,0,29.94,SW,2.1,4.2,0.53,45.5,45.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,02:00,45.5,-69.3,0.3,0.0,0,29.94,SW,3.0,8.5,0.51,45.5,45.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,02:15,45.4,-69.1,0.3,0.01,0,29.95,SW,2.7,6.7,0.52,45.6,45.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,02:30,45.3,-69.1,0.3,0.0,0,29.95,SW,2.7,6.7,0.51,45.6,45.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,02:45,45.0,-69.3,0.3,0.02,0,29.96,SW,2.7,6.4,0.52,45.6,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,03:00,44.8,-69.5,0.3,0.02,0,29.94,S,4.0,9.2,0.51,45.6,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,03:15,44.6,-69.7,0.3,0.0,0,29.96,SW,2.6,6.4,0.48,45.6,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,03:30,44.4,-69.8,0.3,0.0,0,29.96,SW,2.5,5.7,0.48,45.5,45.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,03:45,44.3,-69.5,0.3,0.0,0,29.96,SW,1.6,4.9,0.49,45.4,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,04:00,44.1,-69.9,0.3,0.0,0,29.96,SW,1.4,3.9,0.49,45.3,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,04:15,43.8,-70.0,0.3,0.0,0,29.96,W,1.7,4.6,0.5,45.2,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,04:30,43.9,-70.0,0.3,0.0,0,29.95,SW,2.3,6.0,0.5,45.1,45.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,04:45,44.1,-70.1,0.3,0.0,0,29.96,SW,2.4,6.0,0.51,44.9,45.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,05:00,44.1,-69.8,0.3,0.0,0,29.96,SW,2.6,7.4,0.51,44.8,45.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,05:15,44.2,-69.8,0.3,0.0,0,29.96,SW,2.7,6.0,0.52,44.6,45.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,05:30,44.2,-69.8,0.3,0.0,0,29.96,SW,2.0,3.9,0.52,44.5,45.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,05:45,44.4,-69.6,0.3,0.0,0,29.97,SW,2.6,6.0,0.53,44.4,44.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,06:00,44.6,-69.6,0.3,0.0,0,29.97,SW,2.4,5.7,0.53,44.3,44.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,06:15,44.6,-69.6,0.3,0.0,0,29.98,SW,1.4,4.2,0.53,44.3,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,06:30,44.5,-69.4,0.3,0.0,0,29.98,SW,1.3,4.2,0.54,44.3,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,06:45,44.5,-69.5,0.3,0.0,0,29.98,SW,1.7,4.6,0.55,44.4,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,07:00,44.5,-69.6,0.3,0.0,0,29.99,W,2.5,6.4,0.56,44.4,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,07:15,44.3,-69.7,0.3,0.0,0,30.0,W,1.0,3.1,0.57,44.4,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,07:30,44.2,-69.7,0.3,0.0,0,30.0,S,2.1,6.0,0.59,44.4,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,07:45,44.1,-69.8,0.3,0.0,0,30.01,S,1.8,4.2,0.6,44.4,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,08:00,44.1,-70.0,0.3,0.0,1,30.01,SW,1.5,3.9,0.61,44.4,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,08:15,44.1,-69.7,0.3,0.0,3,30.02,S,0.8,2.8,0.62,44.4,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,08:30,44.0,-69.9,0.3,0.0,10,30.02,S,0.4,1.7,0.63,44.3,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,08:45,43.9,-69.9,0.3,0.0,22,30.02,SW,0.6,2.4,0.63,44.3,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,09:00,44.0,-69.9,0.3,0.0,33,30.02,SW,2.1,4.6,0.64,44.3,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,09:15,44.3,-69.7,0.3,0.0,52,30.03,SW,2.8,6.4,0.64,44.2,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,09:30,44.5,-69.9,0.3,0.0,59,30.04,SW,1.6,4.6,0.64,44.2,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,09:45,44.7,-69.5,0.3,0.0,69,30.04,SE,1.7,3.5,0.65,44.1,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,10:00,44.9,-69.4,0.3,0.0,67,30.04,S,1.9,6.7,0.65,44.1,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,10:15,45.3,-69.4,0.3,0.0,86,30.04,S,2.1,4.2,0.65,44.1,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,10:30,45.7,-68.9,0.3,0.0,94,30.04,SE,2.1,4.6,0.66,44.1,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,10:45,46.0,-52.4,0.8,0.0,113,30.04,S,2.5,4.9,0.67,44.1,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,11:00,46.2,-68.8,0.3,0.0,154,30.04,SW,3.2,7.1,0.67,44.1,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,11:15,47.1,-68.5,0.3,0.0,251,30.04,SW,2.7,7.1,0.63,44.2,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,11:30,46.8,-68.1,0.3,0.0,137,30.03,SW,3.8,7.8,0.52,44.3,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,11:45,47.5,-68.1,0.3,0.0,241,30.03,SW,2.8,6.0,0.42,44.5,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,12:00,48.7,-66.7,0.3,0.0,284,30.02,SW,2.7,6.7,0.27,44.6,44.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,12:15,49.3,-66.6,0.3,0.0,274,30.02,W,2.5,4.9,0.06,44.8,44.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,12:30,48.9,-67.7,0.3,0.0,305,30.02,SW,3.5,8.2,0.0,44.9,44.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,12:45,49.6,-66.6,0.3,0.0,307,30.01,S,3.4,6.7,0.0,45.0,44.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,13:00,50.3,-66.1,0.3,0.0,317,30.01,S,3.0,6.7,0.0,45.2,44.8,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,13:15,50.2,-66.5,0.3,0.0,309,30.01,S,3.1,7.8,0.0,45.3,44.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,13:30,50.1,-66.3,0.3,0.0,282,30.01,S,3.0,6.0,0.0,45.5,44.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,13:45,50.0,-66.6,0.3,0.0,279,30.0,SE,2.7,4.6,0.0,45.7,44.9,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,14:00,49.8,-66.4,0.3,0.0,260,30.0,SE,2.9,4.9,0.0,45.8,45.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,14:15,50.1,-66.6,0.3,0.0,183,30.0,SE,1.8,4.6,0.0,46.0,45.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,14:30,49.4,-66.6,0.3,0.0,106,30.0,SW,1.9,3.5,0.0,46.2,45.0,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,14:45,49.1,-67.1,0.3,0.0,88,29.99,N ,1.2,3.5,0.0,46.3,45.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,15:00,48.6,-67.2,0.3,0.0,75,29.98,NE,1.9,3.5,0.0,46.5,45.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,15:15,47.9,-66.6,0.3,0.0,92,29.98,E,1.8,2.8,0.0,46.6,45.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,15:30,47.3,-68.1,0.3,0.0,61,29.98,E,1.4,2.4,0.0,46.7,45.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,15:45,46.9,-68.2,0.3,0.0,47,29.99,N ,1.0,2.1,0.0,46.7,45.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,16:00,46.4,-68.7,0.3,0.0,38,29.99,N,1.1,2.1,0.0,46.7,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,16:15,45.6,-69.1,0.3,0.0,21,29.99,NW,0.7,1.7,0.1,46.7,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,16:30,44.9,-69.4,0.3,0.0,9,29.99,NW,0.8,1.7,0.27,46.7,45.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,16:45,44.2,-69.9,0.3,0.0,3,30.0,W,0.2,2.1,0.42,46.6,45.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,17:00,43.8,-70.0,0.3,0.0,1,30.01,W,0.5,2.1,0.51,46.5,45.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,17:15,43.4,-70.1,0.3,0.0,0,30.01,SW,0.6,1.7,0.57,46.4,45.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,17:30,42.8,-70.6,0.3,0.0,0,30.01,NW,0.4,2.1,0.63,46.3,45.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,17:45,42.4,-70.9,0.3,0.0,0,30.02,SW,0.8,2.4,0.67,46.2,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,18:00,42.0,-71.3,0.3,0.0,0,30.02,W,0.2,1.7,0.7,46.1,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,18:15,41.4,-71.5,0.3,0.0,0,30.02,W,0.5,2.1,0.72,45.9,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,18:30,41.1,-71.7,0.3,0.0,0,30.03,NW,1.0,2.8,0.75,45.8,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,18:45,40.6,-71.8,0.3,0.0,0,30.03,NW,0.2,1.4,0.76,45.6,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,19:00,40.4,-72.0,0.3,0.0,0,30.03,NW,0.8,2.4,0.78,45.5,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,19:15,39.8,-72.4,0.3,0.0,0,30.04,N ,0.0,0.0,0.79,45.3,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,19:30,39.4,-72.6,0.3,0.0,0,30.04,NW,0.1,1.7,0.8,45.2,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,19:45,39.3,-72.7,0.3,0.0,0,30.04,NW,0.9,2.1,0.81,45.0,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,20:00,38.9,-73.0,0.3,0.0,0,30.05,E,0.3,1.7,0.81,44.9,45.7,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,20:15,38.8,-73.2,0.3,0.0,0,30.06,NW,1.0,2.4,0.82,44.8,45.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,20:30,38.4,-73.3,0.3,0.0,0,30.07,N,0.9,2.1,0.81,44.6,45.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,20:45,38.2,-73.2,0.3,0.0,0,30.08,W,0.2,2.1,0.8,44.5,45.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,21:00,37.9,-73.4,0.3,0.0,0,30.08,W,0.8,2.1,0.8,44.3,45.6,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,21:15,37.3,-73.9,0.3,0.0,0,30.09,N,0.3,1.7,0.79,44.2,45.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,21:30,37.1,-74.0,0.3,0.0,0,30.09,NW,0.1,1.7,0.78,44.1,45.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,21:45,37.0,-74.1,0.3,0.0,0,30.1,NW,0.9,2.1,0.77,43.9,45.5,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,22:00,36.8,-74.1,0.3,0.0,0,30.1,NW,0.3,2.4,0.76,43.8,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,22:15,36.6,-74.2,0.3,0.0,0,30.11,NW,0.1,1.4,0.75,43.7,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,22:30,36.0,-74.4,0.3,0.0,0,30.12,NW,0.7,2.4,0.75,43.5,45.4,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,22:45,35.8,-74.8,0.3,0.0,0,30.12,NW,0.4,1.7,0.74,43.4,45.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,23:00,35.5,-74.8,0.3,0.0,0,30.12,NW,0.2,1.7,0.74,43.3,45.3,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,23:15,35.2,-75.0,0.3,0.0,0,30.13,W,0.1,1.7,0.73,43.2,45.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,23:30,35.3,-51.0,1.4,0.0,0,30.14,NW,0.1,2.1,0.74,43.0,45.2,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
2021-01-06,23:45,35.1,-75.0,0.3,0.0,0,30.15,SW,0.3,1.7,0.73,42.9,45.1,"Poulsbo.S, Poulsbo, Kitsap County",355001,Poulsbo.S,2021-04-15 13:32:12.922935
