Station ID,Station Name,Value,Variable,Download Timestamp
100140,100Circles,"This station is commonly called 100Circles  and is located in Benton County, Washington.  The coordinates of this station are latitude 45.93°, longitude -119.81°, elevation 499 ft. and can be viewed on the map.  The weather station was installed on June 21, 2000 and historical data are available from that date through June 24, 2019.  The most recent maintenance of the weather sensors at this station by the AgWeatherNet Team was conducted on  May 06, 2019.  The nearest stations are Canoe.Rdg which is 4.3 miles away, PhinnyHill which is 5.2 miles away and Alderdale which is 5.2 miles away.   If you would like more information about this weather station 100Circles, historical reports, model predictions, weather projections, or access to run models and decisions aids using AgWeatherNet data, please register at our web site and log in.",Additional Info,2019-06-24 17:41:52.734841
100140,100Circles,"June, 21 2000",Installation Date,2019-06-24 17:41:52.734841
100140,100Circles,-119.81°,Longitude,2019-06-24 17:41:52.734841
100140,100Circles,45.93°,Latitude,2019-06-24 17:41:52.734841
100140,100Circles,499 feet,Elevation,2019-06-24 17:41:52.734841
100140,100Circles,99999 W/m2,Solar Radiation,2019-06-24 17:41:52.734841
100140,100Circles,NA99999  mph,Wind,2019-06-24 17:41:52.734841
100140,100Circles,99999 inches,Air Pressure,2019-06-24 17:41:52.734841
100140,100Circles,99999 %,Soil Moisture,2019-06-24 17:41:52.734841
100140,100Circles,99999 °F,"8"" Soil Temperature",2019-06-24 17:41:52.734841
100140,100Circles,99999 °F,"2"" Soil Temperature",2019-06-24 17:41:52.734841
100140,100Circles,99999 inches,Precipitation (Today),2019-06-24 17:41:52.734841
100140,100Circles,99999 unity,Leaf wetness,2019-06-24 17:41:52.734841
100140,100Circles,99999 %,Relative Humidity,2019-06-24 17:41:52.734841
100140,100Circles,99999°F,Dew Point,2019-06-24 17:41:52.734841
100140,100Circles,99999°F,Air Temperature,2019-06-24 17:41:52.734841
300219,Addy,"This station is commonly called Addy and the closest city is Addy, Stevens County, Washington within the 99101 zipcode.  The weather in Addy is very similar to the observations made by the weather instruments and sensors of this station.  The coordinates of this station are latitude 48.32°, longitude -117.83°, elevation 1707 ft. and can be viewed on the map.  The weather station was installed on April 08, 2015 and historical data are available from that date through June 24, 2019.  The most recent maintenance of the weather sensors at this station by the AgWeatherNet Team was conducted on  May 21, 2019.  The nearest stations are Green.Blff which is 42.5 miles away, Davenport which is 47.8 miles away and Curlew which is 51.6 miles away.   If you would like more information about this weather station Addy, historical reports, model predictions, weather projections, or access to run models and decisions aids using AgWeatherNet data, please register at our web site and log in.",Additional Info,2019-06-24 17:41:52.734841
300219,Addy,"April, 08 2015",Installation Date,2019-06-24 17:41:52.734841
300219,Addy,-117.83°,Longitude,2019-06-24 17:41:52.734841
300219,Addy,48.32°,Latitude,2019-06-24 17:41:52.734841
300219,Addy,1707 feet,Elevation,2019-06-24 17:41:52.734841
300219,Addy,99999 W/m2,Solar Radiation,2019-06-24 17:41:52.734841
300219,Addy,NA99999  mph,Wind,2019-06-24 17:41:52.734841
300219,Addy,99999 inches,Air Pressure,2019-06-24 17:41:52.734841
300219,Addy,99999 %,Soil Moisture,2019-06-24 17:41:52.734841
300219,Addy,99999 °F,"8"" Soil Temperature",2019-06-24 17:41:52.734841
300219,Addy,99999 °F,"2"" Soil Temperature",2019-06-24 17:41:52.734841
300219,Addy,99999 inches,Precipitation (Today),2019-06-24 17:41:52.734841
300219,Addy,99999 inches,Precipitation (15 Minute),2019-06-24 17:41:52.734841
300219,Addy,99999 unity,Leaf wetness,2019-06-24 17:41:52.734841
300219,Addy,99999 %,Relative Humidity,2019-06-24 17:41:52.734841
300219,Addy,99999°F,Dew Point,2019-06-24 17:41:52.734841
300219,Addy,99999°F,Air Temperature,2019-06-24 17:41:52.734841
